tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
ZorraTag,Zorra,Felis catus,2016-05-12 12:57:35.000,2016-05-18 13:49:57.000,Hunt: No; prey_p_month: 0,11 years,Spayed,f,collar,@Trip PC,removal,Zorra,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
WeaselTag,Weasel,Felis catus,2016-05-13 00:32:22.000,2016-05-23 00:02:03.000,Hunt: Yes; prey_p_month: 4,2 years,Neutered,m,collar,@Trip PC,removal,Weasel,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BellaBooTag,BellaBoo,Felis catus,2016-05-13 00:33:21.000,2016-05-24 15:42:32.000,Hunt: Yes; prey_p_month: 7,2 years,Spayed,f,collar,@Trip PC,removal,BellaBoo,3-min fixes,hrs_indoors: 1; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GizmoTag,Gizmo,Felis catus,2016-05-13 00:42:39.000,2016-05-21 08:26:14.000,Hunt: No; prey_p_month: 0,19 years,Neutered,m,collar,@Trip PC,removal,Gizmo,3-min fixes,hrs_indoors: 5; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RustyTag,Rusty,Felis catus,2016-05-13 01:44:10.000,2016-05-22 10:09:49.000,Hunt: No; prey_p_month: 0,15 years,Spayed,f,collar,@Trip PC,removal,Rusty,3-min fixes,hrs_indoors: 5; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
StefanoTag,Stefano,Felis catus,2016-05-20 00:37:08.000,2016-05-24 22:17:30.000,Hunt: Yes; prey_p_month: 1,2 years,Neutered,m,collar,@Trip PC,removal,Stefano,3-min fixes,hrs_indoors: 14; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ZepherTag,Zepher,Felis catus,2016-05-20 00:49:50.000,2016-05-25 09:37:09.000,Hunt: Yes; prey_p_month: 1,4 years,Neutered,m,collar,@Trip PC,removal,Zepher,3-min fixes,hrs_indoors: 16; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ArielTag,Ariel,Felis catus,2016-05-26 00:32:22.000,2016-06-05 14:58:01.000,Hunt: Yes; prey_p_month: 5,1 year,Neutered,m,collar,@Trip PC,removal,Ariel,3-min fixes,hrs_indoors: 17; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
EnzoTag,Enzo,Felis catus,2016-05-26 00:32:36.000,2016-05-31 08:22:02.000,Hunt: Yes; prey_p_month: 2,2 years,Neutered,m,collar,@Trip PC,removal,Enzo,3-min fixes,hrs_indoors: 16; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
AlrariTag,Alrari,Felis catus,2016-05-26 00:33:13.000,2016-06-01 22:58:54.000,Hunt: Yes; prey_p_month: 2,9 years,Neutered,m,collar,@Trip PC,removal,Alrari,3-min fixes,hrs_indoors: 10; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MissChiefTag,MissChief,Felis catus,2016-05-27 00:31:34.000,2016-06-06 09:17:28.000,Hunt: Yes; prey_p_month: 1,16 years,Spayed,f,collar,@Trip PC,removal,MissChief,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
LexiTag,Lexi,Felis catus,2016-05-27 04:24:25.000,2016-06-02 09:52:28.000,Hunt: Yes; prey_p_month: 5,4 years,Spayed,f,collar,@Trip PC,removal,Lexi,3-min fixes,hrs_indoors: 15; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
RodgerTag,Rodger,Felis catus,2016-06-02 01:32:03.000,2016-06-09 15:59:47.000,Hunt: Yes; prey_p_month: 3,5 years,Neutered,m,collar,@Trip PC,removal,Rodger,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TimoTag,Timo,Felis catus,2016-06-02 01:48:33.000,2016-06-08 11:16:14.000,Hunt: Yes; prey_p_month: 3,5 years,Neutered,m,collar,@Trip PC,removal,Timo,3-min fixes,hrs_indoors: 14; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Jasmine2Tag,Jasmine2,Felis catus,2016-06-02 06:49:55.000,2016-06-07 21:55:07.000,Hunt: ; prey_p_month: 0,8 years,Spayed,f,collar,@Trip PC,removal,Jasmine2,3-min fixes,hrs_indoors: 16; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PoloTag,Polo,Felis catus,2016-06-09 00:32:45.000,2016-06-12 10:17:23.000,Hunt: ; prey_p_month: 0,7 years,Neutered,m,collar,@Trip PC,removal,Polo,3-min fixes,hrs_indoors: 0; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MaeveTag,Maeve,Felis catus,2016-06-09 00:35:33.000,2016-06-14 16:12:01.000,Hunt: ; prey_p_month: 0,3 years,Spayed,f,collar,@Trip PC,removal,Maeve,3-min fixes,hrs_indoors: 20; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Charlotte2Tag,Charlotte2,Felis catus,2016-06-09 01:09:03.000,2016-06-14 06:28:42.000,Hunt: Yes; prey_p_month: 2,1 year,Spayed,f,collar,@Trip PC,removal,Charlotte2,3-min fixes,hrs_indoors: 23; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ListerTag,Lister,Felis catus,2016-06-09 08:42:19.000,2016-06-16 22:42:10.000,Hunt: No; prey_p_month: 0,19 years,Neutered,m,collar,@Trip PC,removal,Lister,3-min fixes,hrs_indoors: 24; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GarfieldTag,Garfield,Felis catus,2016-06-10 08:51:36.000,2016-06-15 19:32:45.000,Hunt: Yes; prey_p_month: 1,9 years,Neutered,m,collar,@Trip PC,removal,Garfield,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BelleTag,Belle,Felis catus,2016-06-24 00:49:04.000,2016-06-30 01:35:10.000,Hunt: Yes; prey_p_month: 1,4 years,Spayed,f,collar,@Trip PC,removal,Belle,3-min fixes,hrs_indoors: 6; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
GyhjorTag,Gyhjor,Felis catus,2016-07-06 15:01:41.000,2016-07-12 13:58:12.000,Hunt: Yes; prey_p_month: 1,8 years,Neutered,m,collar,@Trip PC,removal,Gyhjor,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
