freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FAWS,THS_M3,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	-13981.54 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-20464.79 s	: 	: 
A,BAL,FAWS,THS_M3,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	355059.99 s	-5597.17 	17790.8 	-6243.79 	-1792.57 	-40642.2 	-13911.01 	-12775.2 	13585.04 	0 s	: 	: 
A,BAL,FAWS,THS_M3,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	9223.95 s	: 	: 	: 	: 	0 	: 	0 s	0 	: 
A,BAL,FAWS,THS_M3,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-4254.98 s	: 	: 	: 	: 	: 	: 	0 s	: 	: 
A,BAL,FAWS,THS_M3,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	2960.17 s	: 	: 	: 	0 s	0 s	0 s	-2052.27 	: 	: 
A,BAL,FAWS,THS_M3,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-277.89 s	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,FAWS,THS_M3,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-764.7 s	: 	: 	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	941 	-759.8 	: 	: 
A,BAL,FAWS,THS_M3,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-17865.11 s	2241.4 	6754.9 	7778.4 	6045.7 	2363.3 	-12006.8 	-13477.7 	-14016.2 	: 
A,BAL,FAWS,THS_M3,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	114219.5 s	: 	: 	: 	: 	: 	: 	: 	: 	1308.4 	: 	0 s	-0.03 	: 
A,BAL,FAWS,THS_M3,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FAWS,THS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-56437.72 s	: 	: 	: 	: 	: 	: 	: 	: 	0 s	: 	: 
