freq,unit,wat_proc,wat_src,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_M3,ABS_ELC_CL,FSW,SK	: 	: 	: 	113.60 	56.00 	53.80 	51.50 	54.20 	57.20 	54.60 	51.20 	50.40 
A,MIO_M3,ABS_ELC_CL,FSW,TR	62.90 	: 	61.98 	: 	68.69 	: 	64.13 	: 	67.82 	: 	46.98 	: 
A,MIO_M3,ABS_ELC_CL,FSW,UK	188.00 	165.90 	154.47 s	143.03 s	131.60 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_ELC_CL,FSW,XK	13.79 	12.76 	12.94 	13.66 	12.09 	14.80 	15.32 	12.25 	14.16 	15.25 	: 	: 
A,MIO_M3,ABS_IND,FSW,AL	: 	: 	: 	: 	: 	: 	: 	2.77 e	2.44 	2.10 	2.03 	0.90 
A,MIO_M3,ABS_IND,FSW,BA	48.10 	66.00 	50.13 	59.69 	51.36 	45.63 	44.74 	48.73 	46.41 	50.80 	51.61 	41.50 
A,MIO_M3,ABS_IND,FSW,BE	1099.00 s	1078.09 	1059.48 	966.83 	985.38 	901.09 	906.67 	982.97 	965.76 	924.17 	: 	: 
A,MIO_M3,ABS_IND,FSW,BG	81.41 	63.65 	54.09 	50.20 	46.20 	52.23 	54.95 	62.13 	60.74 	58.82 	56.03 	: 
A,MIO_M3,ABS_IND,FSW,CH	: 	: 	442.40 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_IND,FSW,CZ	218.20 	208.30 	209.60 	190.20 	201.90 	201.30 	192.10 	197.40 	201.20 	197.40 	180.10 	191.60 
A,MIO_M3,ABS_IND,FSW,DE	3896.00 	3762.83 s	3629.65 s	3496.48 	3549.49 s	3602.50 s	3655.52 	3557.73 s	3459.95 s	3362.17 	: 	: 
A,MIO_M3,ABS_IND,FSW,DK	2.16 b	2.23 	1.31 	1.33 	1.18 	1.16 	1.35 	1.71 	1.76 	1.44 	1.39 p	0.21 p
A,MIO_M3,ABS_IND,FSW,EE	17.00 	13.10 	17.40 	29.36 	18.06 	27.99 	27.47 	28.91 	28.57 	49.75 b	50.43 	50.01 
A,MIO_M3,ABS_IND,FSW,EL	: 	1.59 	1.59 	1.59 	1.59 	1.59 	24.19 b	24.19 	24.19 	24.19 	24.19 	24.19 
A,MIO_M3,ABS_IND,FSW,ES	331.00 	326.09 e	312.78 e	311.68 e	310.31 e	292.00 	275.00 e	270.90 e	266.80 e	270.50 e	271.80 e	: 
A,MIO_M3,ABS_IND,FSW,FI	1414.00 	1336.65 s	1259.30 	1417.10 	1417.00 	1353.00 	1407.00 	1101.00 	1425.00 	1540.00 	1490.33 	1398.80 
A,MIO_M3,ABS_IND,FSW,FR	1023.33 	1074.18 	1520.32 	1491.71 	1450.59 	1552.14 	1333.01 	1465.77 	1396.81 	1386.33 	1160.22 	: 
A,MIO_M3,ABS_IND,FSW,HR	23.60 e	24.67 e	23.59 e	23.02 	21.79 	22.89 	22.05 	22.63 	21.58 	21.56 	18.36 	16.74 
A,MIO_M3,ABS_IND,FSW,HU	32.90 	36.90 	59.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_IND,FSW,IT	: 	: 	: 	: 	: 	3651.00 d	3667.25 dp	4258.96 dp	3991.84 dp	3891.29 dp	: 	: 
A,MIO_M3,ABS_IND,FSW,LT	20.21 	24.48 	27.82 	26.44 	25.79 	25.55 	24.91 	26.55 	25.01 	24.55 	24.90 	23.39 
A,MIO_M3,ABS_IND,FSW,LU	2.50 	2.80 	3.10 	0.21 	1.47 	0.95 	0.16 	0.62 	0.79 	3.01 	2.47 	2.84 
A,MIO_M3,ABS_IND,FSW,LV	15.11 	17.32 	15.98 	14.20 	13.15 	11.56 	13.58 	11.96 	7.90 	8.36 	9.30 	11.30 
A,MIO_M3,ABS_IND,FSW,MK	40.20 	38.60 	73.70 	44.40 	37.40 	3.64 b	1.02 	26.79 	17.28 	17.43 	: 	: 
A,MIO_M3,ABS_IND,FSW,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MIO_M3,ABS_IND,FSW,NL	2738.89 	2787.15 	2837.12 	2696.53 	2381.18 	2082.36 	2396.86 	2390.71 	2326.10 	2285.20 	2307.60 	: 
A,MIO_M3,ABS_IND,FSW,PL	299.50 	314.20 	308.60 	315.40 	304.30 	309.50 	326.26 	329.86 	328.94 	321.64 	314.90 	319.83 
A,MIO_M3,ABS_IND,FSW,RO	3326.00 	3235.00 	3059.00 	3163.00 	3227.00 	3265.00 	3245.00 	3325.00 	: 	: 	3305.00 	3349.00 
A,MIO_M3,ABS_IND,FSW,RS	90.16 	105.89 	86.14 	73.82 	70.58 	82.43 	79.69 	98.91 	45.58 	44.94 	41.98 	41.85 
A,MIO_M3,ABS_IND,FSW,SE	1552.00 	1479.60 s	1407.20 s	1334.80 s	1262.40 s	1190.00 	1199.80 s	1209.60 s	1219.40 s	1229.20 s	1239.00 	: 
A,MIO_M3,ABS_IND,FSW,SI	27.60 	26.00 	20.10 	23.50 	22.50 	22.40 	22.00 	22.60 	21.40 	20.88 	19.21 	17.22 
A,MIO_M3,ABS_IND,FSW,SK	205.50 	199.10 	259.20 	107.70 	104.90 	105.30 	103.40 	105.00 	108.20 	107.50 	105.90 	108.70 
A,MIO_M3,ABS_IND,FSW,TR	224.00 	: 	196.82 	: 	205.54 	: 	212.03 	: 	220.51 	: 	182.60 	: 
