freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCC1,EL4	6.1 	5.5 	5.3 	6.4 
A,CVA,LCC1,EL41	8.2 	9.6 	8.5 	8.8 
A,CVA,LCC1,EL42	18.4 	10.7 	10.9 	12.4 
A,CVA,LCC1,EL43	9.3 	8.7 	8.5 	11.6 
A,CVA,LCC1,EL5	1.7 	1.5 	1.4 	1.6 
A,CVA,LCC1,EL51	3.3 	2.5 	2.4 	3.0 
A,CVA,LCC1,EL52	3.5 	2.9 	2.8 	2.8 
A,CVA,LCC1,EL53	3.4 	3.3 	3.2 	4.2 
A,CVA,LCC1,EL54	3.7 	3.2 	2.9 	3.2 
A,CVA,LCC1,EL6	2.3 	2 	1.9 	2.2 
A,CVA,LCC1,EL61	4.7 	3.7 	3.7 	4.4 
A,CVA,LCC1,EL62	14.5 	13.6 	10 	9.1 
A,CVA,LCC1,EL63	5 	4.5 	4.1 	4.3 
A,CVA,LCC1,EL64	3.7 	3.4 	3.5 	3.7 
A,CVA,LCC1,EL65	5.6 	4.6 	4.3 	6.0 
A,CVA,LCC1,ES	0.7 	0.6 	0.6 	1.3 
A,CVA,LCC1,ES1	1.9 	1.6 	1.5 	3.4 
A,CVA,LCC1,ES11	2.2 	2 	1.9 	4.5 
A,CVA,LCC1,ES12	4.5 	3.3 	3.3 	5.7 
A,CVA,LCC1,ES13	5.9 	5 	4.6 	7.2 
A,CVA,LCC1,ES2	1.8 	1.5 	1.5 	2.5 
A,CVA,LCC1,ES21	4.2 	3 	3 	3.7 
A,CVA,LCC1,ES22	3.9 	3.5 	3.4 	3.2 
A,CVA,LCC1,ES23	6 	5.3 	5.1 	10.2 
A,CVA,LCC1,ES24	2.4 	2.1 	2 	3.8 
A,CVA,LCC1,ES3	8.7 	7.6 	5.9 	8.4 
A,CVA,LCC1,ES30	8.7 	7.6 	5.9 	8.4 
A,CVA,LCC1,ES4	1.2 	1 	1 	2.4 
A,CVA,LCC1,ES41	1.7 	1.6 	1.4 	3.8 
A,CVA,LCC1,ES42	1.9 	1.5 	1.5 	3.6 
A,CVA,LCC1,ES43	4.7 	3.3 	3 	6.1 
A,CVA,LCC1,ES5	1.8 	1.4 	1.4 	2.0 
A,CVA,LCC1,ES51	2 	1.6 	1.6 	2.3 
A,CVA,LCC1,ES52	4.1 	2.9 	3 	3.8 
A,CVA,LCC1,ES53	24.4 	7.1 	5.7 	9.6 
A,CVA,LCC1,ES6	1.8 	1.5 	1.6 	4.7 
A,CVA,LCC1,ES61	1.9 	1.6 	1.7 	5.4 
A,CVA,LCC1,ES62	6.1 	4.3 	4.6 	5.0 
A,CVA,LCC1,EU27_2007	: 	0.2 	0.2 	0.3 
A,CVA,LCC1,EU27_2020	: 	: 	0.2 	0.3 
A,CVA,LCC1,EU28	: 	: 	0.2 	0.3 
A,CVA,LCC1,EU_V	0.2 	0.2 	0.2 	0.3 
A,CVA,LCC1,FI	0.5 	0.5 	0.5 	1.6 
