freq,treespec,prod_wd,stk_flow,unit,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CONIF,PN_PY,EXP,THS_EUR,SI	: 	: 	: 	: 	13109.25 e	11224.16 e	541.41 	356.11 	823.34 	1036.87 	1668.17 	2599.43 	6696.1 	17783.06 	42114.94 	46544.24 	29766.25 	29230.91 	27617.72 	25512.28 	20736.79 	19732.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,SK	: 	: 	: 	: 	14730.19 e	6341.53 p	6325.6 	4067.95 	2827.14 	2982.88 	4313.77 	4888.5 	6675.18 	5013.73 	5204.68 	5790.25 	3420.4 	11991.34 	15580.5 	16549.17 	20428.91 	19318.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,UK	: 	: 	: 	: 	6299.31 e	9635.03 e	7305.79 	11432.52 	12697.86 	14317.19 	18634.61 	18114.69 	22697.41 	22433.47 	20757.04 	13969.59 	9006.15 	6406.72 	11525.39 	9753.19 	6643.75 	5851.19 	8633.19 	5490.91 	6800.65 	6086.27 	8923.09 	7185.16 	7108.5 	5593.36 	: 
A,CONIF,PN_PY,EXP,THS_M3,AT	: 	: 	: 	151.6 p	152.2 p	152.8 p	153.4 	154 	202 	249 	196 	207 	213 	226 	231 	121 	104 	100.43 	235.44 	295.59 	284.17 	296.83 	305.38 	263.99 	307.45 	: 	: 	: 	: 	: 	263.97 p
A,CONIF,PN_PY,EXP,THS_M3,BE	: 	: 	: 	: 	: 	: 	: 	89.2 e	95 	89.69 	98.78 	135.4 	163.19 	156 	156 e	134 	184 	152.57 	248.95 e	227.72 	205.28 e	209.82 	98.98 	98.94 	106.53 	138.76 	152.08 	172.76 	172.82 	488.77 	5601.66 
A,CONIF,PN_PY,EXP,THS_M3,BG	: 	: 	: 	: 	9.8 e	9 e	9 e	: 	41 	: 	: 	32 e	32 e	32 e	23 	6.19 	6.51 	18.51 	4.08 	6.6 	4.57 	6.03 	8.85 	8.77 	13.67 	9.28 	4.08 	2.17 	1.42 	5.65 	5.98 
A,CONIF,PN_PY,EXP,THS_M3,CH	: 	: 	: 	: 	4 e	4 e	6 e	0 	0.63 	0.64 	0.79 	1 	0.91 	0.59 	1.14 	1.18 	1.56 	0.06 	0.08 	0.07 	0.05 	0.07 	1.13 	1.12 	1.41 	1.13 	0.74 	0.67 	0.79 	1.16 	1.16 e
A,CONIF,PN_PY,EXP,THS_M3,CY	: 	: 	: 	: 	0.4 e	1.9 e	1.9 e	2.85 e	0 	0 	0.01 	0.04 	0.11 	0.06 	0.11 	0.02 	0.06 	0.02 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.15 	0.04 	0.05 	0 
A,CONIF,PN_PY,EXP,THS_M3,CZ	: 	: 	: 	40 p	41 p	42 p	43 	44 	64 	65 	60 	50 	55 	53 	61 	62 	23.15 	36.35 	12.93 	67.47 	63 	82.2 	86 	83.77 	97.29 	98.55 	113.41 	122.24 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_M3,DE	: 	: 	: 	: 	135 e	152 e	166 e	160 e	96.6 e	106.72 e	90.18 e	98 e	136.38 e	139.94 e	165.62 	139.25 	115.55 	88.55 	150.43 	140.42 	104.7 	104.17 	113.15 	115.49 	112.36 	133.69 	139.33 	133.42 	155.6 	168.27 	153.23 
