freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	2000 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FOR,MIO_EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.12 	4.22 	-0.1 	-0.5 	: 
A,BAL,FOR,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	30 	-109 	-2 	: 
A,BAL,FOR,MIO_NAC,DK	: 	: 	: 	: 	: 	: 	-1 	1 	0 	: 	: 	1 	: 	1 	-2 	1 	: 	: 	: 
A,BAL,FOR,MIO_NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	77.73 	140.17 	-5.01 	-42.61 	84.19 	152.14 	132.28 	291.2 e	298.71 	121.6 e	: 
A,BAL,FOR,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.01 e	: 	: 
A,BAL,FOR,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111.5 	116.8 	92.9 	104.9 	85.8 	-97.6 	40.1 	21.4 	: 
A,BAL,FOR,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	-22.18 	: 	: 	: 	33.09 	: 	: 	: 	-60.7 	138.88 	-1.4 	: 
A,BAL,FOR,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.12 	4.22 	-0.1 	-0.5 	: 
A,BAL,FOR,THS_HA,AT	: 	: 	1.57 	1.57 	1.57 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 	-1.04 
A,BAL,FOR,THS_HA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 	5 	0 	: 
A,BAL,FOR,THS_HA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.01 	: 	: 	0 	-0.01 	: 	: 	: 
A,BAL,FOR,THS_HA,FR	: 	: 	: 	: 	: 	: 	: 	: 	59.2 	105.4 	-3.78 	-31.33 	60.99 	108.94 	92.44 	205.91 e	206.78 	81.7 	: 
A,BAL,FOR,THS_HA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.65 	: 	: 
A,BAL,FOR,THS_HA,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
