A,THS_HA,FOWL,PRO,FI	: 	3068 	3861 	4327 	4327 
A,THS_HA,FOWL,PRO,FR	: 	: 	: 	6179.99 e	6179.99 e
A,THS_HA,FOWL,PRO,HR	195 	239 	259 	279 	320 
A,THS_HA,FOWL,PRO,HU	316.21 e	322.62 e	424.41 e	872.06 e	874.37 e
A,THS_HA,FOWL,PRO,IE	4.25 e	6.47 e	6.47 e	6.47 e	6.47 e
A,THS_HA,FOWL,PRO,IT	838 	2874 e	4502.62 	4705.63 	4705.63 
A,THS_HA,FOWL,PRO,LT	: 	322 e	370 e	375 e	377 e
A,THS_HA,FOWL,PRO,LU	0 	0.2 	2 	2 e	2 e
A,THS_HA,FOWL,PRO,LV	: 	561.06 e	511.63 e	530.79 e	549.40 e
A,THS_HA,FOWL,PRO,NL	: 	83 	87 	90 	92 
A,THS_HA,FOWL,PRO,PL	30 	1623 	1698 	1607.4 	1607.5 
A,THS_HA,FOWL,PRO,PT	: 	1583.6 	1583.6 	0 	1070.11 
A,THS_HA,FOWL,PRO,RO	: 	: 	538.9 e	538.9 e	538.9 e
A,THS_HA,FOWL,PRO,SE	853.19 	1944.03 	2027.33 	2192.73 	2245.03 
A,THS_HA,FOWL,PRO,SI	69.7 	135.4 	259.1 	258.2 	278 
A,THS_HA,FOWL,PRO,SK	: 	860.7 	835.7 	845.6 	853.7 
A,THS_HA,FOWL,PRO,UK	: 	: 	: 	290 e	290 e
A,THS_HA,FOWL,PRO_BIO,AT	: 	116.6 	116.6 	291.2 	501.58 
A,THS_HA,FOWL,PRO_BIO,BE	: 	8.3 e	12.3 e	16.03 e	21.6 e
A,THS_HA,FOWL,PRO_BIO,BG	108 	146 	135 	155 	153 e
A,THS_HA,FOWL,PRO_BIO,CY	8.17 	21.52 	26.41 	26.41 	26.41 
A,THS_HA,FOWL,PRO_BIO,CZ	: 	152.98 	163.6 	162.4 	163.1 
A,THS_HA,FOWL,PRO_BIO,DE	: 	2139 	2807 	3306 	3306 e
A,THS_HA,FOWL,PRO_BIO,DK	2.01 	15.39 	41.09 	34.32 	37.11 
A,THS_HA,FOWL,PRO_BIO,EE	: 	216.44 	268.95 	312.83 	334.02 
A,THS_HA,FOWL,PRO_BIO,EL	139 	152 	159 	164 	164 
A,THS_HA,FOWL,PRO_BIO,ES	2437.88 	0 	5006.24 	5253.47 	5271.03 
A,THS_HA,FOWL,PRO_BIO,EU27_2020	3835.66 	12516.53 	19719.47 	24954.22 	26400.13 
A,THS_HA,FOWL,PRO_BIO,EU28	3835.66 	12516.53 	19719.47 	25244.22 	26690.13 
A,THS_HA,FOWL,PRO_BIO,FI	: 	2475 	2652 	3451 	3451 
A,THS_HA,FOWL,PRO_BIO,FR	: 	: 	: 	3515.6 e	3515.6 e
A,THS_HA,FOWL,PRO_BIO,HR	194 	236 	256 	275 	316 
A,THS_HA,FOWL,PRO_BIO,HU	64.16 e	149.77 e	238.35 e	661.64 e	662.72 e
A,THS_HA,FOWL,PRO_BIO,IE	4.25 e	6.47 e	6.47 e	6.47 e	6.47 e
A,THS_HA,FOWL,PRO_BIO,IT	: 	2874 e	3443.4 	3646.41 	3646.41 
A,THS_HA,FOWL,PRO_BIO,LT	: 	167 e	193 e	201 e	203 e
A,THS_HA,FOWL,PRO_BIO,LU	0 	0.2 	2 	2 e	2 e
A,THS_HA,FOWL,PRO_BIO,LV	: 	418.73 e	354.05 e	371.59 e	386.91 e
A,THS_HA,FOWL,PRO_BIO,NL	: 	50 	54 	57 	59 
A,THS_HA,FOWL,PRO_BIO,PL	30 	277 	295 	299.4 	299.7 
A,THS_HA,FOWL,PRO_BIO,PT	: 	638.7 	638.7 	0 	1068.85 
A,THS_HA,FOWL,PRO_BIO,RO	: 	: 	398.4 e	398.4 e	398.4 e
