Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040
1.B. Fugitive emissions from fuels,WAM,ESR,516.08,467.36,418.64,369.92,321.2,284.44,247.68,210.92,174.16,137.4,134.08,130.76,127.44,124.12,120.8,119.9,119.0,118.1,117.2,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,,,,
1.B. Fugitive emissions from fuels,WAM,Total,516.08,467.36,418.64,369.92,321.2,284.44,247.68,210.92,174.16,137.4,134.08,130.76,127.44,124.12,120.8,119.9,119.0,118.1,117.2,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,,,,
1.B. Fugitive emissions from fuels,WEM,ESR,516.08,467.36,418.64,369.92,321.2,284.44,247.68,210.92,174.16,137.4,134.08,130.76,127.44,124.12,120.8,119.9,119.0,118.1,117.2,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,321.23481218651,137.353182775,120.785354340085,116.326472821331
1.B. Fugitive emissions from fuels,WEM,Total,516.08,467.36,418.64,369.92,321.2,284.44,247.68,210.92,174.16,137.4,134.08,130.76,127.44,124.12,120.8,119.9,119.0,118.1,117.2,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,116.3,321.23481218651,137.353182775,120.785354340085,116.326472821331
2. Industrial processes,WAM,ESR,4760.36,4603.32,4446.28,4289.24,4132.2,4028.18,3924.16,3820.14,3716.12,3612.1,3628.96,3645.82,3662.68,3679.54,3696.4,3691.64,3686.88,3682.12,3677.36,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,,,,
2. Industrial processes,WAM,ETS,5894.7,5846.9,5799.1,5751.3,5703.5,5691.08,5678.66,5666.24,5653.82,5641.4,5645.72,5650.04,5654.36,5658.68,5663.0,5649.48,5635.96,5622.44,5608.92,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,,,,
2. Industrial processes,WAM,Total,10655.04,10450.18,10245.32,10040.46,9835.6,9719.18,9602.76,9486.34,9369.92,9253.5,9274.66,9295.82,9316.98,9338.14,9359.3,9341.04,9322.78,9304.52,9286.26,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,,,,
2. Industrial processes,WEM,ESR,4760.36,4603.32,4446.28,4289.24,4132.2,4028.18,3924.16,3820.14,3716.12,3612.1,3628.96,3645.82,3662.68,3679.54,3696.4,3691.64,3686.88,3682.12,3677.36,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,3672.6,4132.17154081004,3612.11105584299,3696.35429422962,3672.57792049645
2. Industrial processes,WEM,ETS,5894.7,5846.9,5799.1,5751.3,5703.5,5691.08,5678.66,5666.24,5653.82,5641.4,5645.72,5650.04,5654.36,5658.68,5663.0,5649.48,5635.96,5622.44,5608.92,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5595.4,5703.46289537534,5641.40058480877,5662.95578638762,5595.40447104164
2. Industrial processes,WEM,Total,10655.04,10450.18,10245.32,10040.46,9835.6,9719.18,9602.76,9486.34,9369.92,9253.5,9274.66,9295.82,9316.98,9338.14,9359.3,9341.04,9322.78,9304.52,9286.26,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9268.0,9835.63443618538,9253.51164065177,9359.31008061724,9267.98239153809
3. Agriculture,WAM,ESR,8329.96,8440.32,8550.68,8661.04,8771.4,8884.58,8997.76,9110.94,9224.12,9337.3,9459.18,9581.06,9702.94,9824.82,9946.7,10043.84,10140.98,10238.12,10335.26,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,,,,
3. Agriculture,WAM,Total,8329.96,8440.32,8550.68,8661.04,8771.4,8884.58,8997.76,9110.94,9224.12,9337.3,9459.18,9581.06,9702.94,9824.82,9946.7,10043.84,10140.98,10238.12,10335.26,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,,,,
3. Agriculture,WEM,ESR,8329.96,8440.32,8550.68,8661.04,8771.4,8884.58,8997.76,9110.94,9224.12,9337.3,9459.18,9581.06,9702.94,9824.82,9946.7,10043.84,10140.98,10238.12,10335.26,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,10432.4,8771.41878072404,9337.253976985,9946.72725825362,10432.3993096801
