Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1.B. Fugitive emissions from fuels,WEM,Total,7227.3835,7129.50516,7031.6307,7124.48939,7077.08412,7069.04763,7001.56861,6829.07253,6689.53923,6526.85849,6375.42639,6274.16057,6165.43724,6061.45766,5957.77307,5856.40199,5761.95477,5674.13916,5591.86649,5499.09624,5448.18359,5413.35089,5381.17731,5350.45592,5323.18761,5310.32718,5298.41581,5382.04534,5369.71393,5357.28492,,,7031.63070280748,7124.48939275315,7077.08412176132,7069.0476316959,7001.56860565194,6829.07253339585,6689.53923456364,6526.85849368682,6375.42639264444,6274.16056739817,6165.43724061708,6061.45765828528,5957.77306731288,5856.40199178967,5761.95476674575,5674.13916159555,5591.86648617746,5499.09623746603,5448.18359490653,5413.35088777208,5381.17730529551,5350.45591611798,5323.18761397907,5310.32717710881,5298.41581418167,5382.04534230231,5369.71392748305,5357.2849168909
2. Industrial processes,WAM,ESR,13126.95309,12931.19301,12735.41333,11790.97292,10775.19049,9843.28966,8932.10243,7996.58347,6922.24163,6217.60596,5795.02227,5602.91942,5430.68162,5183.14629,4924.67773,4821.29812,4698.4813,4557.02609,4432.2501,4324.79834,4261.77591,4230.81878,4216.74127,4187.43949,4155.94388,4143.93559,4119.45539,4102.33706,4085.06471,4058.44739,,,12735.413327574,11790.9729175447,10775.1904910889,9843.28966106189,8932.10243075703,7996.58347064316,6922.24163492195,6217.60596188203,5795.02227035285,5602.91941565572,5430.68161686039,5183.14629108189,4924.67773004139,4821.29811986985,4698.48130497275,4557.0260881432,4432.25010188482,4324.79833705139,4261.7759068923,4230.81878184123,4216.74127434144,4187.43949378845,4155.9438798786,4143.93558765698,4119.45538640546,4102.33705933484,4085.06470978086,4058.44738965185
2. Industrial processes,WAM,ETS,42032.10596,42433.67973,42822.74261,42227.08179,41284.11471,40005.17135,38401.51622,36372.85969,34353.59593,32273.23978,29922.50955,27694.35049,25629.71536,23766.48728,21991.72714,20474.16846,19298.13565,18322.7056,17385.3398,16331.82851,16916.7633,16662.84708,16407.1642,16151.23508,15926.20407,15926.54455,15923.28673,15921.07876,15916.72531,15912.56395,,,42822.7426134246,42227.081786391,41284.1147135833,40005.1713529655,38401.5162232364,36372.8596924123,34353.5959327622,32273.2397833354,29922.5095520784,27694.3504873893,25629.7153588154,23766.4872846759,21991.7271397199,20474.1684640959,19298.1356501307,18322.7055996581,17385.3397967518,16331.8285063243,16916.7633001604,16662.8470789382,16407.1642040091,16151.2350816986,15926.2040718313,15926.5445540167,15923.286727857,15921.0787632083,15916.7253071245,15912.5639521519
2. Industrial processes,WAM,Total,55158.97449,55364.69615,55558.15594,54018.0547,52059.3052,49848.46101,47333.61865,44369.44316,41275.83757,38490.84575,35717.53182,33297.2699,31060.39698,28949.63358,26916.40487,25295.46658,23996.61696,22879.73169,21817.5899,20656.62684,21178.53921,20893.66586,20623.90548,20338.67458,20082.14795,20070.48014,20042.74211,20023.41582,20001.79002,19971.01134,0.0,0.0,55558.1559409986,54018.0547039356,52059.3052046723,49848.4610140274,47333.6186539935,44369.4431630554,41275.8375676841,38490.8457452174,35717.5318224313,33297.269903045,31060.3969756758,28949.6335757578,26916.4048697613,25295.4665839657,23996.6169551034,22879.7316878013,21817.5898986366,20656.6268433757,21178.5392070527,20893.6658607794,20623.9054783506,20338.674575487,20082.1479517099,20070.4801416737,20042.7421142624,20023.4158225431,20001.7900169053,19971.0113418038
2. Industrial processes,WEM,ESR,13126.95309,12931.19301,12735.43293,11837.06687,10909.67988,10061.05056,9266.00962,8445.10203,7480.91564,6882.3046,6521.57056,6390.78712,6272.85103,6171.10766,6045.57168,5952.01762,5854.13513,5731.8838,5636.96846,5561.34527,5506.95878,5486.76912,5484.06514,5462.62984,5443.55863,5451.7611,5448.11864,5452.10362,5457.522,5454.14223,,,12735.4329300825,11837.0668737035,10909.6798766635,10061.0505624527,9266.00961698499,8445.10203230784,7480.91564016284,6882.30460255587,6521.57055798092,6390.78712499968,6272.85102790598,6171.10765928697,6045.57167780629,5952.01762447991,5854.13513215975,5731.88380446032,5636.96846206915,5561.34527275257,5506.95877539715,5486.76912362218,5484.06514157592,5462.62983982644,5443.55862674741,5451.76110431233,5448.11863778965,5452.10362370713,5457.52199504512,5454.14222756126
2. Industrial processes,WEM,ETS,42032.10596,42433.67973,42835.2535,42248.48925,41377.19978,40136.82109,38556.26129,36542.14181,34531.15404,32451.63898,30096.04567,27857.06659,25776.77349,23896.78505,22102.57253,20561.01586,19360.86753,18367.5817,17417.37242,16356.79636,16939.27345,16683.09882,16425.04136,16166.69132,15939.97745,15944.16873,15944.70289,15944.39956,15942.36082,15939.43554,,,42835.2535029411,42248.4892542013,41377.1997802763,40136.8210892373,38556.2612904837,36542.141805334,34531.1540421058,32451.6389781387,30096.0456673402,27857.0665889814,25776.77349387,23896.7850540217,22102.5725339722,20561.015863902,19360.8675267119,18367.5816973374,17417.3724151524,16356.7963595913,16939.2734509515,16683.0988228057,16425.0413621209,16166.6913183124,15939.9774493093,15944.1687302055,15944.7028856882,15944.3995612103,15942.3608223857,15939.4355447066
2. Industrial processes,WEM,Total,55158.97449,55364.69615,55570.68643,54085.55613,52286.87966,50197.87165,47822.27091,44987.24384,42012.06968,39333.94358,36617.61623,34247.85371,32049.62452,30067.89271,28148.14421,26513.03349,25215.00266,24099.4655,23054.34088,21918.14163,22446.23223,22169.86795,21909.1065,21629.32116,21383.53608,21395.92983,21392.82152,21396.50318,21399.88282,21393.57777,,,55570.6864330236,54085.5561279048,52286.8796569397,50197.8716516901,47822.2709074687,44987.2438376418,42012.0696822686,39333.9435806946,36617.6162253211,34247.8537139811,32049.624521776,30067.8927133086,28148.1442117785,26513.0334883819,25215.0026588717,24099.4655017977,23054.3408772216,21918.1416323439,22446.2322263486,22169.8679464278,21909.1065036968,21629.3211581388,21383.5360760567,21395.9298345178,21392.8215234779,21396.5031849174,21399.8828174308,21393.5777722678
3. Agriculture,WAM,ESR,56945.70557,56416.1132,54771.16557,53869.78811,52968.41065,52050.05254,51131.69442,50213.33631,49294.9782,48376.62009,48087.18572,47797.75135,47508.31698,47218.88261,46929.44824,46776.25387,46623.05951,46469.86514,46316.67077,46163.4764,46104.86526,46046.25412,45987.64297,45929.03183,45870.42069,45807.32233,45744.22397,45681.1256,45618.02724,45554.92888,,,54771.1655662815,53869.7881062118,52968.4106461421,52050.0525354542,51131.6944247663,50213.3363140785,49294.9782033906,48376.6200927027,48087.1857229446,47797.7513531865,47508.3169834285,47218.8826136704,46929.4482439124,46776.2538749996,46623.0595060869,46469.8651371741,46316.6707682614,46163.4763993486,46104.8652573886,46046.2541154286,45987.6429734686,45929.0318315086,45870.4206895486,45807.3223276886,45744.2239658286,45681.1256039686,45618.0272421086,45554.9288802486
3. Agriculture,WAM,Total,56945.70676,56416.112,54771.16557,53869.78811,52968.41065,52050.05254,51131.69442,50213.33631,49294.9782,48376.62009,48087.18572,47797.75135,47508.31698,47218.88261,46929.44824,46776.25387,46623.05951,46469.86514,46316.67077,46163.4764,46104.86526,46046.25412,45987.64297,45929.03183,45870.42069,45807.32233,45744.22397,45681.1256,45618.02724,45554.92888,,,54771.1655662815,53869.7881062118,52968.4106461421,52050.0525354542,51131.6944247663,50213.3363140785,49294.9782033906,48376.6200927027,48087.1857229446,47797.7513531865,47508.3169834285,47218.8826136704,46929.4482439124,46776.2538749996,46623.0595060869,46469.8651371741,46316.6707682614,46163.4763993486,46104.8652573886,46046.2541154286,45987.6429734686,45929.0318315086,45870.4206895486,45807.3223276886,45744.2239658286,45681.1256039686,45618.0272421086,45554.9288802486
3. Agriculture,WEM,ESR,56945.70557,56416.1132,55886.52082,55356.92845,54827.33607,54335.01627,53842.69646,53350.37666,52858.05686,52365.73705,52098.73441,51831.73177,51564.72913,51297.72649,51030.72385,50915.03069,50799.33753,50683.64438,50567.95122,50452.25806,50423.16493,50394.07181,50364.97868,50335.88556,50306.79243,50287.10468,50267.41693,50247.72918,50228.04143,50208.35368,,,55886.5208213688,55356.9284463282,54827.3360712876,54335.0162678787,53842.6964644697,53350.3766610608,52858.0568576518,52365.7370542429,52098.7344132964,51831.7317723499,51564.7291314035,51297.726490457,51030.7238495106,50915.0306916157,50799.3375337209,50683.644375826,50567.9512179311,50452.2580600363,50423.1649341269,50394.0718082176,50364.9786823082,50335.8855563989,50306.7924304895,50287.1046796319,50267.4169287743,50247.7291779168,50228.0414270592,50208.3536762016
