Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.a. Domestic aviation,WAM,Total,283.4,259.4,235.4,211.4,187.4,190.58,193.76,196.94,200.12,203.3,194.16,185.02,175.88,166.74,157.6,138.32,119.04,99.76,80.48,61.2,60.66,60.12,59.58,59.04,58.5,58.34,58.18,58.02,57.86,57.7,187.35279182724,203.333240719488,157.605750746974,61.1638640664561,58.5194145730268,57.7105748013947
1.A.3.a. Domestic aviation,WEM,ESR,8.04,7.08,6.12,5.16,4.2,4.26,4.32,4.38,4.44,4.5,4.38,4.26,4.14,4.02,3.9,3.9,3.9,3.9,3.9,3.9,3.82,3.74,3.66,3.58,3.5,3.48,3.46,3.44,3.42,3.4,4.16121982723979,4.5161557194879,3.85125974903556,3.90703263310894,3.48480039386857,3.42031230323906
1.A.3.a. Domestic aviation,WEM,Total,283.4,259.4,235.4,211.4,187.4,190.58,193.76,196.94,200.12,203.3,197.32,191.34,185.36,179.38,173.4,173.9,174.4,174.9,175.4,175.9,172.1,168.3,164.5,160.7,156.9,156.32,155.74,155.16,154.58,154.0,187.35279182724,203.333240719488,173.397300749036,175.908395633109,156.898007393869,153.994537303239
1.A.3.b. Road transportation,WAM,ESR,15789.14,15981.68,16174.22,16366.76,16559.3,15243.28,13927.26,12611.24,11295.22,9979.2,9427.68,8876.16,8324.64,7773.12,7221.6,6322.54,5423.48,4524.42,3625.36,2726.3,2337.62,1948.94,1560.26,1171.58,782.9,626.38,469.86,313.34,156.82,0.3,16559.323201997,9979.23674818789,7221.62896804021,2726.27472642949,782.891967700862,0.304885478830867
1.A.3.b. Road transportation,WAM,Total,15789.14,15981.68,16174.22,16366.76,16559.3,15243.28,13927.26,12611.24,11295.22,9979.2,9427.68,8876.16,8324.64,7773.12,7221.6,6322.54,5423.48,4524.42,3625.36,2726.3,2337.62,1948.94,1560.26,1171.58,782.9,626.38,469.86,313.34,156.82,0.3,16559.323201997,9979.23674818789,7221.62896804021,2726.27472642949,782.891967700862,0.304885478830867
1.A.3.b. Road transportation,WEM,ESR,15688.32,15780.04,15871.76,15963.48,16055.2,15057.1,14059.0,13060.9,12062.8,11064.7,10860.72,10656.74,10452.76,10248.78,10044.8,9493.74,8942.68,8391.62,7840.56,7289.5,7085.12,6880.74,6676.36,6471.98,6267.6,5998.9,5730.2,5461.5,5192.8,4924.1,16055.1508997848,11064.6763853102,10044.8220187168,7289.4573175851,6267.57872596875,4924.09162579674
1.A.3.b. Road transportation,WEM,Total,15688.32,15780.04,15871.76,15963.48,16055.2,15057.1,14059.0,13060.9,12062.8,11064.7,10860.72,10656.74,10452.76,10248.78,10044.8,9493.74,8942.68,8391.62,7840.56,7289.5,7085.12,6880.74,6676.36,6471.98,6267.6,5998.9,5730.2,5461.5,5192.8,4924.1,16055.1508997848,11064.6763853102,10044.8220187168,7289.4573175851,6267.57872596875,4924.09162579674
1.A.3.c. Railways,WAM,ESR,27.92,28.34,28.76,29.18,29.6,29.86,30.12,30.38,30.64,30.9,,,,,,,,,,,,,,,,,,,,,29.5697719401924,30.8563365403522,,,,
1.A.3.c. Railways,WAM,Total,27.92,28.34,28.76,29.18,29.6,29.86,30.12,30.38,30.64,30.9,,,,,,,,,,,,,,,,,,,,,29.5697719401924,30.8563365403522,,,,
1.A.3.c. Railways,WEM,ESR,27.92,28.34,28.76,29.18,29.6,29.88,30.16,30.44,30.72,31.0,,,,,,,,,,,,,,,,,,,,,29.5697719401924,30.9839198923234,,,,
