Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1.A.1. Energy industries,WAM,ETS,737232.25815,737225.75813,739653.36716,669154.15692,621826.27986,562386.29152,506791.60497,467756.9724,421766.71273,393625.14439,374218.111785282,355255.94713132,337052.161998738,319447.533529672,300591.00818463,292826.320827589,285192.201194146,278388.577270848,270965.664098765,263496.688945322,259240.080614715,258031.889688985,257373.140498378,256127.378997916,255575.428192413,255370.398671971,255784.337889195,255849.241432676,256336.146279673,256704.979446897
1.A.1. Energy industries,WAM,Total,807005.286703333,804582.55803,799068.16704,727289.78923,678468.0949,619019.51509,562912.68263,522611.53591,474786.34033,444077.64986,422645.357042733,401990.036181821,382055.538477834,362809.577271818,342341.494151552,333857.115367184,325508.113095383,317970.746474757,309766.240074316,301690.632832514,297570.469207546,296542.529639879,296043.492802881,294932.77821909,294575.625797194,294909.435285458,295792.629930109,296298.318181018,297221.246359899,298009.82464455
1.A.1. Energy industries,WEM,ESR,69880.2254480556,67228.26525,64089.44696,62427.94106,60585.80881,61443.27508,61082.22682,59323.12728,57386.23469,55294.77645,53715.5001839721,52677.5397786287,51540.1315140011,50232.5234086578,48947.4342533143,47555.1124955135,46179.7442469968,44776.471569196,43368.3697213952,42111.8290335944,41873.3231467836,41657.7383499727,41406.9146531619,41146.5992463511,40948.8360995403,40432.3031207022,39941.6344818642,39448.4940930262,38960.4934441882,38478.3474353501
1.A.1. Energy industries,WEM,ETS,742257.60962,752448.26733,762159.48898,701849.91845,663354.71036,605936.82665,552240.45036,514231.27895,473069.28565,450245.94016,432293.192034157,415858.830287629,399738.292036299,384146.638179772,368609.464733244,355763.216586703,344019.473334964,332959.637768423,321529.951071882,310895.696645341,307297.05746695,306583.169138558,306435.895640167,305742.685541775,305240.430863384,304705.278865249,304989.740947113,305305.380068978,305661.223770843,306306.559952707
1.A.1. Energy industries,WEM,Total,811966.016653333,819676.57311,826248.99594,764278.03952,723940.61918,667380.04172,613322.35719,573554.12624,530455.28033,505540.31659,486008.372238295,468536.530076591,451278.3635508,434379.081619096,417557.199017391,403318.16910295,390199.197592595,377736.229358155,364898.280813714,353007.225679274,349068.491725885,348037.429670689,347537.843575493,346482.729172105,345680.922416909,344644.756092336,344453.268207764,344290.785553191,344173.747258618,344352.256064045
1.A.1. Energy industries,WOM,ESR,138.27333,142.40662,146.53592,150.75363,155.5213,145.46397,135.39516,125.34973,115.26904,105.19306,100.19306,95.09306,90.09306,84.99306,77.31566,72.91566,68.61566,64.31566,60.01566,55.77053,53.8632,51.50025,49.1373,46.77435,44.41141,42.02846,39.64551,37.26257,34.87962,32.49667
1.A.1. Energy industries,WOM,ETS,6865.11606,6872.6407,6879.2632,6883.26716,7034.1891,7043.83437,7050.88391,7063.21802,7067.58271,7073.01311,7073.01311,7073.01311,7073.01311,7073.01311,7117.05663,7117.05663,7117.05663,7117.05663,7117.05663,7152.18626,7185.28138,7198.81994,7212.3585,7225.89706,7239.43561,7252.97417,7266.51273,7280.05129,7293.58985,7307.12841
1.A.1. Energy industries,WOM,Total,47976.88939,47988.54732,47999.29912,48007.52079,48163.21041,48162.79835,48159.77907,48162.06775,48156.35175,48151.70617,48146.70617,48141.60617,48136.60617,48131.50617,48167.77229,48163.47229,48159.17229,48154.87229,48150.57229,48181.4568,48212.64458,48223.82019,48234.9958,48246.17141,48257.34702,48268.50263,48279.65825,48290.81386,48301.96947,48313.12508
1.A.2. Manufacturing industries and construction,WAM,ESR,118391.277434444,117387.7675,116228.80848,113253.26111,109914.37585,108470.86793,107159.26839,106032.98533,104781.37378,103464.27773,102216.411626863,101092.537605462,99955.7001722588,98990.2788101984,97993.2830381379,96867.680224078,95980.8915010664,95162.452026253,94355.9028832414,93558.4196391816,93706.6964937575,93869.8208089928,94022.2923429913,94210.9689475673,94402.8982628026,94155.5324283372,93927.9532549201,93754.697411503,93607.0184680859,93298.2973447631
1.A.2. Manufacturing industries and construction,WAM,ETS,305698.23655,298737.04496,292220.90448,284655.37366,275949.8259,266128.24929,255640.45838,245068.79629,233545.80522,221814.18511,214862.388072292,208609.166688616,203091.646111662,198173.262292878,193098.740884093,189044.169491105,185782.145494325,182790.581094268,179799.740687488,176783.9837045,173680.567484306,170629.128039221,167609.434244004,164630.44714381,161578.585738724,160105.136961608,158672.9945607,157316.408669792,156016.224928884,153928.195549938
