Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.a. Domestic aviation,WOM,ESR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961,0.0145814738024961
1.A.3.a. Domestic aviation,WOM,Total,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825,1.9027240586825
1.A.3.b. Road transportation,WAM,ESR,5638.8,5622.2,5605.6,5589.0,5572.4,5440.1,5307.9,5175.6,5043.4,4911.1,4655.3,4399.4,4143.6,3887.7,3631.9,3279.5,2927.0,2574.6,2222.2,1869.7,1686.9,1504.1,1321.3,1138.5,955.7,772.9,590.1,407.3,224.5,41.7,5638.82986833948,5622.22424253418,5605.61861672887,5589.01299092357,5572.40736511823,5440.14453686174,5307.88170860524,5175.61888034868,5043.35605209219,4911.09322383563,4655.25270584758,4399.41218785947,4143.57166987141,3887.7311518833,3631.89063389531,3279.45827633904,2927.02591878276,2574.59356122649,2222.16120367022,1869.72884611395,955.735731076828,41.7426160397056
1.A.3.b. Road transportation,WAM,Total,5638.8,5622.2,5605.6,5589.0,5572.4,5440.1,5307.9,5175.6,5043.4,4911.1,4655.3,4399.4,4143.6,3887.7,3631.9,3279.5,2927.0,2574.6,2222.2,1869.7,1686.9,1504.1,1321.3,1138.5,955.7,772.9,590.1,407.3,224.5,41.7,5638.82986833948,5622.22424253418,5605.61861672887,5589.01299092357,5572.40736511823,5440.14453686174,5307.88170860524,5175.61888034868,5043.35605209219,4911.09322383563,4655.25270584758,4399.41218785947,4143.57166987141,3887.7311518833,3631.89063389531,3279.45827633904,2927.02591878276,2574.59356122649,2222.16120367022,1869.72884611395,955.735731076828,41.7426160397056
1.A.3.b. Road transportation,WEM,ESR,5807.3,5878.2,5949.1,6020.0,6090.8,6132.8,6174.8,6216.8,6258.8,6300.7,6282.3,6263.9,6245.6,6227.2,6208.8,6153.5,6098.3,6043.1,5987.9,5932.7,5875.6,5818.5,5761.4,5704.3,5647.2,5590.12,5533.04,5475.96,5418.88,5361.8,5807.2718857706,5878.16566383492,5949.05944189926,6019.95321996358,6090.84699802789,6132.82361504784,6174.80023206779,6216.77684908774,6258.75346610769,6300.73008312763,6282.3369071305,6263.94373113336,6245.55055513622,6227.15737913908,6208.76420314195,6153.54273594785,6098.32126875375,6043.09980155963,5987.87833436553,5932.65686717141,5647.22625230702,5361.79563744264
1.A.3.b. Road transportation,WEM,Total,5807.3,5878.2,5949.1,6020.0,6090.8,6132.8,6174.8,6216.8,6258.8,6300.7,6282.3,6263.9,6245.6,6227.2,6208.8,6153.5,6098.3,6043.1,5987.9,5932.7,5875.6,5818.5,5761.4,5704.3,5647.2,5590.12,5533.04,5475.96,5418.88,5361.8,5807.2718857706,5878.16566383492,5949.05944189926,6019.95321996358,6090.84699802789,6132.82361504784,6174.80023206779,6216.77684908774,6258.75346610769,6300.73008312763,6282.3369071305,6263.94373113336,6245.55055513622,6227.15737913908,6208.76420314195,6153.54273594785,6098.32126875375,6043.09980155963,5987.87833436553,5932.65686717141,5647.22625230702,5361.79563744264
1.A.3.b. Road transportation,WOM,ESR,6259.1,6353.2,6447.3,6541.4,6635.5,6741.3,6847.1,6952.9,7058.7,7164.5,7267.2,7369.8,7472.5,7575.2,7677.9,7842.6,8007.4,8172.2,8337.0,8501.8,8495.72,8489.64,8483.56,8477.48,8471.4,8465.34,8459.28,8453.22,8447.16,8441.1,6259.11634487722,6353.20924931849,6447.30215375976,6541.39505820105,6635.48796264232,6741.29216337349,6847.09636410466,6952.90056483581,7058.70476556698,7164.50896629809,7267.17862792992,7369.84828956172,7472.51795119353,7575.18761282536,7677.85727445716,7842.63892895113,8007.42058344511,8172.20223793908,8336.98389243305,8501.76554692699,8471.4404147685,8441.11528261
1.A.3.b. Road transportation,WOM,Total,6259.1,6353.2,6447.3,6541.4,6635.5,6741.3,6847.1,6952.9,7058.7,7164.5,7267.2,7369.8,7472.5,7575.2,7677.9,7842.6,8007.4,8172.2,8337.0,8501.8,8495.72,8489.64,8483.56,8477.48,8471.4,8465.34,8459.28,8453.22,8447.16,8441.1,6259.11634487722,6353.20924931849,6447.30215375976,6541.39505820105,6635.48796264232,6741.29216337349,6847.09636410466,6952.90056483581,7058.70476556698,7164.50896629809,7267.17862792992,7369.84828956172,7472.51795119353,7575.18761282536,7677.85727445716,7842.63892895113,8007.42058344511,8172.20223793908,8336.98389243305,8501.76554692699,8471.4404147685,8441.11528261
1.A.3.c. Railways,WAM,ESR,33.6,34.8,36.1,37.4,38.7,39.3,39.9,40.5,41.1,41.7,41.0,40.3,39.6,38.9,38.2,35.3,32.5,29.7,26.8,24.0,21.86,19.72,17.58,15.44,13.3,11.18,9.06,6.94,4.82,2.7,33.5505581019922,34.8302573511886,36.1099566003849,37.3896558495813,38.6693550987778,39.2668951072629,39.8644351157481,40.4619751242334,41.0595151327185,41.6570551412039,40.9618578610037,40.2666605808036,39.5714633006037,38.8762660204036,38.1810687402037,35.3463105490487,32.5115523578928,29.6767941667369,26.842035975581,24.0072777844246,13.3478575185205,2.68843725261638
1.A.3.c. Railways,WAM,Total,33.6,34.8,36.1,37.4,38.7,39.3,39.9,40.5,41.1,41.7,41.0,40.3,39.6,38.9,38.2,35.3,32.5,29.7,26.8,24.0,21.86,19.72,17.58,15.44,13.3,11.18,9.06,6.94,4.82,2.7,33.5505581019922,34.8302573511886,36.1099566003849,37.3896558495813,38.6693550987778,39.2668951072629,39.8644351157481,40.4619751242334,41.0595151327185,41.6570551412039,40.9618578610037,40.2666605808036,39.5714633006037,38.8762660204036,38.1810687402037,35.3463105490487,32.5115523578928,29.6767941667369,26.842035975581,24.0072777844246,13.3478575185205,2.68843725261638
