Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1.A.3.c. Railways,WEM,ESR,43.78,43.36,42.94,42.52,42.1,42.04,41.98,41.92,41.86,41.8,41.76,41.72,41.68,41.64,41.6,41.76,41.92,42.08,42.24,42.4,42.52,42.64,42.76,42.88,43.0,43.1,43.2,43.3,43.4,43.5
1.A.3.c. Railways,WEM,Total,43.78,43.36,42.94,42.52,42.1,42.04,41.98,41.92,41.86,41.8,41.76,41.72,41.68,41.64,41.6,41.76,41.92,42.08,42.24,42.4,42.52,42.64,42.76,42.88,43.0,43.1,43.2,43.3,43.4,43.5
1.A.3.d. Domestic navigation,WAM,ESR,653.3,648.2,643.1,638.0,632.9,626.3,619.7,613.1,606.5,599.9,606.6,613.3,620.0,626.7,633.4,635.16,636.92,638.68,640.44,642.2,644.82,647.44,650.06,652.68,655.3,657.94,660.58,663.22,665.86,668.5
1.A.3.d. Domestic navigation,WAM,Total,653.3,648.2,643.1,638.0,632.9,626.3,619.7,613.1,606.5,599.9,606.6,613.3,620.0,626.7,633.4,635.16,636.92,638.68,640.44,642.2,644.82,647.44,650.06,652.68,655.3,657.94,660.58,663.22,665.86,668.5
1.A.3.d. Domestic navigation,WEM,ESR,653.3,648.2,643.1,638.0,632.9,626.3,619.7,613.1,606.5,599.9,606.6,613.3,620.0,626.7,633.4,635.16,636.92,638.68,640.44,642.2,644.82,647.44,650.06,652.68,655.3,657.94,660.58,663.22,665.86,668.5
1.A.3.d. Domestic navigation,WEM,Total,653.3,648.2,643.1,638.0,632.9,626.3,619.7,613.1,606.5,599.9,606.6,613.3,620.0,626.7,633.4,635.16,636.92,638.68,640.44,642.2,644.82,647.44,650.06,652.68,655.3,657.94,660.58,663.22,665.86,668.5
1.A.3.e. Other transportation,WAM,ESR,344.12,332.14,320.16,308.18,296.2,286.12,276.04,265.96,255.88,245.8,245.1,244.4,243.7,243.0,242.3,241.6,240.9,240.2,239.5,238.8,237.42,236.04,234.66,233.28,231.9,230.5,229.1,227.7,226.3,224.9
1.A.3.e. Other transportation,WAM,Total,344.12,332.14,320.16,308.18,296.2,286.12,276.04,265.96,255.88,245.8,245.1,244.4,243.7,243.0,242.3,241.6,240.9,240.2,239.5,238.8,237.42,236.04,234.66,233.28,231.9,230.5,229.1,227.7,226.3,224.9
1.A.3.e. Other transportation,WEM,ESR,344.12,332.14,320.16,308.18,296.2,286.12,276.04,265.96,255.88,245.8,245.1,244.4,243.7,243.0,242.3,241.6,240.9,240.2,239.5,238.8,237.42,236.04,234.66,233.28,231.9,230.5,229.1,227.7,226.3,224.9
1.A.3.e. Other transportation,WEM,Total,344.12,332.14,320.16,308.18,296.2,286.12,276.04,265.96,255.88,245.8,245.1,244.4,243.7,243.0,242.3,241.6,240.9,240.2,239.5,238.8,237.42,236.04,234.66,233.28,231.9,230.5,229.1,227.7,226.3,224.9
1.A.4. Other sectors,WAM,ESR,2214.08,2066.86,1919.64,1772.42,1625.2,1498.0,1370.8,1243.6,1116.4,989.2,978.94,968.68,958.42,948.16,937.9,927.86,917.82,907.78,897.74,887.7,876.26,864.82,853.38,841.94,830.5,818.56,806.62,794.68,782.74,770.8
1.A.4. Other sectors,WAM,Total,2214.08,2066.86,1919.64,1772.42,1625.2,1498.0,1370.8,1243.6,1116.4,989.2,978.94,968.68,958.42,948.16,937.9,927.86,917.82,907.78,897.74,887.7,876.26,864.82,853.38,841.94,830.5,818.56,806.62,794.68,782.74,770.8
1.A.4. Other sectors,WEM,ESR,2214.08,2066.86,1919.64,1772.42,1625.2,1498.0,1370.8,1243.6,1116.4,989.2,978.94,968.68,958.42,948.16,937.9,927.86,917.82,907.78,897.74,887.7,876.26,864.82,853.38,841.94,830.5,818.56,806.62,794.68,782.74,770.8
1.A.4. Other sectors,WEM,Total,2214.08,2066.86,1919.64,1772.42,1625.2,1498.0,1370.8,1243.6,1116.4,989.2,978.94,968.68,958.42,948.16,937.9,927.86,917.82,907.78,897.74,887.7,876.26,864.82,853.38,841.94,830.5,818.56,806.62,794.68,782.74,770.8
1.B. Fugitive emissions from fuels,WAM,ESR,50.64,50.68,50.72,50.76,50.8,50.78,50.76,50.74,50.72,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7
1.B. Fugitive emissions from fuels,WAM,ETS,521.66,598.42,675.18,751.94,828.7,728.06,627.42,526.78,426.14,325.5,324.9,324.3,323.7,323.1,322.5,322.54,322.58,322.62,322.66,322.7,322.72,322.74,322.76,322.78,322.8,322.82,322.84,322.86,322.88,322.9
1.B. Fugitive emissions from fuels,WAM,Total,572.3,649.1,725.9,802.7,879.5,778.84,678.18,577.52,476.86,376.2,375.6,375.0,374.4,373.8,373.2,373.24,373.28,373.32,373.36,373.4,373.42,373.44,373.46,373.48,373.5,373.52,373.54,373.56,373.58,373.6
1.B. Fugitive emissions from fuels,WEM,ESR,50.64,50.68,50.72,50.76,50.8,50.78,50.76,50.74,50.72,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7
1.B. Fugitive emissions from fuels,WEM,ETS,521.66,598.42,675.18,751.94,828.7,728.06,627.42,526.78,426.14,325.5,324.9,324.3,323.7,323.1,322.5,322.54,322.58,322.62,322.66,322.7,322.72,322.74,322.76,322.78,322.8,322.82,322.84,322.86,322.88,322.9
1.B. Fugitive emissions from fuels,WEM,Total,572.3,649.1,725.9,802.7,879.5,778.84,678.18,577.52,476.86,376.2,375.6,375.0,374.4,373.8,373.2,373.24,373.28,373.32,373.36,373.4,373.42,373.44,373.46,373.48,373.5,373.52,373.54,373.56,373.58,373.6
2. Industrial processes,WAM,ESR,1526.2,1491.6,1457.0,1422.4,1387.8,1338.6,1289.4,1240.2,1191.0,1141.8,1115.58,1089.36,1063.14,1036.92,1010.7,1002.82,994.94,987.06,979.18,971.3,970.58,969.86,969.14,968.42,967.7,965.14,962.58,960.02,957.46,954.9
2. Industrial processes,WAM,ETS,4935.36,5053.92,5172.48,5291.04,5409.6,5156.64,4903.68,4650.72,4397.76,4144.8,3931.0,3717.2,3503.4,3289.6,3075.8,2997.2,2918.6,2840.0,2761.4,2682.8,2679.74,2676.68,2673.62,2670.56,2667.5,2668.38,2669.26,2670.14,2671.02,2671.9
