TIME,CITIES,INDIC_UR,Value,Flag and Footnotes
2018,Trnava,Price of a m³ of domestic water - Euro,2.17,
2018,Trencín,Total use of water - m³,"2,511,409.00",
2018,Trencín,Price of a m³ of domestic water - Euro,2.29,
2018,Helsinki / Helsingfors,Total use of water - m³,"42,510,000.00",
2018,Helsinki / Helsingfors,Price of a m³ of domestic water - Euro,1.14,
2018,Helsinki / Helsingfors (greater city),Total use of water - m³,"73,886,143.00",
2018,Helsinki / Helsingfors (greater city),Price of a m³ of domestic water - Euro,1.14,
2018,Tampere / Tammerfors,Total use of water - m³,"13,997,054.00",
2018,Tampere / Tammerfors,Price of a m³ of domestic water - Euro,1.49,
2018,Turku / Åbo,Total use of water - m³,"12,200,000.00",
2018,Turku / Åbo,Price of a m³ of domestic water - Euro,3.67,
2018,Oulu,Total use of water - m³,"12,866,000.00",
2018,Oulu,Price of a m³ of domestic water - Euro,3.5,
2018,Espoo / Esbo,Total use of water - m³,"16,570,000.00",
2018,Vantaa / Vanda,Total use of water - m³,"14,806,143.00",
2018,Vantaa / Vanda,Price of a m³ of domestic water - Euro,3.77,
2018,Lahti / Lahtis,Total use of water - m³,"7,400,000.00",
2018,Kuopio,Total use of water - m³,"7,573,006.00",
2018,Kuopio,Price of a m³ of domestic water - Euro,1.91,
2018,Jyväskylä,Total use of water - m³,"7,392,890.00",
2018,Jyväskylä,Price of a m³ of domestic water - Euro,1.98,
2018,Zürich,Number of days ozone O3 concentrations exceed 120 µg/m³,56,
2018,Zürich,Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³,0,
2018,Zürich,Number of days particulate matter PM10 concentrations exceed 50 µg/m³,3,
2018,Zürich,Accumulated ozone concentration in excess 70 µg/m³,"7,421.00",
2018,Zürich,Annual average concentration of NO2 (µg/m³),24,
2018,Zürich,Annual average concentration of PM10 (µg/m³),15,
2018,Zürich,Total use of water - m³,"36,533,077.00",
2018,Zürich,Share of population connected to potable drinking water system - %,100,e
2018,Zürich,Share of population connected to sewerage treatment system - %,100,e
2018,Zürich,Price of a m³ of domestic water - Euro,2,
2018,Genève,Number of days ozone O3 concentrations exceed 120 µg/m³,46,
2018,Genève,Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³,0,
2018,Genève,Number of days particulate matter PM10 concentrations exceed 50 µg/m³,1,
2018,Genève,Accumulated ozone concentration in excess 70 µg/m³,"7,053.00",
2018,Genève,Annual average concentration of NO2 (µg/m³),18,
2018,Genève,Annual average concentration of PM10 (µg/m³),16,
2018,Genève,Total use of water - m³,"21,534,564.00",
2018,Genève,Share of population connected to potable drinking water system - %,100,e
2018,Genève,Share of population connected to sewerage treatment system - %,100,e
2018,Genève,Price of a m³ of domestic water - Euro,2,
2018,Basel,Number of days ozone O3 concentrations exceed 120 µg/m³,48,
2018,Basel,Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³,0,
2018,Basel,Number of days particulate matter PM10 concentrations exceed 50 µg/m³,3,
2018,Basel,Accumulated ozone concentration in excess 70 µg/m³,"6,931.00",
2018,Basel,Annual average concentration of NO2 (µg/m³),21,
2018,Basel,Annual average concentration of PM10 (µg/m³),16,
2018,Basel,Total use of water - m³,"16,819,688.00",
2018,Basel,Share of population connected to potable drinking water system - %,100,e
2018,Basel,Share of population connected to sewerage treatment system - %,100,e
2018,Basel,Price of a m³ of domestic water - Euro,2,
2018,Bern,Number of days ozone O3 concentrations exceed 120 µg/m³,42,
2018,Bern,Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³,0,
2018,Bern,Number of days particulate matter PM10 concentrations exceed 50 µg/m³,1,
2018,Bern,Accumulated ozone concentration in excess 70 µg/m³,"6,919.00",
2018,Bern,Annual average concentration of NO2 (µg/m³),18,
2018,Bern,Annual average concentration of PM10 (µg/m³),16,
2018,Bern,Total use of water - m³,"12,215,184.00",
2018,Bern,Share of population connected to potable drinking water system - %,100,e
2018,Bern,Share of population connected to sewerage treatment system - %,100,e
2018,Bern,Price of a m³ of domestic water - Euro,2,
2018,Lausanne,Total use of water - m³,"12,470,473.00",
2018,Lausanne,Share of population connected to potable drinking water system - %,100,e
2018,Lausanne,Share of population connected to sewerage treatment system - %,100,e
2018,Lausanne,Price of a m³ of domestic water - Euro,2,
2018,Winterthur,Total use of water - m³,"8,709,559.00",
2018,Winterthur,Share of population connected to potable drinking water system - %,100,e
2018,Winterthur,Share of population connected to sewerage treatment system - %,100,e
2018,Winterthur,Price of a m³ of domestic water - Euro,1,
2018,St. Gallen,Total use of water - m³,"5,889,221.00",
2018,St. Gallen,Share of population connected to potable drinking water system - %,100,e
2018,St. Gallen,Share of population connected to sewerage treatment system - %,100,e
2018,St. Gallen,Price of a m³ of domestic water - Euro,3,
2018,Luzern,Number of days ozone O3 concentrations exceed 120 µg/m³,51,
2018,Luzern,Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³,0,
2018,Luzern,Number of days particulate matter PM10 concentrations exceed 50 µg/m³,0,
2018,Luzern,Accumulated ozone concentration in excess 70 µg/m³,"7,085.00",
2018,Luzern,Annual average concentration of NO2 (µg/m³),18,
2018,Luzern,Annual average concentration of PM10 (µg/m³),15,
2018,Luzern,Total use of water - m³,"7,340,269.00",
2018,Luzern,Share of population connected to potable drinking water system - %,100,e
2018,Luzern,Share of population connected to sewerage treatment system - %,100,e
2018,Luzern,Price of a m³ of domestic water - Euro,2,
2018,Lugano,Number of days ozone O3 concentrations exceed 120 µg/m³,93,
2018,Lugano,Number of hours nitrogen dioxide NO2 concentrations exceed 200 µg/m³,0,
2018,Lugano,Number of days particulate matter PM10 concentrations exceed 50 µg/m³,8,
2018,Lugano,Accumulated ozone concentration in excess 70 µg/m³,"10,001.00",
2018,Lugano,Annual average concentration of NO2 (µg/m³),25,
2018,Lugano,Annual average concentration of PM10 (µg/m³),17,
2018,Lugano,Total use of water - m³,"12,233,667.00",
2018,Lugano,Share of population connected to potable drinking water system - %,100,e
2018,Lugano,Share of population connected to sewerage treatment system - %,100,e
2018,Lugano,Price of a m³ of domestic water - Euro,1,
2019,Zagreb,Total use of water - m³,"114,712,000.00",
2019,Zagreb,Share of population connected to potable drinking water system - %,95.3,
2019,Zagreb,Price of a m³ of domestic water - Euro,2.51,
2019,Rijeka,Total use of water - m³,"22,692,000.00",
2019,Rijeka,Share of population connected to potable drinking water system - %,90.6,
2019,Rijeka,Price of a m³ of domestic water - Euro,1.91,
2019,Slavonski Brod,Total use of water - m³,"9,846,000.00",
2019,Slavonski Brod,Share of population connected to potable drinking water system - %,88.9,
2019,Slavonski Brod,Price of a m³ of domestic water - Euro,1.31,
2019,Osijek,Total use of water - m³,"10,325,000.00",
2019,Osijek,Share of population connected to potable drinking water system - %,70,
2019,Osijek,Price of a m³ of domestic water - Euro,1.71,
2019,Split,Total use of water - m³,"22,015,000.00",
2019,Split,Share of population connected to potable drinking water system - %,90.1,
2019,Split,Price of a m³ of domestic water - Euro,1.57,
2019,Pula - Pola,Total use of water - m³,"6,520,000.00",
2019,Pula - Pola,Share of population connected to potable drinking water system - %,71.2,
2019,Pula - Pola,Price of a m³ of domestic water - Euro,2.2,
2019,Zadar,Total use of water - m³,"7,121,000.00",
2019,Zadar,Share of population connected to potable drinking water system - %,81,
2019,Zadar,Price of a m³ of domestic water - Euro,2,
