Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
5. Waste,WAM,Total,0.0,1388.44713,1349.20283,1312.59359,1278.38632,1245.28238,1146.96918,1117.73854,1090.22229,1064.29336,1039.23746,1015.55233,993.14523,971.93204,951.83616,,,,,,,,,,,,,,,
5. Waste,WEM,ESR,0.0,1388.44713,1349.20283,1312.59359,1278.38632,1245.28238,1146.96918,1117.73854,1090.22229,1064.29336,1039.23746,1015.55233,993.14523,971.93204,951.83616,,,,,,,,,,,,,,,
5. Waste,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Waste,WEM,Total,0.0,1388.44713,1349.20283,1312.59359,1278.38632,1245.28238,1146.96918,1117.73854,1090.22229,1064.29336,1039.23746,1015.55233,993.14523,971.93204,951.83616,,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,ESR,24789.37978,24655.54975,24185.49644,23517.21244,22838.81468,22271.19603,21322.21237,20798.82611,20285.32473,19769.78303,19230.46636,18744.64996,18251.60434,17838.83636,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,
Total excluding LULUCF,WAM,ETS,0.0,22837.85278,22294.23266,21894.06454,21133.77858,20498.59144,19863.4043,19229.22502,18595.04575,17960.86648,17480.74268,17000.61888,16520.49509,16040.37129,15560.24749,,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,Total,48902.93904,48467.31489,47491.48384,46419.04281,44974.58372,43781.70736,42207.46597,41059.82987,39922.07863,38782.28708,37754.52105,36780.2553,35798.76032,34897.54299,34018.28871,34018.28871,34018.28871,34018.28871,34018.28871,,,,,,,,,,,
Total excluding LULUCF,WEM,ESR,24789.37978,24655.54975,24185.49644,23517.21244,22838.81468,22271.19603,21322.21237,20798.82611,20285.32473,19769.78303,19230.46636,18744.64996,18251.60434,17838.83636,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,
Total excluding LULUCF,WEM,ETS,0.0,22837.85278,22294.23266,21894.06454,21133.77858,20498.59144,19863.4043,19229.22502,18595.04575,17960.86648,17480.74268,17000.61888,16520.49509,16040.37129,15560.24749,,,,,,,,,,,,,,,
Total excluding LULUCF,WEM,Total,48902.93904,48467.31489,47491.48384,46419.04281,44974.58372,43781.70736,42207.46597,41059.82987,39922.07863,38782.28708,37754.52105,36780.2553,35798.76032,34897.54299,34018.28871,34018.28871,34018.28871,34018.28871,34018.28871,,,,,,,,,,,
Total including LULUCF,WAM,ESR,24789.37978,24655.54975,24185.49644,23517.21244,22838.81468,22271.19603,21322.21237,20798.82611,20285.32473,19769.78303,19230.46636,18744.64996,18251.60434,17838.83636,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,
Total including LULUCF,WAM,ETS,0.0,22837.85278,22294.23266,21894.06454,21133.77858,20498.59144,19863.4043,19229.22502,18595.04575,17960.86648,17480.74268,17000.61888,16520.49509,16040.37129,15560.24749,,,,,,,,,,,,,,,
Total including LULUCF,WAM,Total,30873.80734,32993.12875,32607.54991,30547.72211,28828.52188,27018.27634,23978.6077,22673.87765,22039.40586,21971.0773,23250.34474,23800.42449,22549.38922,21836.9302,20125.13974,-14273.80573,-14255.90793,-12692.16246,-12411.77576,,,,,,,,,,,
Total including LULUCF,WEM,ESR,24789.37978,24655.54975,24185.49644,23517.21244,22838.81468,22271.19603,21322.21237,20798.82611,20285.32473,19769.78303,19230.46636,18744.64996,18251.60434,17838.83636,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,17448.03143,
Total including LULUCF,WEM,ETS,0.0,22837.85278,22294.23266,21894.06454,21133.77858,20498.59144,19863.4043,19229.22502,18595.04575,17960.86648,17480.74268,17000.61888,16520.49509,16040.37129,15560.24749,,,,,,,,,,,,,,,
Total including LULUCF,WEM,Total,30873.80734,32993.12875,32607.54991,30547.72211,28828.52188,27018.27634,23978.6077,22673.87765,22039.40586,21971.0773,23250.34474,23800.42449,22549.38922,21836.9302,20125.13974,-14273.80573,-14255.90793,-12692.16246,-12411.77576,,,,,,,,,,,
