Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.2. Manufacturing industries and construction,WAM,ETS,4573.331,4570.41926,4567.50752,4564.59579,4561.68405,4502.7683,4443.85255,4384.9368,4326.02105,4267.1053,4263.52311,4259.94093,4256.35874,4252.77656,4249.19438,4174.92391,4100.65345,4026.38299,3952.11253,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,4573.331,4561.68404979169,4267.10529697307,4249.19437532038,3877.84206774389,3877.84206774389,3877.84206774389
1.A.2. Manufacturing industries and construction,WAM,Total,4573.331,4570.41926,4567.50752,4564.59579,4561.68405,4502.7683,4443.85255,4384.9368,4326.02105,4267.1053,4263.52311,4259.94093,4256.35874,4252.77656,4249.19438,4174.92391,4100.65345,4026.38299,3952.11253,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,3877.84207,4573.331,4561.68404979169,4267.10529697307,4249.19437532038,3877.84206774389,3877.84206774389,3877.84206774389
1.A.2. Manufacturing industries and construction,WEM,ETS,4573.331,4586.27021,4599.20943,4612.14864,4625.08786,4590.21519,4555.34252,4520.46985,4485.59718,4450.72451,4419.41956,4388.11461,4356.80966,4325.5047,4294.19975,4218.60319,4143.00663,4067.41007,3991.81351,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,4573.331,4625.08785550723,4450.72451439849,4294.19975260639,3916.21694978287,3916.21694978287,3916.21694978287
1.A.2. Manufacturing industries and construction,WEM,Total,4573.331,4586.27021,4599.20943,4612.14864,4625.08786,4590.21519,4555.34252,4520.46985,4485.59718,4450.72451,4419.41956,4388.11461,4356.80966,4325.5047,4294.19975,4218.60319,4143.00663,4067.41007,3991.81351,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,3916.21695,4573.331,4625.08785550723,4450.72451439849,4294.19975260639,3916.21694978287,3916.21694978287,3916.21694978287
1.A.3. Transport,WAM,ESR,9906.912,9953.45802,10000.00403,10046.55005,10093.09606,10023.10912,9953.12217,9883.13523,9813.14828,9743.16133,9559.91941,9376.67749,9193.43557,9010.19365,8826.95173,8696.38377,8565.81581,8435.24785,8304.67989,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,8174.11194,9906.912,10093.0960611152,9743.16133456897,8826.95172967074,8174.11193603796,8174.11193603796,8174.11193603796
1.A.3. Transport,WAM,Total,9921.252,9967.79802,10014.34403,10060.89005,10107.43606,10037.44912,9967.46217,9897.47523,9827.48828,9757.50133,9574.25941,9391.01749,9207.77557,9024.53365,8841.29173,8710.72377,8580.15581,8449.58785,8319.01989,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,8188.45194,9921.252,10107.4360611152,9757.50133456897,8841.29172967074,8188.45193603797,8188.45193603797,8188.45193603797
1.A.3. Transport,WEM,ESR,9906.912,9954.9634,10003.0148,10051.06619,10099.11759,10020.233,9941.34841,9862.46382,9783.57922,9704.69463,9549.39617,9394.0977,9238.79924,9083.50077,8928.20231,8821.78844,8715.37457,8608.9607,8502.54684,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,8396.13297,9906.912,10099.1175913433,9704.69463160839,8928.20230704456,8396.13296771154,8396.13296771154,8396.13296771154
1.A.3. Transport,WEM,Total,9921.252,9969.3034,10017.3548,10065.40619,10113.45759,10034.573,9955.68841,9876.80382,9797.91922,9719.03463,9563.73617,9408.4377,9253.13924,9097.84077,8942.54231,8836.12844,8729.71457,8623.3007,8516.88684,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,8410.47297,9921.252,10113.4575913433,9719.03463160839,8942.54230704456,8410.47296771154,8410.47296771154,8410.47296771154
1.A.3.a. Domestic aviation,WAM,ESR,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128
1.A.3.a. Domestic aviation,WAM,Total,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468,14.468
