Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.3.c. Railways,WAM,Total,47.22,48.04,48.86,49.68,50.5,51.3,52.1,52.9,53.7,54.5,52.9,51.3,49.7,48.1,46.5,44.9,43.3,41.7,40.1,38.5,37.02,35.54,34.06,32.58,31.1,29.64,28.18,26.72,25.26,23.8,50.4874921320142,54.5249947897484,46.4960426843041,38.4670905788597,31.1450500479271,23.8230095169946
1.A.3.c. Railways,WEM,ESR,47.46,48.52,49.58,50.64,51.7,52.76,53.82,54.88,55.94,57.0,55.18,53.36,51.54,49.72,47.9,46.1,44.3,42.5,40.7,38.9,37.4,35.9,34.4,32.9,31.4,29.88,28.36,26.84,25.32,23.8,51.718922895696,56.9878563171121,47.934747928243,38.8816395393738,31.3575017558711,23.8333639723684
1.A.3.c. Railways,WEM,Total,47.46,48.52,49.58,50.64,51.7,52.76,53.82,54.88,55.94,57.0,55.18,53.36,51.54,49.72,47.9,46.1,44.3,42.5,40.7,38.9,37.4,35.9,34.4,32.9,31.4,29.88,28.36,26.84,25.32,23.8,51.718922895696,56.9878563171121,47.934747928243,38.8816395393738,31.3575017558711,23.8333639723684
1.A.3.d. Domestic navigation,WAM,ESR,131.2,133.8,136.4,139.0,141.6,144.18,146.76,149.34,151.92,154.5,155.76,157.02,158.28,159.54,160.8,162.06,163.32,164.58,165.84,167.1,168.86,170.62,172.38,174.14,175.9,177.66,179.42,181.18,182.94,184.7,141.610635314775,154.49870143755,160.808193189513,167.117684941476,175.889651679342,184.661618417208
1.A.3.d. Domestic navigation,WAM,Total,131.2,133.8,136.4,139.0,141.6,144.18,146.76,149.34,151.92,154.5,155.76,157.02,158.28,159.54,160.8,162.06,163.32,164.58,165.84,167.1,168.86,170.62,172.38,174.14,175.9,177.66,179.42,181.18,182.94,184.7,141.610635314775,154.49870143755,160.808193189513,167.117684941476,175.889651679342,184.661618417208
1.A.3.d. Domestic navigation,WEM,ESR,131.96,135.32,138.68,142.04,145.4,148.76,152.12,155.48,158.84,162.2,160.44,158.68,156.92,155.16,153.4,151.64,149.88,148.12,146.36,144.6,146.52,148.44,150.36,152.28,154.2,156.12,158.04,159.96,161.88,163.8,145.448849341506,162.175129491012,153.379481740767,144.583833990522,154.21564503891,163.847456087298
1.A.3.d. Domestic navigation,WEM,Total,131.96,135.32,138.68,142.04,145.4,148.76,152.12,155.48,158.84,162.2,160.44,158.68,156.92,155.16,153.4,151.64,149.88,148.12,146.36,144.6,146.52,148.44,150.36,152.28,154.2,156.12,158.04,159.96,161.88,163.8,145.448849341506,162.175129491012,153.379481740767,144.583833990522,154.21564503891,163.847456087298
1.A.4. Other sectors,WAM,ESR,3184.86,3161.32,3137.78,3114.24,3090.7,3067.26,3043.82,3020.38,2996.94,2973.5,2930.18,2886.86,2843.54,2800.22,2756.9,2713.6,2670.3,2627.0,2583.7,2540.4,2476.22,2412.04,2347.86,2283.68,2219.5,2155.34,2091.18,2027.02,1962.86,1898.7,3090.74040656853,2973.45344398942,2756.89361773655,2540.37717262253,2219.49978305129,1898.69098376793
1.A.4. Other sectors,WAM,Total,3184.86,3161.32,3137.78,3114.24,3090.7,3067.26,3043.82,3020.38,2996.94,2973.5,2930.18,2886.86,2843.54,2800.22,2756.9,2713.6,2670.3,2627.0,2583.7,2540.4,2476.22,2412.04,2347.86,2283.68,2219.5,2155.34,2091.18,2027.02,1962.86,1898.7,3090.74040656853,2973.45344398942,2756.89361773655,2540.37717262253,2219.49978305129,1898.69098376793
1.A.4. Other sectors,WEM,ESR,3217.42,3226.44,3235.46,3244.48,3253.5,3262.6,3271.7,3280.8,3289.9,3299.0,3281.94,3264.88,3247.82,3230.76,3213.7,3196.66,3179.62,3162.58,3145.54,3128.5,3098.56,3068.62,3038.68,3008.74,2978.8,2948.86,2918.92,2888.98,2859.04,2829.1,3253.49232439618,3298.97465122203,3213.72852020779,3128.4709532381,2978.80943218799,2829.14886700265
1.A.4. Other sectors,WEM,Total,3217.42,3226.44,3235.46,3244.48,3253.5,3262.6,3271.7,3280.8,3289.9,3299.0,3281.94,3264.88,3247.82,3230.76,3213.7,3196.66,3179.62,3162.58,3145.54,3128.5,3098.56,3068.62,3038.68,3008.74,2978.8,2948.86,2918.92,2888.98,2859.04,2829.1,3253.49232439618,3298.97465122203,3213.72852020779,3128.47095323809,2978.80943218799,2829.14886700265
1.B. Fugitive emissions from fuels,WAM,ESR,469.78,479.16,488.54,497.92,507.3,522.14,536.98,551.82,566.66,581.5,563.56,545.62,527.68,509.74,491.8,475.9,460.0,444.1,428.2,412.3,394.02,375.74,357.46,339.18,320.9,308.02,295.14,282.26,269.38,256.5,507.250807686385,581.498544513489,491.837879943901,412.25987521431,320.875525352388,256.467838813458
1.B. Fugitive emissions from fuels,WAM,Total,469.78,479.16,488.54,497.92,507.3,522.14,536.98,551.82,566.66,581.5,563.56,545.62,527.68,509.74,491.8,475.9,460.0,444.1,428.2,412.3,394.02,375.74,357.46,339.18,320.9,308.02,295.14,282.26,269.38,256.5,507.250807686385,581.498544513489,491.837879943901,412.25987521431,320.875525352388,256.467838813458
1.B. Fugitive emissions from fuels,WEM,ESR,470.5,480.6,490.7,500.8,510.9,526.46,542.02,557.58,573.14,588.7,571.66,554.62,537.58,520.54,503.5,488.5,473.5,458.5,443.5,428.5,410.84,393.18,375.52,357.86,340.2,327.96,315.72,303.48,291.24,279.0,510.854856225876,588.706641592453,503.540268620021,428.456555487587,340.226120849244,278.972349533897
1.B. Fugitive emissions from fuels,WEM,Total,470.5,480.6,490.7,500.8,510.9,526.46,542.02,557.58,573.14,588.7,571.66,554.62,537.58,520.54,503.5,488.5,473.5,458.5,443.5,428.5,410.84,393.18,375.52,357.86,340.2,327.96,315.72,303.48,291.24,279.0,510.854856225876,588.706641592453,503.540268620021,428.456555487587,340.226120849244,278.972349533897
2. Industrial processes,WAM,ESR,1626.82,1549.84,1472.86,1395.88,1318.9,1246.66,1174.42,1102.18,1029.94,957.7,918.32,878.94,839.56,800.18,760.8,721.68,682.56,643.44,604.32,565.2,544.42,523.64,502.86,482.08,461.3,440.68,420.06,399.44,378.82,358.2,1318.91024279821,957.711967372791,760.752884581878,565.161595056204,461.260796340511,358.186497276957
2. Industrial processes,WAM,ETS,1953.86,1956.42,1958.98,1961.54,1964.1,1990.12,2016.14,2042.16,2068.18,2094.2,2055.72,2017.24,1978.76,1940.28,1901.8,1900.88,1899.96,1899.04,1898.12,1897.2,1896.44,1895.68,1894.92,1894.16,1893.4,1893.58,1893.76,1893.94,1894.12,1894.3,1964.13949526971,2094.16698510435,1901.77755677453,1897.23651627526,1893.35994602998,1894.32599079459
2. Industrial processes,WAM,Total,3580.6,3506.2,3431.8,3357.4,3283.0,3236.78,3190.56,3144.34,3098.12,3051.9,2974.02,2896.14,2818.26,2740.38,2662.5,2622.48,2582.46,2542.44,2502.42,2462.4,2440.84,2419.28,2397.72,2376.16,2354.6,2334.18,2313.76,2293.34,2272.92,2252.5,3283.04973806792,3051.87895247715,2662.53044135641,2462.39811133147,2354.62074237049,2252.51248807155
2. Industrial processes,WEM,ESR,1629.1,1554.4,1479.7,1405.0,1330.3,1260.28,1190.26,1120.24,1050.22,980.2,941.06,901.92,862.78,823.64,784.5,745.62,706.74,667.86,628.98,590.1,568.92,547.74,526.56,505.38,484.2,463.2,442.2,421.2,400.2,379.2,1330.25921519053,980.151525302065,784.457131886035,590.130531735243,484.229338786685,379.154645490267
2. Industrial processes,WEM,ETS,1984.94,2018.58,2052.22,2085.86,2119.5,2143.02,2166.54,2190.06,2213.58,2237.1,2212.34,2187.58,2162.82,2138.06,2113.3,2126.1,2138.9,2151.7,2164.5,2177.3,2190.26,2203.22,2216.18,2229.14,2242.1,2256.0,2269.9,2283.8,2297.7,2311.6,2119.50938344848,2237.10307586287,2113.30233710923,2177.34998618614,2242.06210551704,2311.61683985783
2. Industrial processes,WEM,Total,3613.96,3572.92,3531.88,3490.84,3449.8,3403.3,3356.8,3310.3,3263.8,3217.3,3153.4,3089.5,3025.6,2961.7,2897.8,2871.74,2845.68,2819.62,2793.56,2767.5,2759.26,2751.02,2742.78,2734.54,2726.3,2719.2,2712.1,2705.0,2697.9,2690.8,3449.76859863901,3217.25460116494,2897.75946899526,2767.48051792138,2726.29144430373,2690.7714853481
3. Agriculture,WAM,ESR,2688.92,2663.54,2638.16,2612.78,2587.4,2564.98,2542.56,2520.14,2497.72,2475.3,2457.96,2440.62,2423.28,2405.94,2388.6,2372.66,2356.72,2340.78,2324.84,2308.9,2291.56,2274.22,2256.88,2239.54,2222.2,2214.12,2206.04,2197.96,2189.88,2181.8,2587.41311152493,2475.2673901798,2388.57900743735,2308.87972686032,2222.18025063026,2181.83500368294
3. Agriculture,WAM,Total,2688.92,2663.54,2638.16,2612.78,2587.4,2564.98,2542.56,2520.14,2497.72,2475.3,2457.96,2440.62,2423.28,2405.94,2388.6,2372.66,2356.72,2340.78,2324.84,2308.9,2291.56,2274.22,2256.88,2239.54,2222.2,2214.12,2206.04,2197.96,2189.88,2181.8,2587.41311152493,2475.2673901798,2388.57900743735,2308.87972686032,2222.18025063026,2181.83500368294
3. Agriculture,WEM,ESR,2716.72,2719.14,2721.56,2723.98,2726.4,2713.52,2700.64,2687.76,2674.88,2662.0,2653.06,2644.12,2635.18,2626.24,2617.3,2609.44,2601.58,2593.72,2585.86,2578.0,2568.48,2558.96,2549.44,2539.92,2530.4,2531.66,2532.92,2534.18,2535.44,2536.7,2726.40912222786,2661.97675225853,2617.25862243577,2578.01896607149,2530.36629447265,2536.70870124465
3. Agriculture,WEM,Total,2716.72,2719.14,2721.56,2723.98,2726.4,2713.52,2700.64,2687.76,2674.88,2662.0,2653.06,2644.12,2635.18,2626.24,2617.3,2609.44,2601.58,2593.72,2585.86,2578.0,2568.48,2558.96,2549.44,2539.92,2530.4,2531.66,2532.92,2534.18,2535.44,2536.7,2726.40912222786,2661.97675225853,2617.25862243577,2578.01896607149,2530.36629447265,2536.70870124465
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WAM,Total,-4959.76,-4346.52,-3733.28,-3120.04,-2506.8,-2488.36,-2469.92,-2451.48,-2433.04,-2414.6,-2417.74,-2420.88,-2424.02,-2427.16,-2430.3,-2425.22,-2420.14,-2415.06,-2409.98,-2404.9,-2400.16,-2395.42,-2390.68,-2385.94,-2381.2,-2376.8,-2372.4,-2368.0,-2363.6,-2359.2,-2506.80746511596,-2414.56122260621,-2430.32526301656,-2404.91817750656,-2381.20097327455,-2359.17365032053
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-4959.76,-4346.52,-3733.28,-3120.04,-2506.8,-2488.36,-2469.92,-2451.48,-2433.04,-2414.6,-2417.74,-2420.88,-2424.02,-2427.16,-2430.3,-2425.22,-2420.14,-2415.06,-2409.98,-2404.9,-2400.16,-2395.42,-2390.68,-2385.94,-2381.2,-2376.8,-2372.4,-2368.0,-2363.6,-2359.2,-2506.80746511596,-2414.56122260621,-2430.32526301656,-2404.91817750656,-2381.20097327455,-2359.17365032053
4.A. Forest land,WAM,Total,-5286.3,-4818.4,-4350.5,-3882.6,-3414.7,-3427.84,-3440.98,-3454.12,-3467.26,-3480.4,-3493.54,-3506.68,-3519.82,-3532.96,-3546.1,-3550.84,-3555.58,-3560.32,-3565.06,-3569.8,-3574.72,-3579.64,-3584.56,-3589.48,-3594.4,-3599.52,-3604.64,-3609.76,-3614.88,-3620.0,-3414.65238768839,-3480.36412946052,-3546.05850754763,-3569.79411005948,-3594.43194419442,-3619.97200995245
4.A. Forest land,WEM,Total,-5286.3,-4818.4,-4350.5,-3882.6,-3414.7,-3427.84,-3440.98,-3454.12,-3467.26,-3480.4,-3493.54,-3506.68,-3519.82,-3532.96,-3546.1,-3550.84,-3555.58,-3560.32,-3565.06,-3569.8,-3574.72,-3579.64,-3584.56,-3589.48,-3594.4,-3599.52,-3604.64,-3609.76,-3614.88,-3620.0,-3414.65238768839,-3480.36412946052,-3546.05850754763,-3569.79411005948,-3594.43194419442,-3619.97200995245
4.B. Cropland,WAM,Total,351.92,420.44,488.96,557.48,626.0,627.78,629.56,631.34,633.12,634.9,636.5,638.1,639.7,641.3,642.9,644.36,645.82,647.28,648.74,650.2,651.5,652.8,654.1,655.4,656.7,657.82,658.94,660.06,661.18,662.3,626.021718714771,634.869946480964,642.92531914726,650.187836713661,656.657499180164,662.33430654677
4.B. Cropland,WEM,Total,351.92,420.44,488.96,557.48,626.0,627.78,629.56,631.34,633.12,634.9,636.5,638.1,639.7,641.3,642.9,644.36,645.82,647.28,648.74,650.2,651.5,652.8,654.1,655.4,656.7,657.82,658.94,660.06,661.18,662.3,626.021718714771,634.869946480964,642.92531914726,650.187836713661,656.657499180164,662.33430654677
