Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
Indirect CO2 (if available) (10),WEM,Total,245.42226,209.45726,207.15722,205.33739,200.2886,196.32654,193.44176,188.13368,183.75405,179.22914,175.19185,171.15455,167.11726,163.07997,159.04267,155.1135,151.18432,147.25515,143.32597,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,139.3968,245.42226053814,209.457264408679,207.157217515882,205.33739097896,200.288604583904,196.326542024003,193.441761000727,188.133678292618,183.754054247751,179.22914063127,159.042672618983,139.396797429866,139.396797429866,139.396797429866
Total excluding LULUCF,WAM,ESR,31872.0424513888,31514.09486,30780.19479,29678.13071,28776.29793,28084.68306,27086.42112,26182.48562,25296.39235,24422.15528,23835.51923,23248.88318,22662.24713,22075.61108,21488.97503,20819.76342,20150.55182,19481.34021,18812.1286,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,ETS,11680.9920955556,12112.73109,8413.70416,8901.93968,5722.14947,4260.56696,3593.48629,3124.60734,643.21791,333.3118,328.53433,323.75686,318.97939,314.20192,309.42445,268.36192,227.29939,186.23685,145.17432,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,,,,,,,,,,,,,,
Total excluding LULUCF,WAM,Total,43098.1473627778,43736.5247,39310.61366,38703.84982,34629.30439,32477.46005,30813.51426,29442.13636,26076.12753,24893.49039,24302.48864,23711.48688,23120.48513,22529.48337,21938.48162,21228.62692,20518.77221,19808.91751,19099.06281,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,,,,,,,,,,,,,,
Total excluding LULUCF,WEM,ESR,31872.0424513888,31514.09486,30780.19479,29678.13071,28776.29793,28084.68306,27086.42112,26182.48562,25296.39235,24422.15528,23835.51923,23248.88318,22662.24713,22075.61108,21488.97503,20819.76342,20150.55182,19481.34021,18812.1286,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,32147.0146005582,31723.5521273032,30780.1947854631,29678.1307085448,28776.297934353,28084.6830637292,27086.4211195327,26182.4856180885,25296.3923518658,24422.1552813775,21488.9750314213,18142.9169981296,18142.9169981296,18142.9169981296
Total excluding LULUCF,WEM,ETS,11680.9920955556,12112.73109,8413.70416,8901.93968,5722.14947,4260.56696,3593.48629,3124.60734,643.21791,333.3118,328.53433,323.75686,318.97939,314.20192,309.42445,268.36192,227.29939,186.23685,145.17432,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,11618.7319428792,12112.7310839636,8413.70415714119,8901.93967632366,5722.14946974799,4260.56695692101,3593.48628707984,3124.60733787841,643.217914839981,333.311797942999,309.424449493382,104.111789663713,104.111789663713,104.111789663713
Total excluding LULUCF,WEM,Total,43083.3674772222,43736.5247,39310.61366,38703.84982,34629.30439,32477.46005,30813.51426,29442.13636,26076.12753,24893.49039,24302.48864,23711.48688,23120.48513,22529.48337,21938.48162,21228.62692,20518.77221,19808.91751,19099.06281,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,18389.20811,43851.1345053694,43945.946257165,39310.6136565892,38703.8498167947,34629.3043856838,32477.4600524947,30813.5142607672,29442.1363627829,26076.1275304486,24893.4903914199,21938.4816163084,18389.2081111746,18389.2081111746,18389.2081111746
Total including LULUCF,WAM,ESR,31872.0424513888,31514.09486,30780.19479,29678.13071,28776.29793,28084.68306,27086.42112,26182.48562,25296.39235,24422.15528,23835.51923,23248.88318,22662.24713,22075.61108,21488.97503,20819.76342,20150.55182,19481.34021,18812.1286,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,,,,,,,,,,,,,,
Total including LULUCF,WAM,ETS,11680.9920955556,12112.73109,8413.70416,8901.93968,5722.14947,4260.56696,3593.48629,3124.60734,643.21791,333.3118,328.53433,323.75686,318.97939,314.20192,309.42445,268.36192,227.29939,186.23685,145.17432,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,,,,,,,,,,,,,,
Total including LULUCF,WAM,Total,45516.9065683334,46263.66195,42758.98288,43550.9467,39732.78723,37400.85548,35326.05092,33793.26892,30295.01075,28937.46309,28307.43157,27677.40004,27047.36851,26417.33699,25787.30546,25154.85681,24522.40816,23889.9595,23257.51085,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,,,,,,,,,,,,,,
Total including LULUCF,WEM,ESR,31872.0424513888,31514.09486,30780.19479,29678.13071,28776.29793,28084.68306,27086.42112,26182.48562,25296.39235,24422.15528,23835.51923,23248.88318,22662.24713,22075.61108,21488.97503,20819.76342,20150.55182,19481.34021,18812.1286,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,18142.917,,31723.5521273032,30780.1947854631,29678.1307085448,28776.297934353,28084.6830637292,27086.4211195327,26182.4856180885,25296.3923518658,24422.1552813775,21488.9750314213,18142.9169981296,18142.9169981296,18142.9169981296
Total including LULUCF,WEM,ETS,11680.9920955556,12112.73109,8413.70416,8901.93968,5722.14947,4260.56696,3593.48629,3124.60734,643.21791,333.3118,328.53433,323.75686,318.97939,314.20192,309.42445,268.36192,227.29939,186.23685,145.17432,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,104.11179,,12112.7310839636,8413.70415714119,8901.93967632366,5722.14946974799,4260.56695692101,3593.48628707984,3124.60733787841,643.217914839981,333.311797942999,309.424449493382,104.111789663713,104.111789663713,104.111789663713
Total including LULUCF,WEM,Total,46460.2087897222,46263.66167,42758.98288,43550.9467,39732.78723,37400.85548,35326.05092,33793.26892,30295.01075,28937.46309,28307.43157,27677.40004,27047.36851,26417.33699,25787.30546,25154.85681,24522.40816,23889.9595,23257.51085,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,22625.06219,,46473.0826985772,42758.982880364,43550.9467049944,39732.78722941,37400.8554845539,35326.0509150908,33793.2689237835,30295.0107522071,28937.4630912242,25787.3054639879,22625.062194573,22625.062194573,22625.062194573
