freq,indic_sb,nace_r2,ceparema,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,V21110,B,CEPA3,HR	: c	: c	0.0 	: c	: c	: c	: c	: c	0.3 	0.3 	0.0 
A,V21110,B,CEPA3,HU	2.3 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 
A,V21110,B,CEPA3,IT	32.9 	14.4 	4.4 	14.6 	1.5 	0.6 	0.2 	1.4 	4.3 	1.1 b	0.4 
A,V21110,B,CEPA3,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B,CEPA3,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	4.8 p
A,V21110,B,CEPA3,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,B,CEPA3,NL	: c	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,V21110,B,CEPA3,NO	0.0 	5.0 	166.3 	188.1 	101.8 	149.3 	99.5 	21.5 	10.6 	3.6 	0.0 b
A,V21110,B,CEPA3,PL	2.5 	5.7 	4.5 	5.5 	: cd	8.0 d	11.1 d	: cd	: cd	3.4 d	2.4 bd
A,V21110,B,CEPA3,PT	1.5 	6.0 	11.0 	0.8 	2.7 	1.0 b	0.3 	0.0 	0.0 	0.9 	: c
A,V21110,B,CEPA3,RO	1.1 	1.0 p	9.3 	9.6 	0.6 	5.3 	1.5 	17.4 	0.9 	: c	0.2 b
A,V21110,B,CEPA3,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 p	0.0 
A,V21110,B,CEPA3,SE	2.0 	6.1 	0.2 	0.0 	: c	: c	16.2 	24.8 	: c	: c	39.2 b
A,V21110,B,CEPA3,SI	0.0 	0.0 	0.2 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B,CEPA3,SK	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.0 	0.0 	0.0 
A,V21110,B,CEPA3,UK	: c	: c	: c	: c	: c	: c	: c	: c	0.4 	: c	: c
A,V21110,B,CEPA9,AT	0.2 	0.1 	0.1 	0.2 	0.9 	0.2 	1.0 	0.4 	0.3 	0.2 	0.1 b
A,V21110,B,CEPA9,BE	: c	0.0 	0.4 	0.3 	0.5 	0.1 	0.3 	0.7 	0.2 	0.0 	0.0 b
A,V21110,B,CEPA9,BG	0.2 	0.1 	: c	: c	0.1 	0.3 	: c	0.0 	: c	0.2 	: bc
A,V21110,B,CEPA9,CH	: 	: u	: 	: 	: 	0.2 	: 	: 	0.3 	: 	0.1 
A,V21110,B,CEPA9,CY	0.0 	0.0 	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B,CEPA9,CZ	: c	: c	29.3 	: c	: c	13.6 	4.5 	: c	5.3 	28.5 	: c
A,V21110,B,CEPA9,DE	1.4 d	3.2 	3.2 	2.8 	3.4 	: c	8.1 	4.8 	13.5 	6.5 	10.4 b
A,V21110,B,CEPA9,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,B,CEPA9,EE	: c	0.1 	0.3 	0.1 	: c	: c	: c	: c	: c	: c	: bc
A,V21110,B,CEPA9,EL	0.4 	0.5 	0.8 	: 	0.2 	0.2 	0.8 	0.1 b	0.2 	0.3 	0.6 b
A,V21110,B,CEPA9,ES	36.3 d	21.0 	16.7 	7.4 	11.5 	6.0 	6.3 	7.1 	1.8 	5.4 	8.0 b
A,V21110,B,CEPA9,FI	0.3 	51.5 	28.1 	28.1 	20.5 	23.7 b	5.5 	9.1 	: c	63.3 b	34.4 
A,V21110,B,CEPA9,FR	: c	9.5 	4.1 	11.3 	: c	7.4 	5.3 	7.0 	3.9 	1.8 b	2.5 
A,V21110,B,CEPA9,HR	: c	: c	112.2 	44.2 	: c	: c	: c	: c	0.0 	0.0 	0.1 
A,V21110,B,CEPA9,HU	0.2 	0.0 	0.1 	0.0 	0.1 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 
A,V21110,B,CEPA9,IT	327.9 	394.2 	384.7 	232.3 	118.6 	138.1 	25.4 	98.3 	85.4 	1.5 b	2.1 
A,V21110,B,CEPA9,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B,CEPA9,MK	: 	: 	: 	: 	: 	: 	: 	0.1 p	: 	: 	0.3 p
A,V21110,B,CEPA9,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,B,CEPA9,NL	: c	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,V21110,B,CEPA9,NO	0.2 	125.6 	61.9 	16.1 	20.5 	12.2 	10.6 	44.6 	1.6 	0.2 	0.0 b
A,V21110,B,CEPA9,PL	2.2 	0.8 	: c	: c	: cd	: cd	: cd	: cd	: cd	: cd	: bcd
A,V21110,B,CEPA9,PT	0.1 	0.1 	0.5 	0.4 	0.6 	0.2 b	0.4 	0.5 	0.7 	0.3 	0.1 
A,V21110,B,CEPA9,RO	20.2 	12.4 p	13.8 	25.7 	23.6 	12.6 	14.2 	26.1 	25.4 	: c	26.1 b
A,V21110,B,CEPA9,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1 p	0.3 
A,V21110,B,CEPA9,SE	: c	0.1 	0.3 	0.5 	: c	: c	1.5 	3.1 	: c	: c	2.4 b
A,V21110,B,CEPA9,SI	4.2 	4.3 	3.0 	3.5 	1.5 	1.7 	0.9 	0.0 	0.1 	7.1 	11.0 
A,V21110,B,CEPA9,SK	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.8 	0.0 	0.0 
A,V21110,B,CEPA9,UK	: c	: c	: c	: c	: c	: c	: c	: c	7.6 	: c	25.3 
A,V21110,B,TOT_CEPA,AT	1.2 	1.2 	1.2 	0.5 	1.2 	0.5 	1.3 	1.1 	0.8 	1.7 	9.5 b
A,V21110,B,TOT_CEPA,BE	: c	0.0 	0.5 	1.8 	1.5 	2.4 	0.7 	1.4 	0.6 	0.4 	1.1 b
A,V21110,B,TOT_CEPA,BG	3.8 	2.5 	2.7 	3.3 	: c	: c	: c	2.8 	1.8 	6.0 	2.7 b
A,V21110,B,TOT_CEPA,CH	: 	0.3 	: 	: 	: 	1.6 	: 	: 	1.6 	: 	0.7 
A,V21110,B,TOT_CEPA,CY	0.2 	1.0 	0.3 	: c	: c	: c	0.1 	0.1 	0.0 	0.0 	0.0 
A,V21110,B,TOT_CEPA,CZ	: c	: c	32.6 	: c	27.1 	28.0 	14.3 	12.4 	20.5 	34.9 	: c
A,V21110,B,TOT_CEPA,DE	13.9 d	35.6 	53.0 	45.6 	57.6 	50.7 	66.4 	83.9 	59.3 	32.9 	29.6 b
A,V21110,B,TOT_CEPA,DK	: c	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,B,TOT_CEPA,EE	: c	0.2 	0.5 	0.2 	: c	: c	: c	2.3 	: c	: c	1.1 b
A,V21110,B,TOT_CEPA,EL	0.5 	0.8 	1.0 	: 	0.2 	1.8 	1.8 	0.1 b	0.4 	1.1 	0.6 b
A,V21110,B,TOT_CEPA,ES	42.8 d	25.0 	22.1 	8.4 	13.6 	6.3 	12.0 	8.8 	3.6 	6.4 	8.1 b
A,V21110,B,TOT_CEPA,FI	13.5 	65.5 	42.4 	42.8 	38.8 	53.6 b	37.5 	31.6 u	: c	66.8 b	: c
A,V21110,B,TOT_CEPA,FR	: c	24.2 	9.2 	23.5 	17.6 	20.3 	29.8 	15.9 	11.3 	6.0 b	10.4 
A,V21110,B,TOT_CEPA,HR	: c	162.8 	: c	: c	: c	: c	: c	: c	0.3 	0.3 	0.1 
A,V21110,B,TOT_CEPA,HU	2.5 	0.2 	0.5 	0.0 	0.1 	0.2 	0.1 	0.1 	0.0 	0.0 	1.1 
A,V21110,B,TOT_CEPA,IE	0.9 	0.6 	0.9 	2.6 	6.2 	2.9 	5.8 	0.6 	2.6 	1.3 	1.6 
A,V21110,B,TOT_CEPA,IT	461.7 	696.4 	611.8 	316.3 	205.1 	194.0 	55.3 	152.4 	143.3 	6.6 b	6.9 
A,V21110,B,TOT_CEPA,LT	0.0 	0.1 	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B,TOT_CEPA,MK	: 	: 	: 	: 	: 	: 	: 	0.3 p	: 	: 	5.3 p
A,V21110,B,TOT_CEPA,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,B,TOT_CEPA,NL	: c	: c	: c	: c	3.7 	18.4 	35.4 	: c	: c	6.9 	: c
A,V21110,B,TOT_CEPA,NO	: c	179.2 	307.2 	328.9 	190.1 	192.4 	153.7 	72.4 	24.2 	9.9 	5.1 b
A,V21110,B,TOT_CEPA,PL	13.8 	15.9 	22.7 	15.3 	19.1 d	23.3 d	25.8 d	8.6 d	9.9 d	6.6 d	17.0 bd
A,V21110,B,TOT_CEPA,PT	1.9 	6.5 	12.1 	2.1 	3.7 	10.9 b	6.1 	5.1 	10.5 	11.2 	0.5 
A,V21110,B,TOT_CEPA,RO	33.7 	23.4 p	38.3 	90.0 	49.9 	45.2 	32.4 	60.4 	29.6 	: c	158.2 b
A,V21110,B,TOT_CEPA,RS	: 	: 	: 	: 	: 	: 	: 	: 	1.3 p	4.0 p	2.7 
A,V21110,B,TOT_CEPA,SE	10.2 	10.5 	17.3 	46.0 	: c	: c	73.7 	40.1 	35.0 	: c	46.6 b
A,V21110,B,TOT_CEPA,SI	4.3 	4.8 	3.3 	3.5 	1.6 	1.8 	0.9 	0.1 	0.4 	7.5 	11.0 
A,V21110,B,TOT_CEPA,SK	0.0 	0.4 	0.0 	0.1 	0.0 	0.0 	0.1 	0.3 	1.3 	0.0 	0.1 
