freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,C0350-0370,KTOE,GE	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,HR	3.074 	2.300 	1.591 	0.903 	0.236 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,HU	146.293 	132.868 	81.750 	45.980 	55.857 	32.158 	41.638 	31.857 	31.449 	21.733 	35.447 	10.447 
A,FC_E,C0350-0370,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,IT	0.000 	205.790 	165.203 	280.298 	209.348 	234.704 	159.152 	131.622 	109.389 	95.212 	97.507 	88.048 
A,FC_E,C0350-0370,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,NL	190.810 	192.911 	197.876 	203.951 	215.973 	220.664 	238.106 	212.985 	177.085 	191.520 	219.067 	296.335 
