freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FEC2020-2030,I05,NO	86.61 	85.50 	84.97 	87.06 	89.79 	91.23 	93.83 	93.64 	97.89 	100.06 	97.33 	98.65 	97.34 	96.90 	99.48 	100.00 	99.82 	101.48 	101.76 	98.19 	106.71 	103.10 	104.30 	104.17 	101.83 	103.12 	104.73 	105.75 	106.43 	105.72 	101.65 	105.66 	: 
A,FEC2020-2030,I05,PL	102.22 	102.85 	100.82 	108.45 	104.97 	107.42 	113.47 	111.21 	102.34 	99.69 	94.13 	94.81 	93.85 	96.67 	99.32 	100.00 	104.66 	105.34 	106.83 	105.18 	113.32 	110.57 	110.15 	108.13 	105.23 	106.51 	113.87 	121.21 	128.02 	126.05 	121.60 	128.50 	123.73 
A,FEC2020-2030,I05,PT	62.76 	65.16 	67.54 	68.21 	71.30 	73.07 	77.28 	80.42 	85.78 	89.35 	94.46 	95.75 	98.25 	98.02 	99.60 	100.00 	98.59 	99.72 	97.02 	95.93 	95.46 	91.29 	84.34 	83.33 	82.89 	84.14 	85.14 	87.09 	88.72 	90.11 	78.70 	82.49 	87.90 
A,FEC2020-2030,I05,RO	179.98 	144.96 	109.94 	102.22 	104.36 	109.03 	120.69 	116.86 	106.65 	91.63 	92.22 	94.12 	94.18 	98.36 	101.01 	100.00 	100.68 	98.11 	100.34 	90.42 	91.62 	92.42 	92.53 	88.60 	88.15 	88.82 	90.39 	94.82 	95.90 	97.05 	95.65 	103.14 	97.64 
A,FEC2020-2030,I05,RS	123.58 	102.51 	83.91 	69.45 	66.21 	63.72 	91.78 	100.58 	98.16 	73.37 	73.03 	83.93 	90.94 	96.40 	108.47 	100.00 	101.47 	107.04 	99.61 	89.13 	94.69 	97.29 	89.35 	87.52 	82.57 	86.08 	90.71 	92.94 	94.70 	94.81 	96.15 	102.62 	: 
A,FEC2020-2030,I05,SE	93.70 	94.68 	99.97 	101.35 	103.12 	105.43 	108.32 	106.17 	107.15 	105.86 	105.22 	103.64 	102.97 	102.35 	102.14 	100.00 	99.72 	100.14 	98.33 	94.44 	102.25 	97.89 	97.99 	96.35 	93.91 	95.66 	97.04 	96.61 	96.06 	94.86 	91.77 	95.18 	93.16 
A,FEC2020-2030,I05,SI	72.78 	72.27 	66.19 	71.64 	75.23 	79.58 	87.21 	88.63 	85.24 	86.08 	89.00 	93.70 	91.67 	94.73 	96.50 	100.00 	99.79 	100.25 	107.22 	94.79 	98.74 	98.41 	95.83 	93.74 	89.90 	91.83 	95.12 	96.44 	96.46 	94.52 	85.89 	91.98 	91.91 
A,FEC2020-2030,I05,SK	131.56 	112.15 	105.87 	96.91 	94.65 	94.99 	98.24 	97.66 	95.25 	94.51 	94.86 	99.32 	100.57 	97.02 	95.70 	100.00 	98.36 	96.94 	99.05 	91.94 	106.04 	98.94 	95.96 	97.65 	89.38 	92.15 	95.71 	101.77 	100.38 	96.59 	89.73 	100.25 	93.30 
A,FEC2020-2030,I05,TR	61.44 	62.18 	63.96 	68.24 	65.38 	71.95 	78.35 	80.83 	79.92 	78.81 	88.61 	79.56 	87.17 	93.37 	96.53 	100.00 	109.19 	115.72 	112.62 	111.69 	117.34 	124.68 	130.37 	129.14 	135.23 	146.23 	151.43 	168.30 	165.88 	167.23 	166.29 	181.08 	: 
A,FEC2020-2030,I05,UA	199.66 	199.67 	178.14 	148.33 	125.87 	123.51 	118.28 	112.55 	102.92 	102.02 	98.14 	100.29 	101.82 	104.11 	104.86 	100.00 	101.14 	107.28 	103.70 	87.35 	93.89 	95.92 	91.38 	89.69 	79.16 	65.92 	67.93 	65.08 	66.62 	64.05 	60.08 	: 	: 
A,FEC2020-2030,I05,UK	89.15 	92.53 	91.18 	92.92 	93.10 	93.08 	98.30 	96.41 	97.32 	99.29 	100.18 	100.83 	98.10 	99.26 	100.20 	100.00 	98.64 	97.23 	96.94 	90.22 	93.55 	86.39 	88.75 	89.50 	85.06 	86.70 	87.44 	87.33 	88.34 	87.67 	: 	: 	: 
A,FEC2020-2030,I05,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78.09 	93.21 	93.08 	94.72 	95.02 	100.00 	103.31 	107.71 	118.93 	121.22 	123.03 	130.72 	126.16 	121.05 	126.02 	137.40 	146.91 	155.59 	150.69 	155.14 	156.08 	169.88 	: 
A,FEC2020-2030,MTOE,AL	1.93 	1.42 	1.02 	0.94 	0.94 	0.95 	1.03 	0.83 	0.92 	1.52 	1.53 	1.57 	1.80 	1.76 	1.97 	1.90 	1.73 	1.69 	1.77 	1.86 	1.92 	1.97 	1.81 	1.98 	2.07 	1.96 	1.91 	2.09 	2.14 	2.07 	1.86 	2.03 	: 
A,FEC2020-2030,MTOE,AT	19.34 	20.84 	20.26 	20.66 	20.33 	21.38 	23.03 	22.65 	23.29 	23.50 	23.74 	25.16 	25.37 	26.66 	27.05 	27.85 	27.87 	27.59 	27.75 	26.40 	28.02 	27.18 	27.22 	27.87 	26.79 	27.50 	28.07 	28.53 	27.85 	28.33 	26.14 	27.91 	26.32 
A,FEC2020-2030,MTOE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.28 	3.50 	3.73 	3.67 	4.40 	4.42 	4.34 	4.65 	: 
A,FEC2020-2030,MTOE,BE	31.72 	33.26 	33.22 	32.74 	33.73 	34.42 	36.65 	36.24 	37.18 	37.12 	37.72 	38.61 	36.39 	37.66 	37.43 	36.84 	36.49 	35.23 	36.93 	34.78 	38.15 	35.38 	35.51 	36.70 	34.38 	35.95 	36.43 	36.12 	36.39 	35.79 	33.19 	35.85 	33.42 
A,FEC2020-2030,MTOE,BG	16.19 	12.26 	10.93 	10.77 	10.84 	11.44 	11.58 	10.70 	10.31 	9.15 	9.07 	9.09 	9.07 	9.75 	9.65 	10.14 	10.51 	10.33 	9.97 	8.59 	8.83 	9.25 	9.22 	8.78 	8.99 	9.49 	9.65 	9.90 	9.92 	9.85 	9.53 	10.20 	9.92 
A,FEC2020-2030,MTOE,CY	1.10 	1.29 	1.32 	1.31 	1.35 	1.43 	1.48 	1.48 	1.55 	1.59 	1.65 	1.71 	1.72 	1.82 	1.83 	1.83 	1.87 	1.93 	1.98 	1.94 	1.93 	1.92 	1.77 	1.62 	1.62 	1.67 	1.77 	1.86 	1.86 	1.89 	1.57 	1.69 	1.82 
A,FEC2020-2030,MTOE,CZ	32.60 	29.18 	28.92 	28.12 	26.53 	26.22 	26.62 	26.37 	25.37 	24.22 	25.05 	25.50 	25.00 	26.22 	26.50 	26.15 	26.54 	26.08 	25.93 	24.94 	25.25 	24.46 	24.42 	24.22 	23.59 	24.20 	24.83 	25.50 	25.33 	25.27 	24.49 	26.11 	24.92 
