freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_OTH_CP_E,TOTAL,KTOE,MK	206.178 	228.654 	201.851 	196.034 	211.872 	212.935 	214.630 	210.231 	211.521 	181.539 	190.641 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,MT	88.007 	100.415 	103.516 	110.711 	120.944 	118.292 	128.355 	119.646 	122.568 	106.366 	112.144 	127.723 
A,FC_OTH_CP_E,TOTAL,KTOE,NL	7094.693 	7344.965 	7357.526 	6502.125 	6824.004 	6841.615 	6960.268 	6937.046 	6762.442 	6405.198 	6624.036 	6242.529 
A,FC_OTH_CP_E,TOTAL,KTOE,NO	2844.110 	2951.509 	3020.480 	2884.726 	2937.038 	3084.612 	3094.749 	3216.678 	3197.870 	3047.848 	3230.681 	3105.864 
A,FC_OTH_CP_E,TOTAL,KTOE,PL	8429.508 	8363.910 	8078.737 	7788.309 	7842.278 	8502.869 	8044.474 	7928.559 	7808.047 	7561.151 	8393.782 	8158.385 
A,FC_OTH_CP_E,TOTAL,KTOE,PT	1856.353 	1843.417 	1786.725 	2284.617 	2356.381 	2289.624 	2301.406 	2380.554 	2359.195 	2161.553 	2191.033 	2391.016 
A,FC_OTH_CP_E,TOTAL,KTOE,RO	1774.282 	1763.099 	1784.900 	1768.388 	1761.969 	1806.394 	1858.427 	1976.150 	1962.137 	1834.290 	1854.128 	1908.080 
A,FC_OTH_CP_E,TOTAL,KTOE,RS	1046.670 	834.956 	803.644 	772.362 	874.646 	886.372 	939.812 	891.441 	863.097 	855.941 	950.329 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,SE	3864.910 	4046.355 	3958.982 	3960.473 	4022.234 	4216.875 	3991.218 	4120.828 	4024.796 	4007.556 	4263.473 	4221.410 
A,FC_OTH_CP_E,TOTAL,KTOE,SI	531.470 	453.358 	467.775 	427.211 	454.503 	492.427 	480.680 	474.453 	451.994 	418.343 	421.098 	415.016 
A,FC_OTH_CP_E,TOTAL,KTOE,SK	1601.718 	1451.245 	1710.558 	1233.318 	1299.549 	1308.325 	1426.737 	1314.726 	1222.506 	1108.698 	1408.624 	1276.824 
A,FC_OTH_CP_E,TOTAL,KTOE,TR	9903.139 	11005.128 	10611.925 	11021.419 	12194.776 	12415.869 	13567.210 	12545.670 	13968.181 	13883.565 	11386.206 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,UA	5129.446 	5006.804 	5767.651 	4664.962 	3888.355 	4671.814 	4336.853 	4720.627 	4832.831 	4869.916 	: 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,UK	15239.696 	16232.096 	16585.582 	15523.581 	16841.958 	18092.420 	17938.940 	18222.399 	18084.583 	: 	: 	: 
A,FC_OTH_CP_E,TOTAL,KTOE,XK	117.913 	117.736 	115.457 	139.135 	148.344 	177.055 	191.548 	154.605 	163.882 	158.241 	172.957 	: 
A,FC_OTH_HH_E,TOTAL,KTOE,AL	498.280 	509.086 	580.003 	556.243 	532.287 	496.350 	492.580 	510.484 	504.986 	538.642 	548.630 	: 
A,FC_OTH_HH_E,TOTAL,KTOE,AT	6551.505 	6677.819 	6911.132 	6239.870 	6631.937 	6919.098 	6955.601 	6531.091 	6687.860 	6962.264 	7799.125 	6642.458 
A,FC_OTH_HH_E,TOTAL,KTOE,BA	: 	: 	: 	980.816 	1113.030 	1139.361 	1045.641 	1719.424 	1686.605 	1800.155 	1787.670 	: 
A,FC_OTH_HH_E,TOTAL,KTOE,BE	8028.571 	8500.211 	9131.306 	7462.298 	8239.523 	8284.103 	8157.115 	8075.811 	7877.030 	7879.855 	8592.185 	7299.413 
A,FC_OTH_HH_E,TOTAL,KTOE,BG	2374.281 	2352.559 	2241.036 	2164.991 	2192.912 	2252.111 	2318.715 	2229.672 	2162.252 	2382.245 	2402.572 	2137.397 
A,FC_OTH_HH_E,TOTAL,KTOE,CY	355.125 	349.996 	304.971 	292.183 	323.916 	333.642 	342.362 	334.957 	359.703 	363.552 	355.143 	360.543 
A,FC_OTH_HH_E,TOTAL,KTOE,CZ	6863.723 	7115.570 	7269.133 	6554.173 	6769.510 	7090.172 	7202.965 	7042.708 	6963.387 	7148.052 	7864.166 	7156.714 
A,FC_OTH_HH_E,TOTAL,KTOE,DE	56020.249 	59188.124 	62517.628 	53648.149 	54959.824 	56963.580 	56777.115 	55822.360 	57743.030 	57979.779 	57672.167 	57315.123 
A,FC_OTH_HH_E,TOTAL,KTOE,DK	4496.279 	4444.462 	4484.143 	4146.276 	4442.021 	4585.480 	4501.325 	4453.115 	4392.161 	4277.234 	4523.014 	4027.803 
A,FC_OTH_HH_E,TOTAL,KTOE,EE	935.253 	970.828 	933.506 	888.143 	857.435 	930.578 	940.914 	941.042 	951.351 	944.704 	965.256 	963.880 
A,FC_OTH_HH_E,TOTAL,KTOE,EL	5526.044 	5096.015 	3821.337 	3844.875 	4460.625 	4337.452 	4401.052 	3903.480 	4099.875 	4277.830 	4278.524 	4316.635 
