freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5100,CAP_NET_ELC,MW,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	1.000 	2.000 	3.000 	3.000 	3.000 	3.000 	3.000 	2.000 	5.000 	5.000 	23.000 	55.000 	63.000 	66.000 	81.000 	93.736 	72.609 	96.947 	96.067 	94.720 	90.367 
A,R5100,CAP_NET_ELC,MW,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,NL	5.000 	5.000 	5.000 	5.000 	5.000 	5.595 	4.396 	4.681 	4.777 	33.246 	34.461 	36.041 	36.134 	35.887 	36.942 	39.680 	39.995 	94.172 	154.923 	156.141 	157.938 	132.578 	172.174 	214.666 	190.190 	210.225 	209.725 	226.415 	231.045 	228.440 	270.570 	284.191 	284.191 
A,R5100,CAP_NET_ELC,MW,NO	41.000 	42.000 	42.000 	42.000 	42.000 	97.000 	102.000 	102.000 	100.000 	30.000 	35.000 	35.000 	101.000 	107.000 	95.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	79.000 	27.000 	27.000 	27.000 	27.000 	20.000 	27.000 	27.000 
A,R5100,CAP_NET_ELC,MW,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	24.000 	24.000 	25.000 	25.000 	33.000 	40.000 	42.000 	53.000 	175.000 	455.000 	582.000 	629.000 	737.000 	727.000 	708.769 	735.159 	731.780 	734.201 	803.185 	894.193 
A,R5100,CAP_NET_ELC,MW,PT	192.000 	192.000 	212.000 	207.000 	203.000 	205.000 	205.000 	212.000 	211.000 	233.000 	219.000 	214.000 	233.000 	224.000 	224.000 	273.000 	279.000 	290.000 	293.000 	342.000 	482.000 	478.000 	479.000 	458.000 	456.000 	471.000 	477.000 	471.211 	535.932 	589.571 	602.968 	602.968 	592.903 
A,R5100,CAP_NET_ELC,MW,RO	0.000 	0.000 	196.000 	329.000 	305.000 	304.000 	309.000 	303.000 	0.000 	0.000 	251.000 	151.000 	0.000 	0.000 	0.000 	0.000 	0.000 	15.000 	15.000 	0.000 	19.000 	26.000 	30.000 	35.000 	79.000 	104.000 	107.000 	118.883 	119.278 	118.771 	135.832 	108.771 	161.448 
