freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_IND_E,E7000,KTOE,UK	8816.079 	8476.268 	8346.260 	8010.060 	8000.369 	8032.956 	7939.807 	8081.377 	7887.532 	: 	: 	: 
A,FC_IND_E,E7000,KTOE,XK	110.748 	107.911 	107.911 	112.726 	117.627 	90.112 	91.436 	84.237 	89.672 	92.153 	98.202 	: 
A,FC_IND_E,G3000,KTOE,AL	0.000 	3.332 	5.589 	6.836 	11.156 	10.035 	12.500 	7.380 	6.480 	6.479 	6.479 	: 
A,FC_IND_E,G3000,KTOE,AT	2532.298 	2516.719 	2606.118 	2541.853 	2556.808 	2609.971 	2644.283 	2680.414 	2715.360 	2656.500 	2758.488 	2563.095 
A,FC_IND_E,G3000,KTOE,BA	: 	: 	: 	62.274 	72.614 	75.989 	85.471 	87.060 	76.419 	59.093 	78.719 	: 
A,FC_IND_E,G3000,KTOE,BE	3685.396 	3740.925 	3803.778 	3661.584 	3743.952 	3801.547 	4006.906 	4034.905 	3959.123 	3870.072 	4080.757 	3477.280 
A,FC_IND_E,G3000,KTOE,BG	843.334 	756.258 	759.962 	782.556 	918.887 	919.774 	928.881 	896.598 	825.959 	848.657 	937.999 	765.068 
A,FC_IND_E,G3000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_IND_E,G3000,KTOE,CZ	2064.015 	2037.274 	2052.386 	1905.954 	1982.287 	2015.225 	2140.800 	2023.730 	2029.455 	2033.926 	2231.893 	1992.767 
A,FC_IND_E,G3000,KTOE,DE	19497.514 	19597.664 	19638.491 	19228.921 	19198.968 	19991.739 	20883.661 	19605.587 	19475.698 	19652.644 	20492.015 	18132.193 
A,FC_IND_E,G3000,KTOE,DK	713.638 	683.328 	676.325 	683.397 	657.959 	642.565 	687.726 	716.107 	676.895 	666.151 	726.624 	592.292 
A,FC_IND_E,G3000,KTOE,EE	113.607 	119.153 	146.324 	97.786 	94.304 	106.492 	95.453 	109.041 	99.524 	94.704 	98.733 	63.976 
A,FC_IND_E,G3000,KTOE,EL	555.139 	508.379 	537.041 	463.759 	431.382 	551.182 	322.080 	320.543 	334.430 	496.000 	507.416 	568.665 
A,FC_IND_E,G3000,KTOE,ES	7698.947 	8444.590 	9035.669 	8754.914 	7369.837 	7923.367 	8063.846 	8413.285 	8600.731 	8047.156 	8790.649 	7051.139 
A,FC_IND_E,G3000,KTOE,EU27_2020	76316.046 	75721.962 	76762.448 	74467.245 	72691.489 	74958.405 	76896.651 	76000.650 	75534.067 	73408.327 	81920.757 	70842.587 
A,FC_IND_E,G3000,KTOE,FI	667.222 	619.407 	629.206 	601.360 	553.009 	535.496 	591.440 	564.073 	635.963 	634.329 	689.889 	551.086 
A,FC_IND_E,G3000,KTOE,FR	11939.505 	11709.562 	12077.861 	11296.399 	10859.655 	11195.757 	10530.952 	10358.508 	10206.152 	9187.622 	10183.129 	9254.627 
A,FC_IND_E,G3000,KTOE,GE	: 	: 	150.585 	161.093 	179.344 	164.347 	193.862 	192.984 	197.473 	207.912 	194.851 	: 
A,FC_IND_E,G3000,KTOE,HR	480.417 	389.789 	350.838 	351.892 	340.735 	356.965 	386.467 	382.986 	400.609 	390.320 	371.668 	334.215 
A,FC_IND_E,G3000,KTOE,HU	975.623 	816.660 	1273.560 	1252.171 	1244.755 	1287.360 	1361.995 	1431.298 	1399.377 	1373.947 	1449.355 	1274.011 
A,FC_IND_E,G3000,KTOE,IE	583.158 	640.327 	659.956 	739.603 	789.239 	840.080 	874.916 	926.639 	952.017 	933.290 	996.051 	905.073 
A,FC_IND_E,G3000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,G3000,KTOE,IT	9307.825 	9043.035 	8731.019 	8546.475 	8273.280 	8361.930 	8870.592 	8649.122 	8540.577 	8081.339 	12220.733 	10275.457 
A,FC_IND_E,G3000,KTOE,LT	347.678 	359.953 	310.469 	297.764 	284.071 	287.747 	291.706 	311.154 	303.553 	290.216 	301.225 	266.812 
A,FC_IND_E,G3000,KTOE,LU	316.044 	303.612 	283.328 	281.496 	277.347 	280.856 	267.459 	278.704 	269.520 	230.959 	252.087 	179.008 
