freq,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,SOL_COL_SURF,THS_M2,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	21.672 	21.700 	21.672 	21.672 
A,SOL_COL_SURF,THS_M2,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,SOL_COL_SURF,THS_M2,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.000 	2.000 	2.000 	2.200 	2.200 	2.200 	2.213 	2.401 	4.116 
A,SOL_COL_SURF,THS_M2,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,SOL_COL_SURF,THS_M2,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	40.000 	54.800 	60.030 	63.240 	67.000 	70.000 	71.600 	72.249 	72.858 	73.402 	74.084 	52.136 	46.485 
A,SOL_COL_SURF,THS_M2,NL	73.000 	81.000 	95.000 	105.000 	121.000 	139.000 	158.000 	185.000 	215.000 	249.000 	276.000 	307.000 	342.000 	368.000 	395.000 	422.000 	443.000 	468.000 	494.000 	539.000 	576.000 	601.000 	615.000 	633.000 	644.000 	647.000 	652.000 	649.000 	657.000 	672.000 	669.000 	662.000 	662.000 
A,SOL_COL_SURF,THS_M2,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	11.000 	14.000 	13.000 	13.000 	13.000 	14.000 	14.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,SOL_COL_SURF,THS_M2,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	49.000 	76.000 	76.000 	95.000 	128.000 	236.000 	365.000 	510.000 	656.000 	909.000 	1200.000 	1470.000 	1730.000 	1900.000 	2016.000 	2131.000 	2433.000 	2696.000 	3006.690 	3195.690 	3405.690 
A,SOL_COL_SURF,THS_M2,PT	150.000 	170.000 	178.000 	185.000 	193.000 	200.000 	208.000 	216.000 	223.000 	230.000 	238.000 	246.000 	254.000 	261.000 	269.000 	289.000 	304.000 	330.000 	390.000 	493.000 	752.000 	876.000 	967.000 	1024.000 	1079.000 	1121.000 	1176.000 	1231.105 	1288.104 	1347.955 	1406.955 	1478.955 	1545.055 
A,SOL_COL_SURF,THS_M2,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	69.000 	70.000 	94.000 	114.000 	104.000 	105.000 	110.000 	129.000 	143.000 	159.000 	174.000 	189.000 	204.350 	218.910 	233.670 	249.109 	249.109 
A,SOL_COL_SURF,THS_M2,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,SOL_COL_SURF,THS_M2,SE	90.000 	10.000 	110.000 	118.000 	125.000 	135.000 	161.000 	173.000 	181.000 	185.000 	207.000 	229.000 	165.000 	307.000 	336.000 	371.000 	409.000 	440.000 	480.000 	510.000 	510.000 	446.000 	322.000 	475.000 	475.000 	478.000 	475.000 	472.000 	466.000 	459.000 	451.000 	445.000 	435.000 
A,SOL_COL_SURF,THS_M2,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	100.782 	102.350 	103.819 	101.636 	101.554 	106.536 	114.059 	125.673 	134.070 	166.445 	178.433 	192.939 	212.330 	220.461 	221.860 	223.880 	225.653 	225.320 	224.812 	224.318 	222.398 	220.000 	217.246 
A,SOL_COL_SURF,THS_M2,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	57.000 	64.000 	72.000 	80.000 	89.000 	98.000 	123.000 	146.000 	154.000 	160.000 	166.000 	171.000 	177.000 	201.000 	206.000 	220.000 	232.000 	249.000 	265.000 
A,SOL_COL_SURF,THS_M2,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6700.000 	7200.000 	7700.000 	8200.000 	8700.000 	9500.000 	10000.000 	11000.000 	11500.000 	12000.000 	12000.000 	12250.000 	12350.000 	18000.000 	18000.000 	19300.000 	19490.000 	19690.000 	20080.000 	20000.000 	20200.000 	19600.000 	19992.000 	20191.920 	20393.839 
A,SOL_COL_SURF,THS_M2,UA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 
A,SOL_COL_SURF,THS_M2,UK	205.000 	216.000 	225.000 	235.000 	243.000 	254.000 	265.000 	276.000 	283.000 	298.000 	396.000 	323.000 	350.000 	383.000 	420.000 	462.000 	543.000 	625.000 	746.000 	880.000 	1038.000 	1173.000 	1252.000 	1307.000 	1352.000 	1383.000 	1400.000 	1428.000 	1443.000 	1460.000 	: 	: 	: 
A,SOL_COL_SURF,THS_M2,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	5.000 	5.000 	5.000 	0.000 	5.000 	5.000 	5.200 	5.668 	16.573 
