freq,nace_r2,indic_pefa,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,A,EPRD_ICNS,TJ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6161 	6258.6 	6769.1 	6748.1 	6634.4 	5860.7 	5695.2 	4780.3 	: 
A,A,EPRD_ICNS,TJ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16407.6 	16356.9 	17154.2 	17087.3 	15774.9 	17274.4 	19943.8 	19291.2 	: 
A,A,EPRD_ICNS,TJ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	134230.1 	158367.8 	159006.7 	159447.2 	164758.1 	172767.3 	171218.3 	180886.6 	: 
A,A,EPRD_ICNS,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1677407.5 s	1714816.2 s	1739484.1 	1750261.8 	1722133.3 	1735199.5 	1753756.7 	1786081.8 	: 
A,A,EPRD_ICNS,TJ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35925.1 	37681.8 	37686.8 	35617.4 	36566.5 	37359 	36619.1 	35876.2 	37116.1 	37054.3 	36725.2 	: 
A,A,EPRD_ICNS,TJ,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	211477.3 	211192.7 	205488.2 	203500.5 	206694.8 	204253 	212256.1 	209087.7 	: 
A,A,EPRD_ICNS,TJ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10385.2 	10810.5 	11344.3 	11781.4 	12526.3 	13012.8 	13918.7 	14725 	: 
A,A,EPRD_ICNS,TJ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24979.1 	24306 	27332.4 	25771 	27406.8 	28466.1 	29748.9 	28157.6 	: 
A,A,EPRD_ICNS,TJ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9754.4 	9481.6 	9772.2 	10197.5 	10828.5 	10925.7 	10777.9 	10833.1 	: 
A,A,EPRD_ICNS,TJ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10120.7 	11606.8 	11307.8 	10801.3 	11353.9 	9735 	10343 	13449.7 	: 
A,A,EPRD_ICNS,TJ,IT	: 	: 	: 	: 	: 	: 	: 	: 	151356.3 	154511.9 	146985.7 	151449.7 	155614.7 	170165.3 	172441.4 	176400.3 	176802.7 	178978.6 	183806.5 	179976.2 	178606.4 	198074.5 b	: 
A,A,EPRD_ICNS,TJ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7534.6 	7769.1 	9769 	10088 	9972 	9553 	7348 	7767 	: 
A,A,EPRD_ICNS,TJ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1057.5 	1044.6 	1204 	1111.9 	1059 	1012.9 	1162 	1153.3 	: 
A,A,EPRD_ICNS,TJ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8633.8 	8779.2 	8474.3 	8925 	8586.9 	9234.8 	9769.3 	10700.6 	10520.9 	11490.1 	11473.9 	10898.1 	: 
A,A,EPRD_ICNS,TJ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6661.6 	7075.2 	5526.4 	6400.8 	: 
A,A,EPRD_ICNS,TJ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	396 s	363.6 s	215.3 	268.8 	317.7 	363.2 	383.5 	370.4 	: 
A,A,EPRD_ICNS,TJ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	255855.2 	243652 	237920 	246914.6 	261905.4 	268844.2 	263837.8 	274338.3 	: 
A,A,EPRD_ICNS,TJ,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23310.8 	21101.2 	21573.5 	21264.4 	21480.3 	21825.3 	22927.1 	24315.5 	25318.4 	25248.4 	26864.2 	27799.4 	26272 
A,A,EPRD_ICNS,TJ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	160099.1 	156708.6 	168509.7 	162975.4 	160200.7 	159886.3 	162011.5 	156817.1 	: 
