freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,EL62	: 	48.2 	43.5 	24.9 
A,CVA,LCA,EL63	16.2 	16.9 	14.7 	14.3 
A,CVA,LCA,EL64	15.8 	16.2 	14.8 	15.3 
A,CVA,LCA,EL65	13.4 	13 	11.8 	25.6 
A,CVA,LCA,ES	2.3 	2 	1.9 	3.1 
A,CVA,LCA,ES1	6.5 	5.8 	5.7 	7.3 
A,CVA,LCA,ES11	8.2 	7.2 	7.1 	9.4 
A,CVA,LCA,ES12	14.9 	12.8 	12.6 	13.6 
A,CVA,LCA,ES13	16.8 	15.5 	15.5 	14.2 
A,CVA,LCA,ES2	6.7 	5.8 	5.7 	7.1 
A,CVA,LCA,ES21	14.1 	12.3 	10.4 	12.5 
A,CVA,LCA,ES22	15.5 	12.3 	12.7 	13.4 
A,CVA,LCA,ES23	20.3 	18.7 	19.3 	22.5 
A,CVA,LCA,ES24	9.6 	8.5 	8.5 	11.2 
A,CVA,LCA,ES3	9.3 	8.9 	8.3 	7.4 
A,CVA,LCA,ES30	9.3 	8.9 	8.3 	7.4 
A,CVA,LCA,ES4	4.5 	4 	3.8 	7.6 
A,CVA,LCA,ES41	6.8 	6.3 	5.9 	14.4 
A,CVA,LCA,ES42	7.4 	6.4 	6.3 	8.9 
A,CVA,LCA,ES43	10.1 	8.8 	8.2 	10.8 
A,CVA,LCA,ES5	5.1 	4.2 	4 	5.7 
A,CVA,LCA,ES51	6.1 	5.5 	5.4 	7.6 
A,CVA,LCA,ES52	7.7 	6.8 	6.2 	8.2 
A,CVA,LCA,ES53	: 	19.2 	17.3 	23.4 
A,CVA,LCA,ES6	4.7 	4.2 	4.1 	6.9 
A,CVA,LCA,ES61	5.3 	4.7 	4.5 	8.1 
A,CVA,LCA,ES62	11 	9.8 	9.6 	12.5 
A,CVA,LCA,EU27_2007	: 	0.7 	0.7 	0.8 
A,CVA,LCA,EU27_2020	: 	: 	0.7 	0.9 
A,CVA,LCA,EU28	: 	: 	0.7 	0.8 
A,CVA,LCA,EU_V	0.8 	0.7 	0.7 	0.9 
A,CVA,LCA,FI	4.9 	5.4 	5.4 	5.3 
A,CVA,LCA,FI1	4.8 	5.4 	5.4 	5.3 
A,CVA,LCA,FI19	8.8 	10.4 	8.6 	9.6 
A,CVA,LCA,FI1B	14.4 	15.6 	16.1 	7.9 
A,CVA,LCA,FI1C	10.3 	11.7 	10.9 	8.2 
A,CVA,LCA,FI1D	7.8 	8.6 	9.3 	9.9 
A,CVA,LCA,FI2	: 	: 	: 	46.1 
A,CVA,LCA,FI20	: 	: 	: 	46.1 
A,CVA,LCA,FR	1.7 	1.6 	1.6 	2.5 
A,CVA,LCA,FR1	7.3 	6.2 	6.1 	16.6 
A,CVA,LCA,FR10	7.3 	6.2 	6.1 	16.6 
A,CVA,LCA,FR2	4.1 	3.7 	3.6 	: 
A,CVA,LCA,FR21	10.9 	9.8 	9.3 	: 
A,CVA,LCA,FR22	10.7 	9.9 	9.7 	: 
A,CVA,LCA,FR23	12 	10.5 	10.6 	: 
A,CVA,LCA,FR24	8 	7.2 	6.9 	: 
A,CVA,LCA,FR25	10.2 	9.1 	8.5 	: 
A,CVA,LCA,FR26	10 	9.3 	8.7 	: 
A,CVA,LCA,FR3	8.6 	7.5 	7.6 	: 
A,CVA,LCA,FR30	8.6 	7.5 	7.6 	: 
A,CVA,LCA,FR4	6 	5.7 	5.4 	: 
A,CVA,LCA,FR41	9.3 	8.8 	8.6 	: 
A,CVA,LCA,FR42	10.8 	10 	9.4 	: 
A,CVA,LCA,FR43	11.3 	11.1 	10.2 	: 
A,CVA,LCA,FR5	4.1 	3.8 	3.6 	: 
A,CVA,LCA,FR51	6.8 	6.2 	5.9 	: 
A,CVA,LCA,FR52	6.4 	6.1 	5.8 	: 
A,CVA,LCA,FR53	8 	7.5 	7.2 	: 
A,CVA,LCA,FR6	4.3 	4.1 	4 	: 
A,CVA,LCA,FR61	6.4 	5.9 	6 	: 
A,CVA,LCA,FR62	6.8 	6.7 	6.4 	: 
A,CVA,LCA,FR63	12.5 	11 	10.8 	: 
A,CVA,LCA,FR7	4.7 	4.4 	4.3 	: 
A,CVA,LCA,FR71	5.4 	5.2 	5.1 	: 
A,CVA,LCA,FR72	9.3 	8.3 	7.9 	: 
A,CVA,LCA,FR8	4.5 	4.3 	4.3 	: 
A,CVA,LCA,FR81	7.2 	6.8 	7 	: 
A,CVA,LCA,FR82	5.9 	5.6 	5.5 	: 
A,CVA,LCA,FR83	23.6 	27.6 	22.9 	: 
A,CVA,LCA,FRB	: 	: 	: 	8.9 
A,CVA,LCA,FRB0	: 	: 	: 	8.9 
A,CVA,LCA,FRC	: 	: 	: 	8.2 
A,CVA,LCA,FRC1	: 	: 	: 	11.6 
A,CVA,LCA,FRC2	: 	: 	: 	9.5 
A,CVA,LCA,FRD	: 	: 	: 	8.7 
A,CVA,LCA,FRD1	: 	: 	: 	12.2 
A,CVA,LCA,FRD2	: 	: 	: 	11.7 
A,CVA,LCA,FRE	: 	: 	: 	17.4 
A,CVA,LCA,FRE1	: 	: 	: 	8.7 
A,CVA,LCA,FRE2	: 	: 	: 	31.9 
A,CVA,LCA,FRF	: 	: 	: 	6.9 
A,CVA,LCA,FRF1	: 	: 	: 	12.5 
A,CVA,LCA,FRF2	: 	: 	: 	10.4 
A,CVA,LCA,FRF3	: 	: 	: 	12.3 
