freq,unit,landuse,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LUD1,PL12	18.1 	17.9 	15.7 	: 
A,CVA,LUD1,PL2	11.8 	16.4 	18.2 	46.9 
A,CVA,LUD1,PL21	27.2 	26.2 	22.5 	54.3 
A,CVA,LUD1,PL22	14 	23.8 	32.1 	60.3 
A,CVA,LUD1,PL3	11.2 	9.6 	9.2 	: 
A,CVA,LUD1,PL31	14.1 	13.9 	12.3 	: 
A,CVA,LUD1,PL32	28.9 	20.4 	9.8 	: 
A,CVA,LUD1,PL33	0 	: 	4.2 	: 
A,CVA,LUD1,PL34	24.6 	14.7 	25.3 	: 
A,CVA,LUD1,PL4	7 	7.5 	6.9 	47.9 
A,CVA,LUD1,PL41	9.8 	10 	8.6 	52.4 
A,CVA,LUD1,PL42	9.5 	13.2 	12.1 	58.7 
A,CVA,LUD1,PL5	6.1 	7 	6.9 	37.5 
A,CVA,LUD1,PL51	7.8 	8.9 	9 	36.1 
A,CVA,LUD1,PL52	9.5 	10.8 	10 	80.1 
A,CVA,LUD1,PL6	12.4 	13.3 	11.9 	52.6 
A,CVA,LUD1,PL61	24.7 	19.2 	14.8 	100 
A,CVA,LUD1,PL62	4.6 	9.9 	8.7 	100.1 
A,CVA,LUD1,PL63	19.2 	22 	21.6 	71.1 
A,CVA,LUD1,PL7	: 	: 	: 	42.3 
A,CVA,LUD1,PL71	: 	: 	: 	44.3 
A,CVA,LUD1,PL72	: 	: 	: 	100 
A,CVA,LUD1,PL8	: 	: 	: 	41.5 
A,CVA,LUD1,PL81	: 	: 	: 	61.9 
A,CVA,LUD1,PL84	: 	: 	: 	54.4 
A,CVA,LUD1,PL9	: 	: 	: 	17.9 
A,CVA,LUD1,PL92	: 	: 	: 	17.9 
A,CVA,LUD1,PT	4.9 	4.8 	6.2 	23.8 
A,CVA,LUD1,PT1	4.9 	4.8 	6.2 	23.8 
A,CVA,LUD1,PT11	22.3 	37.9 	38.8 	71.9 
A,CVA,LUD1,PT15	5 	5.3 	6.6 	31.9 
A,CVA,LUD1,PT16	9 	8.4 	11.3 	52.3 
A,CVA,LUD1,PT17	17.6 	24 	28.2 	59.1 
A,CVA,LUD1,PT18	8.1 	4.8 	5.5 	53.2 
A,CVA,LUD1,RO	: 	4.1 	5.4 	22.2 
A,CVA,LUD1,RO1	: 	: 	14.1 	39 
A,CVA,LUD1,RO11	: 	: 	19.3 	59.5 
A,CVA,LUD1,RO12	: 	: 	14.6 	51.3 
A,CVA,LUD1,RO2	: 	4 	7.2 	60.4 
A,CVA,LUD1,RO21	: 	5.1 	8.6 	: 
A,CVA,LUD1,RO22	: 	5 	12.3 	60.4 
A,CVA,LUD1,RO3	: 	14.5 	13.5 	77.1 
A,CVA,LUD1,RO31	: 	12.2 	12.4 	77.1 
A,CVA,LUD1,RO4	: 	5 	5.8 	32.8 
A,CVA,LUD1,RO41	: 	6.4 	6.9 	41.6 
A,CVA,LUD1,RO42	: 	2.4 	11.6 	53.1 
A,CVA,LUD1,SE	5.1 	7.4 	7.4 	47.1 
A,CVA,LUD1,SE1	20.2 	31.6 	23.6 	60.3 
A,CVA,LUD1,SE11	: 	61.7 	37.6 	100.1 
A,CVA,LUD1,SE12	18.6 	36.6 	28.2 	67.9 
A,CVA,LUD1,SE2	14.3 	18.6 	17.3 	42.3 
A,CVA,LUD1,SE21	18.4 	22.2 	21.7 	50.5 
A,CVA,LUD1,SE22	: 	: 	28.5 	71.3 
A,CVA,LUD1,SE23	23.2 	31.5 	43 	100.3 
A,CVA,LUD1,SE3	5.4 	8.3 	9 	71.4 
A,CVA,LUD1,SE31	17.1 	19.8 	16.3 	58.9 
A,CVA,LUD1,SE32	11.7 	22.7 	22.4 	100.1 
A,CVA,LUD1,SE33	6 	9.6 	11 	81.1 
A,CVA,LUD1,SI	21.5 	12.4 	19.2 	54.4 
A,CVA,LUD1,SI0	21.5 	12.4 	19.2 	54.4 
A,CVA,LUD1,SI03	24.6 	16.1 	25.6 	100.2 
A,CVA,LUD1,SI04	46 	18.4 	28.8 	63 
A,CVA,LUD1,SK	9.6 	10.4 	13.4 	55.9 
A,CVA,LUD1,SK0	9.6 	10.4 	13.4 	55.9 
A,CVA,LUD1,SK01	40.9 	: 	: 	: 
A,CVA,LUD1,SK02	10.5 	4.7 	6.6 	: 
A,CVA,LUD1,SK03	10.6 	16.7 	16.9 	82.3 
A,CVA,LUD1,SK04	28.3 	28.6 	32.7 	59.1 
A,CVA,LUD1,UK	4.4 	5.4 	5.1 	15 
A,CVA,LUD1,UKC	19.1 	22 	26.1 	17.1 
A,CVA,LUD1,UKC1	22.8 	22.7 	32.4 	17.1 
A,CVA,LUD1,UKC2	34.6 	45.5 	43.7 	: 
A,CVA,LUD1,UKD	24.3 	24.3 	20 	58.7 
A,CVA,LUD1,UKD1	20.1 	22.3 	30.4 	: 
A,CVA,LUD1,UKD3	: 	: 	: 	169.5 
A,CVA,LUD1,UKD4	20.4 	19.3 	21.9 	75.2 
A,CVA,LUD1,UKD6	57.1 	38 	33.9 	102.7 
A,CVA,LUD1,UKE	20.2 	10.4 	12.9 	63.6 
A,CVA,LUD1,UKE1	: 	12 	15 	91.2 
A,CVA,LUD1,UKE2	27.5 	12.3 	: 	101.5 
A,CVA,LUD1,UKE3	62.5 	34.6 	34.3 	: 
A,CVA,LUD1,UKE4	52.1 	40.3 	: 	99.9 
A,CVA,LUD1,UKF	4.3 	6.9 	8.3 	43.3 
A,CVA,LUD1,UKF1	8.3 	12 	10.6 	57.9 
A,CVA,LUD1,UKF2	6.6 	17.5 	: 	60.7 
A,CVA,LUD1,UKF3	6.4 	9.7 	8.4 	: 
A,CVA,LUD1,UKG	59.2 	39.4 	33.3 	41.4 
A,CVA,LUD1,UKG1	220.8 	71.6 	72.5 	92.8 
A,CVA,LUD1,UKG2	6.7 	6.3 	15.4 	42.8 
A,CVA,LUD1,UKG3	: 	: 	0 	: 
A,CVA,LUD1,UKH	18.3 	60.3 	29.2 	43.4 
A,CVA,LUD1,UKH1	14.2 	56.3 	16.3 	51.2 
A,CVA,LUD1,UKH2	: 	: 	: 	73.6 
A,CVA,LUD1,UKI	: 	: 	: 	95.2 
A,CVA,LUD1,UKI5	: 	: 	: 	95.2 
A,CVA,LUD1,UKJ	24.5 	12.8 	16.8 	74 
A,CVA,LUD1,UKJ1	25.3 	16.7 	17.2 	74 
A,CVA,LUD1,UKJ2	53.3 	: 	62.7 	: 
A,CVA,LUD1,UKJ4	: 	25.8 	22.9 	: 
A,CVA,LUD1,UKK	11.8 	19.3 	13.3 	45.3 
A,CVA,LUD1,UKK1	36.8 	: 	: 	70 
A,CVA,LUD1,UKK2	23.5 	: 	: 	77.6 
A,CVA,LUD1,UKK3	14.3 	15.9 	13 	100.3 
A,CVA,LUD1,UKK4	24.6 	15.9 	22.2 	98 
A,CVA,LUD1,UKL	9.6 	11.5 	9.4 	50.7 
A,CVA,LUD1,UKL1	14.7 	18 	8.3 	100.1 
A,CVA,LUD1,UKL2	13.3 	14.2 	24.7 	56.2 
A,CVA,LUD1,UKM	6.1 	5.5 	8.6 	31.5 
A,CVA,LUD1,UKM2	14.9 	9.3 	30 	: 
A,CVA,LUD1,UKM3	12.9 	15.3 	15.6 	: 
A,CVA,LUD1,UKM5	: 	28.3 	: 	: 
A,CVA,LUD1,UKM6	7.4 	6.4 	9.4 	52.7 
A,CVA,LUD1,UKM7	: 	: 	: 	83.3 
A,CVA,LUD1,UKM8	: 	: 	: 	92.6 
A,CVA,LUD1,UKM9	: 	: 	: 	42.7 
A,CVA,LUD1,UKN	12 	8.3 	8 	114.9 
A,CVA,LUD1,UKN0	12 	8.3 	8 	114.9 
A,CVA,LUD2,AT	8 	6 	5.2 	13 
A,CVA,LUD2,AT1	16.3 	13 	14.2 	59.6 
A,CVA,LUD2,AT12	13 	11.6 	12.8 	59.6 
A,CVA,LUD2,AT13	78.5 	62.1 	95.4 	: 
A,CVA,LUD2,AT2	10.2 	12.6 	10.4 	10.5 
A,CVA,LUD2,AT21	5.6 	: 	35.4 	6.1 
A,CVA,LUD2,AT22	16.7 	13.1 	10.4 	54.2 
A,CVA,LUD2,AT3	11.6 	6.4 	4.6 	48.8 
A,CVA,LUD2,AT31	22.3 	7.3 	6.6 	75.1 
A,CVA,LUD2,AT32	9.2 	19.6 	8.4 	: 
A,CVA,LUD2,AT33	6.4 	15.5 	16.4 	: 
A,CVA,LUD2,AT34	: 	8.5 	: 	56.2 
A,CVA,LUD2,BE	: 	73.2 	39 	52.4 
A,CVA,LUD2,BE2	: 	424.1 	56.4 	52.4 
A,CVA,LUD2,BE21	: 	: 	: 	99.7 
A,CVA,LUD2,BE22	: 	: 	100.1 	: 
A,CVA,LUD2,BE23	: 	: 	51.1 	98.9 
A,CVA,LUD2,BE25	: 	367.2 	63.9 	70.6 
A,CVA,LUD2,BE3	: 	21.5 	15.3 	: 
A,CVA,LUD2,BE34	: 	8.7 	9.2 	: 
A,CVA,LUD2,BG	: 	14.6 	17.7 	41.2 
A,CVA,LUD2,BG3	: 	47.4 	38.1 	54.8 
A,CVA,LUD2,BG31	: 	: 	: 	73.6 
A,CVA,LUD2,BG32	: 	42.6 	: 	: 
A,CVA,LUD2,BG34	: 	56.2 	30.8 	76.1 
A,CVA,LUD2,BG4	: 	4.6 	4.6 	62.5 
A,CVA,LUD2,BG41	: 	: 	: 	99.8 
A,CVA,LUD2,BG42	: 	3.6 	4 	80.1 
A,CVA,LUD2,CY	: 	21.2 	28.5 	70.7 
A,CVA,LUD2,CY0	: 	21.2 	28.5 	70.7 
A,CVA,LUD2,CY00	: 	21.2 	28.5 	70.7 
A,CVA,LUD2,CZ	20.6 	22.7 	22.1 	56.5 
A,CVA,LUD2,CZ0	20.6 	22.7 	22.1 	56.5 
A,CVA,LUD2,CZ01	75.1 	: 	: 	: 
A,CVA,LUD2,CZ02	: 	: 	81.2 	: 
A,CVA,LUD2,CZ03	13.5 	17.2 	17.4 	99.9 
A,CVA,LUD2,CZ05	: 	21.5 	22.5 	100 
A,CVA,LUD2,CZ06	33.7 	31.1 	30.2 	100 
A,CVA,LUD2,CZ07	: 	55.4 	52 	: 
A,CVA,LUD2,CZ08	: 	: 	: 	99.5 
A,CVA,LUD2,DE	6.6 	5.4 	6 	20.3 
A,CVA,LUD2,DE1	14.5 	: 	49 	: 
A,CVA,LUD2,DE11	: 	: 	47 	: 
A,CVA,LUD2,DE13	12.4 	: 	: 	: 
A,CVA,LUD2,DE2	10.3 	9.7 	10.4 	47.7 
A,CVA,LUD2,DE21	23.4 	15.1 	24.9 	: 
A,CVA,LUD2,DE22	: 	: 	: 	100 
A,CVA,LUD2,DE23	11.1 	21.1 	16.4 	: 
A,CVA,LUD2,DE24	: 	: 	: 	62.3 
A,CVA,LUD2,DE26	22.7 	16.8 	19 	58 
A,CVA,LUD2,DE27	6.1 	17.9 	15.6 	77.1 
A,CVA,LUD2,DE3	73.1 	76.6 	72.4 	: 
A,CVA,LUD2,DE30	73.1 	76.6 	72.4 	: 
A,CVA,LUD2,DE4	17.6 	19.1 	17.4 	45.5 
A,CVA,LUD2,DE40	17.6 	19.1 	17.4 	45.5 
A,CVA,LUD2,DE6	139 	: 	: 	: 
A,CVA,LUD2,DE60	139 	: 	: 	: 
A,CVA,LUD2,DE7	: 	35.1 	75.9 	: 
A,CVA,LUD2,DE71	: 	46.1 	94.3 	: 
A,CVA,LUD2,DE73	: 	21.6 	: 	: 
A,CVA,LUD2,DE8	18.2 	10.2 	14.9 	58.6 
A,CVA,LUD2,DE80	18.2 	10.2 	14.9 	58.6 
A,CVA,LUD2,DE9	15.3 	12.8 	17.7 	36.1 
A,CVA,LUD2,DE91	9.1 	11.4 	12.4 	72.1 
A,CVA,LUD2,DE92	50.8 	53.9 	: 	58.9 
A,CVA,LUD2,DE93	34.2 	36.4 	38 	100 
A,CVA,LUD2,DE94	35.4 	17.9 	34.2 	71.1 
A,CVA,LUD2,DEA	26.6 	15.9 	22.1 	50.3 
A,CVA,LUD2,DEA1	: 	81.6 	: 	: 
A,CVA,LUD2,DEA2	35.2 	23.9 	47 	: 
A,CVA,LUD2,DEA3	35.8 	22.3 	21.4 	57.9 
A,CVA,LUD2,DEA4	: 	56.2 	57.6 	101.4 
A,CVA,LUD2,DEA5	31.1 	33.6 	24.9 	: 
A,CVA,LUD2,DEB	34.8 	45.6 	: 	61.2 
A,CVA,LUD2,DEB1	33.2 	: 	: 	76.4 
A,CVA,LUD2,DEB2	: 	47.7 	: 	: 
A,CVA,LUD2,DEB3	: 	: 	: 	100.9 
A,CVA,LUD2,DEC	: 	: 	73.5 	101.4 
A,CVA,LUD2,DEC0	: 	: 	73.5 	101.4 
A,CVA,LUD2,DED	: 	41.8 	36 	72 
A,CVA,LUD2,DED2	: 	50.5 	36.8 	103.9 
A,CVA,LUD2,DED5	: 	86.7 	99.8 	83.3 
A,CVA,LUD2,DEE	17 	12.4 	9.3 	: 
A,CVA,LUD2,DEE0	17 	12.4 	9.3 	: 
A,CVA,LUD2,DEF	48.6 	26.7 	28.4 	99.8 
A,CVA,LUD2,DEF0	48.6 	26.7 	28.4 	99.8 
A,CVA,LUD2,DEG	9.3 	8.8 	8 	58 
A,CVA,LUD2,DEG0	9.3 	8.8 	8 	58 
A,CVA,LUD2,DK	14.7 	21.4 	13.5 	57.1 
A,CVA,LUD2,DK0	14.7 	21.4 	13.5 	57.1 
A,CVA,LUD2,DK02	15.3 	15.9 	14 	99.6 
A,CVA,LUD2,DK04	: 	33.2 	: 	100 
A,CVA,LUD2,DK05	: 	42.7 	: 	95.6 
A,CVA,LUD2,EE	11.6 	8 	7.1 	43.9 
A,CVA,LUD2,EE0	11.6 	8 	7.1 	43.9 
A,CVA,LUD2,EE00	11.6 	8 	7.1 	43.9 
A,CVA,LUD2,EL	4.1 	3.5 	3.8 	20.6 
A,CVA,LUD2,EL3	: 	101.8 	88.6 	: 
A,CVA,LUD2,EL30	: 	101.8 	88.6 	: 
A,CVA,LUD2,EL4	20.7 	28.9 	27.5 	57.9 
A,CVA,LUD2,EL41	: 	: 	: 	100.5 
A,CVA,LUD2,EL42	: 	29.4 	29.3 	: 
A,CVA,LUD2,EL43	23.7 	: 	: 	70.8 
A,CVA,LUD2,EL5	4.5 	3.8 	4.9 	24.2 
A,CVA,LUD2,EL51	7.3 	3.3 	7.1 	46.3 
A,CVA,LUD2,EL52	19.4 	6.2 	17.3 	47 
A,CVA,LUD2,EL53	4.9 	5.7 	6.8 	42.7 
A,CVA,LUD2,EL54	: 	10.9 	11.9 	56.5 
A,CVA,LUD2,EL6	5.4 	4.7 	4.9 	36.5 
A,CVA,LUD2,EL61	: 	12 	6.7 	46.5 
A,CVA,LUD2,EL62	2.4 	13.7 	17 	99.8 
A,CVA,LUD2,EL63	7.1 	5.4 	18.8 	100.8 
A,CVA,LUD2,EL64	4.5 	6.3 	6.3 	51.5 
A,CVA,LUD2,EL65	14.8 	9.1 	11.8 	100.2 
A,CVA,LUD2,ES	3.8 	1.8 	1.7 	11.5 
A,CVA,LUD2,ES1	8.5 	4.8 	3.5 	32.6 
A,CVA,LUD2,ES11	8.8 	8.5 	7.5 	60 
A,CVA,LUD2,ES12	: 	2.3 	1.8 	42.9 
A,CVA,LUD2,ES13	: 	5.9 	2.8 	71.9 
A,CVA,LUD2,ES2	9.3 	5.7 	4.8 	30.4 
A,CVA,LUD2,ES21	19.4 	9.1 	14.9 	40.7 
A,CVA,LUD2,ES22	25.7 	: 	6.4 	98.3 
A,CVA,LUD2,ES23	29.5 	21.1 	25.9 	100.4 
A,CVA,LUD2,ES24	12.6 	6.9 	3.7 	40.4 
A,CVA,LUD2,ES3	: 	15.2 	: 	: 
A,CVA,LUD2,ES30	: 	15.2 	: 	: 
A,CVA,LUD2,ES4	4.2 	1.7 	1.6 	15.8 
A,CVA,LUD2,ES41	4.9 	2.6 	2.7 	15.9 
A,CVA,LUD2,ES42	6.1 	3.4 	4.1 	32.3 
A,CVA,LUD2,ES43	: 	2.5 	2.1 	47.7 
A,CVA,LUD2,ES5	10.3 	8.7 	9.9 	28.8 
A,CVA,LUD2,ES51	8.6 	8.1 	11.3 	29.5 
A,CVA,LUD2,ES52	: 	21.7 	14.9 	63.6 
A,CVA,LUD2,ES6	10.2 	7.3 	5.6 	41.3 
A,CVA,LUD2,ES61	10.7 	7 	5.6 	45.1 
A,CVA,LUD2,ES62	32.3 	39 	30.5 	100.2 
A,CVA,LUD2,EU27_2007	: 	1.2 	1.3 	18 
A,CVA,LUD2,EU27_2020	: 	: 	1.3 	19.1 
A,CVA,LUD2,EU28	: 	: 	1.3 	17.8 
A,CVA,LUD2,EU_V	1.5 	1.3 	1.4 	19.8 
A,CVA,LUD2,FI	6 	7 	9 	97.3 
A,CVA,LUD2,FI1	6 	7 	9 	97.3 
A,CVA,LUD2,FI19	12.5 	13.6 	13.6 	71.3 
A,CVA,LUD2,FI1B	37.5 	39.1 	: 	: 
A,CVA,LUD2,FI1C	19.5 	19.4 	55.8 	: 
A,CVA,LUD2,FI1D	7.2 	8.9 	10.3 	98 
A,CVA,LUD2,FR	5.8 	4.8 	6.3 	20.1 
A,CVA,LUD2,FR1	: 	29.7 	32.2 	: 
A,CVA,LUD2,FR10	: 	29.7 	32.2 	: 
A,CVA,LUD2,FR2	18.6 	8.3 	27.2 	: 
A,CVA,LUD2,FR21	10.4 	12.4 	69.8 	: 
A,CVA,LUD2,FR22	19.4 	: 	: 	: 
A,CVA,LUD2,FR24	30.9 	: 	44 	: 
A,CVA,LUD2,FR25	12.1 	10.5 	31.1 	: 
A,CVA,LUD2,FR3	104.5 	60.7 	31.9 	: 
A,CVA,LUD2,FR30	104.5 	60.7 	31.9 	: 
A,CVA,LUD2,FR4	6.3 	9 	27.4 	: 
A,CVA,LUD2,FR41	8.2 	12.8 	57.4 	: 
A,CVA,LUD2,FR42	24.9 	21.4 	22 	: 
A,CVA,LUD2,FR43	9.9 	: 	: 	: 
A,CVA,LUD2,FR5	18.1 	29.6 	17.2 	: 
A,CVA,LUD2,FR51	18.5 	18.1 	16.9 	: 
A,CVA,LUD2,FR52	: 	36.8 	: 	: 
A,CVA,LUD2,FR6	10 	5.6 	5.6 	: 
A,CVA,LUD2,FR61	44 	41.9 	: 	: 
A,CVA,LUD2,FR62	13.9 	7.4 	10.2 	: 
A,CVA,LUD2,FR63	4 	3.6 	5.6 	: 
A,CVA,LUD2,FR7	9 	9.9 	10.5 	: 
A,CVA,LUD2,FR71	11.9 	12.3 	13 	: 
A,CVA,LUD2,FR72	11.8 	14.7 	16.1 	: 
A,CVA,LUD2,FR8	9.3 	5.6 	8.2 	: 
A,CVA,LUD2,FR81	20.7 	12.9 	18.1 	: 
A,CVA,LUD2,FR82	11.1 	6.9 	10.4 	: 
A,CVA,LUD2,FRB	: 	: 	: 	50.2 
A,CVA,LUD2,FRB0	: 	: 	: 	50.2 
A,CVA,LUD2,FRD	: 	: 	: 	100 
A,CVA,LUD2,FRD1	: 	: 	: 	100 
A,CVA,LUD2,FRE	: 	: 	: 	100 
A,CVA,LUD2,FRE2	: 	: 	: 	100 
A,CVA,LUD2,FRF	: 	: 	: 	70.5 
A,CVA,LUD2,FRF3	: 	: 	: 	70.5 
A,CVA,LUD2,FRI	: 	: 	: 	30.2 
A,CVA,LUD2,FRI1	: 	: 	: 	71 
A,CVA,LUD2,FRI2	: 	: 	: 	34.8 
A,CVA,LUD2,FRI3	: 	: 	: 	99.4 
A,CVA,LUD2,FRJ	: 	: 	: 	81.5 
A,CVA,LUD2,FRJ2	: 	: 	: 	81.5 
A,CVA,LUD2,FRK	: 	: 	: 	54.2 
A,CVA,LUD2,FRK1	: 	: 	: 	97.6 
A,CVA,LUD2,FRK2	: 	: 	: 	61.7 
A,CVA,LUD2,FRL	: 	: 	: 	60.5 
A,CVA,LUD2,FRL0	: 	: 	: 	60.5 
A,CVA,LUD2,FRM	: 	: 	: 	70.8 
A,CVA,LUD2,FRM0	: 	: 	: 	70.8 
A,CVA,LUD2,HR	: 	: 	7.5 	52.8 
A,CVA,LUD2,HR0	: 	: 	7.5 	52.8 
A,CVA,LUD2,HR03	: 	: 	11.6 	58.8 
A,CVA,LUD2,HR04	: 	: 	9.1 	100 
A,CVA,LUD2,HU	11.8 	20.4 	16.1 	76.5 
A,CVA,LUD2,HU2	21.6 	19.3 	15.5 	76.5 
A,CVA,LUD2,HU21	: 	: 	17.1 	112.4 
A,CVA,LUD2,HU23	17.6 	15.8 	: 	100.8 
A,CVA,LUD2,HU3	12 	23.3 	: 	: 
A,CVA,LUD2,HU32	10.6 	22 	: 	: 
A,CVA,LUD2,IE	15 	8.1 	24 	71.4 
A,CVA,LUD2,IE0	15 	8.1 	24 	71.4 
A,CVA,LUD2,IE01	18.6 	23.4 	25.2 	: 
A,CVA,LUD2,IE02	23.7 	9.1 	49.8 	: 
A,CVA,LUD2,IE04	: 	: 	: 	71.4 
A,CVA,LUD2,IT	6.1 	5.6 	4.9 	14.4 
A,CVA,LUD2,ITC	11.5 	18.6 	18.4 	46.7 
A,CVA,LUD2,ITC1	22.3 	30.2 	28.2 	71.7 
A,CVA,LUD2,ITC2	32.4 	: 	18.8 	: 
A,CVA,LUD2,ITC3	0 	: 	: 	: 
A,CVA,LUD2,ITC4	17.3 	23.9 	32.5 	58.6 
A,CVA,LUD2,ITF	13.5 	10.1 	9.8 	23.4 
A,CVA,LUD2,ITF1	12.4 	11 	13.4 	24.7 
A,CVA,LUD2,ITF2	12.7 	: 	: 	: 
A,CVA,LUD2,ITF3	: 	27.5 	26.6 	71.6 
A,CVA,LUD2,ITF4	45.3 	20.6 	22.3 	53.1 
A,CVA,LUD2,ITF5	4 	4.8 	4.7 	100.2 
A,CVA,LUD2,ITF6	: 	17.4 	13.2 	100 
A,CVA,LUD2,ITG	24.4 	9.3 	9.6 	20.2 
A,CVA,LUD2,ITG1	: 	16.7 	16.4 	59.2 
A,CVA,LUD2,ITG2	24.7 	8.4 	5.2 	21.4 
A,CVA,LUD2,ITH	15.4 	12.1 	9 	34.4 
A,CVA,LUD2,ITH1	: 	4.6 	5.6 	33 
A,CVA,LUD2,ITH2	: 	11.6 	9.3 	: 
A,CVA,LUD2,ITH3	23.3 	27.2 	27.4 	52.5 
A,CVA,LUD2,ITH4	: 	: 	18.5 	107.7 
A,CVA,LUD2,ITH5	29.1 	22.7 	16.6 	75.5 
A,CVA,LUD2,ITI	12.1 	19.4 	11.9 	41.2 
A,CVA,LUD2,ITI1	: 	: 	: 	100 
A,CVA,LUD2,ITI2	15.2 	: 	6 	57.5 
A,CVA,LUD2,ITI3	10.1 	43 	22.5 	67.7 
A,CVA,LUD2,ITI4	12.1 	24.3 	11.2 	76 
A,CVA,LUD2,LT	19.6 	20.3 	28.6 	67.3 
A,CVA,LUD2,LT0	19.6 	20.3 	28.6 	67.3 
A,CVA,LUD2,LT00	19.6 	20.3 	28.6 	: 
A,CVA,LUD2,LT01	: 	: 	: 	57.8 
A,CVA,LUD2,LT02	: 	: 	: 	88.8 
A,CVA,LUD2,LU	: 	: 	: 	65.5 
A,CVA,LUD2,LU0	: 	: 	: 	65.5 
A,CVA,LUD2,LU00	: 	: 	: 	65.5 
A,CVA,LUD2,LV	12.7 	9.3 	26.2 	83.5 
A,CVA,LUD2,LV0	12.7 	9.3 	26.2 	83.5 
A,CVA,LUD2,LV00	12.7 	9.3 	26.2 	83.5 
A,CVA,LUD2,NL	73.8 	162.7 	112.1 	64.6 
A,CVA,LUD2,NL1	86.1 	107 	82.8 	77.4 
A,CVA,LUD2,NL11	79.2 	102 	64.7 	: 
A,CVA,LUD2,NL12	: 	: 	: 	77.4 
A,CVA,LUD2,NL2	: 	: 	215 	: 
A,CVA,LUD2,NL23	: 	: 	170.8 	: 
A,CVA,LUD2,NL3	44 	: 	: 	93.2 
A,CVA,LUD2,NL32	53.5 	: 	: 	: 
A,CVA,LUD2,NL34	: 	: 	: 	93.2 
A,CVA,LUD2,PL	10.6 	9.9 	8.5 	36.6 
A,CVA,LUD2,PL1	8.6 	8.4 	9 	: 
A,CVA,LUD2,PL11	8.8 	11.4 	11.2 	: 
A,CVA,LUD2,PL12	: 	15.5 	17.6 	: 
A,CVA,LUD2,PL2	59.1 	70.1 	21.1 	100.1 
A,CVA,LUD2,PL21	: 	98.9 	55.8 	: 
A,CVA,LUD2,PL22	63.2 	117.8 	23.9 	100.1 
A,CVA,LUD2,PL3	: 	26.9 	: 	: 
A,CVA,LUD2,PL32	: 	34.1 	: 	: 
A,CVA,LUD2,PL4	14.4 	12.6 	14.4 	100.1 
A,CVA,LUD2,PL41	19.8 	12.9 	14.8 	: 
A,CVA,LUD2,PL42	24.4 	: 	: 	100.1 
A,CVA,LUD2,PL5	19.9 	: 	: 	: 
A,CVA,LUD2,PL52	14.9 	: 	: 	: 
A,CVA,LUD2,PL6	: 	26.8 	25.5 	100 
A,CVA,LUD2,PL61	: 	39.8 	12.6 	: 
A,CVA,LUD2,PL63	: 	31.8 	35.8 	100 
A,CVA,LUD2,PL7	: 	: 	: 	46.5 
A,CVA,LUD2,PL71	: 	: 	: 	72.6 
A,CVA,LUD2,PL72	: 	: 	: 	55.8 
A,CVA,LUD2,PL8	: 	: 	: 	101.6 
A,CVA,LUD2,PL84	: 	: 	: 	101.6 
A,CVA,LUD2,PT	8.4 	7.9 	6.6 	22.2 
A,CVA,LUD2,PT1	8.4 	7.9 	6.6 	22.2 
A,CVA,LUD2,PT11	14.1 	: 	15.1 	64.4 
A,CVA,LUD2,PT15	: 	9.1 	8.8 	: 
A,CVA,LUD2,PT16	22.6 	11.4 	23 	56.1 
A,CVA,LUD2,PT18	7.5 	5.8 	5.6 	25.6 
A,CVA,LUD2,RO	: 	5.9 	4.5 	28.1 
A,CVA,LUD2,RO1	: 	14.4 	12.9 	43.7 
A,CVA,LUD2,RO11	: 	: 	13.5 	58 
A,CVA,LUD2,RO12	: 	10.4 	: 	62.8 
A,CVA,LUD2,RO2	: 	8.4 	8.3 	43.6 
A,CVA,LUD2,RO21	: 	6.4 	3.6 	59.8 
A,CVA,LUD2,RO22	: 	12.2 	27.6 	62.2 
A,CVA,LUD2,RO3	: 	: 	17.9 	63.3 
A,CVA,LUD2,RO31	: 	: 	16.8 	81.8 
A,CVA,LUD2,RO32	: 	: 	: 	99.1 
A,CVA,LUD2,RO4	: 	8.7 	5.5 	49.7 
A,CVA,LUD2,RO41	: 	10.1 	5.4 	51.5 
A,CVA,LUD2,RO42	: 	: 	26.7 	99.7 
A,CVA,LUD2,SE	2.4 	2.9 	2.4 	54.7 
A,CVA,LUD2,SE1	10.8 	17.8 	14.4 	: 
A,CVA,LUD2,SE11	28.9 	39.9 	: 	: 
A,CVA,LUD2,SE12	11.3 	20.2 	13.4 	: 
A,CVA,LUD2,SE2	8 	13.7 	20.8 	70.9 
A,CVA,LUD2,SE21	10.6 	18 	: 	: 
A,CVA,LUD2,SE22	25.1 	27.7 	: 	100.1 
A,CVA,LUD2,SE23	13.6 	27.3 	23.6 	100.4 
A,CVA,LUD2,SE3	2.3 	2.7 	2.2 	56.1 
A,CVA,LUD2,SE31	5.3 	10.3 	10.4 	71 
A,CVA,LUD2,SE32	4.2 	6.1 	4.2 	91.5 
A,CVA,LUD2,SE33	3.3 	3 	2.7 	65.7 
A,CVA,LUD2,SI	: 	22.1 	15.7 	100.2 
A,CVA,LUD2,SI0	: 	22.1 	15.7 	100.2 
A,CVA,LUD2,SI03	: 	19.7 	16.3 	100.2 
A,CVA,LUD2,SK	7.3 	10.1 	11.1 	16 
A,CVA,LUD2,SK0	7.3 	10.1 	11.1 	16 
A,CVA,LUD2,SK01	: 	51.9 	: 	: 
