freq,unit,landuse,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LUA,DEF	1.5 	1.6 	1.6 	2.1 
A,CVA,LUA,DEF0	1.5 	1.6 	1.6 	2.1 
A,CVA,LUA,DEG	2.1 	2 	2 	3.1 
A,CVA,LUA,DEG0	2.1 	2 	2 	3.1 
A,CVA,LUA,DK	1 	1 	1.1 	1.2 
A,CVA,LUA,DK0	1 	1 	1.1 	1.2 
A,CVA,LUA,DK01	6.6 	6.7 	6.4 	7.4 
A,CVA,LUA,DK02	2.3 	2.2 	2.3 	2.6 
A,CVA,LUA,DK03	1.9 	1.8 	2 	2.2 
A,CVA,LUA,DK04	1.9 	2 	2 	2.3 
A,CVA,LUA,DK05	2.2 	2.4 	2.6 	2.8 
A,CVA,LUA,EE	1.9 	2.2 	2.2 	2.9 
A,CVA,LUA,EE0	1.9 	2.2 	2.2 	2.9 
A,CVA,LUA,EE00	1.9 	2.2 	2.2 	2.9 
A,CVA,LUA,EL	0.7 	0.9 	0.9 	1.5 
A,CVA,LUA,EL3	7.2 	7 	8.6 	11.5 
A,CVA,LUA,EL30	7.2 	7 	8.6 	11.5 
A,CVA,LUA,EL4	1.3 	2.3 	2.2 	3.8 
A,CVA,LUA,EL41	3.7 	4.7 	4.7 	7.1 
A,CVA,LUA,EL42	2.1 	5.6 	5.1 	8.4 
A,CVA,LUA,EL43	1.5 	2.8 	2.7 	5.3 
A,CVA,LUA,EL5	1.2 	1.4 	1.4 	2.1 
A,CVA,LUA,EL51	2.5 	2.6 	2.7 	4.4 
A,CVA,LUA,EL52	1.8 	2.1 	2.1 	2.9 
A,CVA,LUA,EL53	2.7 	3.1 	3.2 	4.7 
A,CVA,LUA,EL54	4 	5 	5.4 	6.7 
A,CVA,LUA,EL6	1.1 	1.3 	1.3 	2.5 
A,CVA,LUA,EL61	1.8 	2.3 	2.2 	3.1 
A,CVA,LUA,EL62	9.5 	7.4 	7 	8.6 
A,CVA,LUA,EL63	2.7 	3.4 	3.2 	5.2 
A,CVA,LUA,EL64	2.3 	2.6 	2.7 	5.5 
A,CVA,LUA,EL65	2.1 	2.5 	2.6 	6.3 
A,CVA,LUA,ES	0.3 	0.4 	0.4 	1.4 
A,CVA,LUA,ES1	1.6 	2 	2.1 	4.6 
A,CVA,LUA,ES11	2.3 	2.7 	2.8 	7.1 
A,CVA,LUA,ES12	3 	3.7 	4.1 	5.3 
A,CVA,LUA,ES13	3.2 	3.8 	4.3 	7.4 
A,CVA,LUA,ES2	0.8 	1.1 	1.1 	1.7 
A,CVA,LUA,ES21	4.5 	5.1 	5.2 	7.1 
