A,FT15_SO,C_2_2_HEADS,LV	550 	690 	810 	720 
A,FT15_SO,C_2_2_HEADS,ME	: 	: 	0 	: 
A,FT15_SO,C_2_2_HEADS,NL	0 	0 	20 	0 
A,FT15_SO,C_2_2_HEADS,NO	: 	50 	70 	30 
A,FT15_SO,C_2_2_HEADS,PL	1880 	1560 	5260 	10540 
A,FT15_SO,C_2_2_HEADS,PT	80 	80 	100 	110 
A,FT15_SO,C_2_2_HEADS,RO	1220 	3220 	1030 	2410 
A,FT15_SO,C_2_2_HEADS,SE	910 	1080 	1500 	1240 
A,FT15_SO,C_2_2_HEADS,SI	0 	0 	110 	180 
A,FT15_SO,C_2_2_HEADS,SK	870 	1350 	2120 	2940 
A,FT15_SO,C_2_2_HEADS,UK	33360 	32980 	31440 	31670 
A,FT15_SO,C_2_2_HOLD,AT	60 	90 	70 	110 
A,FT15_SO,C_2_2_HOLD,BE	10 	10 	30 	20 
A,FT15_SO,C_2_2_HOLD,BG	80 	60 	110 	140 
A,FT15_SO,C_2_2_HOLD,CH	: 	: 	20 	: 
A,FT15_SO,C_2_2_HOLD,CY	0 	0 	0 	0 
A,FT15_SO,C_2_2_HOLD,CZ	370 	380 	460 	590 
A,FT15_SO,C_2_2_HOLD,DE	1140 	1030 	1210 	1570 
A,FT15_SO,C_2_2_HOLD,DK	460 	480 	610 	500 
A,FT15_SO,C_2_2_HOLD,EE	30 	40 	30 	40 
A,FT15_SO,C_2_2_HOLD,EL	30 	50 	30 	30 
A,FT15_SO,C_2_2_HOLD,ES	100 	110 	110 	110 
A,FT15_SO,C_2_2_HOLD,FI	30 	20 	30 	30 
A,FT15_SO,C_2_2_HOLD,FR	1430 	1450 	2990 	3660 
A,FT15_SO,C_2_2_HOLD,HR	: 	30 	40 	130 
A,FT15_SO,C_2_2_HOLD,HU	250 	300 	450 	650 
A,FT15_SO,C_2_2_HOLD,IE	160 	220 	490 	620 
A,FT15_SO,C_2_2_HOLD,IS	: 	: 	0 	: 
A,FT15_SO,C_2_2_HOLD,IT	550 	690 	750 	680 
A,FT15_SO,C_2_2_HOLD,LT	400 	500 	390 	630 
A,FT15_SO,C_2_2_HOLD,LU	0 	0 	0 	0 
A,FT15_SO,C_2_2_HOLD,LV	130 	160 	220 	170 
A,FT15_SO,C_2_2_HOLD,ME	: 	: 	0 	: 
A,FT15_SO,C_2_2_HOLD,NL	0 	0 	10 	0 
A,FT15_SO,C_2_2_HOLD,NO	: 	20 	20 	10 
A,FT15_SO,C_2_2_HOLD,PL	460 	460 	1640 	2680 
A,FT15_SO,C_2_2_HOLD,PT	40 	30 	40 	20 
A,FT15_SO,C_2_2_HOLD,RO	320 	260 	190 	250 
A,FT15_SO,C_2_2_HOLD,SE	140 	140 	170 	160 
A,FT15_SO,C_2_2_HOLD,SI	0 	10 	20 	50 
A,FT15_SO,C_2_2_HOLD,SK	70 	100 	120 	170 
A,FT15_SO,C_2_2_HOLD,UK	1510 	1470 	1680 	1670 
A,FT15_SO,C_2_3_HEADS,AT	230 	200 	230 	530 
A,FT15_SO,C_2_3_HEADS,BE	130 	130 	230 	170 
A,FT15_SO,C_2_3_HEADS,BG	1180 	730 	1960 	3620 
A,FT15_SO,C_2_3_HEADS,CH	: 	: 	210 	: 
A,FT15_SO,C_2_3_HEADS,CY	0 	0 	0 	0 
A,FT15_SO,C_2_3_HEADS,CZ	1670 	2970 	3970 	4450 
A,FT15_SO,C_2_3_HEADS,DE	15130 	14480 	14230 	23010 
A,FT15_SO,C_2_3_HEADS,DK	2840 	2890 	3450 	3030 
