freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,FR42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40221 	37905 	41012 	36004 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30890 	24292 	25476 	18651 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126789 	143274 	137489 	147914 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122637 	132237 	129916 	127113 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR53	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	167487 	179250 	170687 	180851 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	118227 	140149 	135803 	142968 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95678 	110114 	121025 	110153 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18393 	15623 	15023 	13838 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63326 	77620 	76942 	69477 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40220 	47245 	41360 	36806 	: 	: 	: 	: 	: 	: 	: 
A,N,T,FR81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29762 	37598 	31695 	29753 	: 	: 	: 	: 	: 	: 	: 
