freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,P,T,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1250056 e	1258901 e	1129690 e	895443 e	961742 e	1039974 e	1026097 e	1092102 e	1106258 e	1085641 e	1094069 e	1121787 e	1119851 e	1151968 e	: 	: 	: 
A,P,T,FI	: 	: 	: 	: 	: 	20665 	21393 	20202 	19534 	18785 	18318 	17165 	16027 	16239 	10784 	12599 	11046 	10600 	11184 	11845 	10983 	9828 	12252 	11033 	11384 	11463 	12761 	8663 p
A,P,T,FI19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3301 	3738 	3887 	3703 	3200 	3849 	3820 	4107 	3900 	4362 	: 
A,P,T,FI1B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	859 	1020 	1039 	1034 	1028 	1602 	1063 	1043 	1186 	1321 	: 
A,P,T,FI1C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3616 	3612 	3735 	3247 	3006 	4117 	3488 	3407 	3560 	3964 	: 
A,P,T,FI1D	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2767 	2753 	3124 	2932 	2534 	2622 	2605 	2778 	2755 	3048 	: 
A,P,T,FI20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58 	60 	60 	66 	61 	61 	58 	49 	61 	68 	: 
A,P,T,FR	: 	: 	: 	: 	: 	431667 	384683 	341676 	327988 	317448 	306483 	279415 	251100 	259149 	208245 	158296 	196352 	199205 	202345 	214402 	198553 	189602 	182940 	181418 	190283 	186958 	189189 	: 
A,P,T,FR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7299 	8823 	7494 	9346 	7858 	5208 	: 	: 	: 	: 	: 
A,P,T,FR21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18886 	23422 	17870 	17757 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11210 	13916 	12106 	10989 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5786 	8798 	10039 	11186 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26309 	26452 	25258 	23271 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6134 	6678 	7805 	6990 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR26	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7853 	10312 	11617 	8294 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR30	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3942 	4324 	4226 	3720 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13333 	13807 	11463 	8239 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5145 	5299 	5143 	4449 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3593 	2156 	1450 	1736 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6766 	6761 	8525 	6766 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9046 	14682 	9691 	9372 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR53	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15020 	18367 	15940 	16104 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18163 	18468 	22485 	15704 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11302 	12961 	13111 	10882 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1731 	1677 	1837 	1567 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6524 	7193 	8057 	7296 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3855 	4610 	4433 	3458 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3555 	4849 	3900 	4278 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3125 	3534 	3004 	2914 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FR83	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76 	62 	41 	34 	: 	: 	: 	: 	: 	: 	: 
A,P,T,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26452 	25258 	23271 	23382 	20318 	: 	: 	: 	: 	: 
A,P,T,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10312 	11617 	8294 	8403 	7508 	: 	: 	: 	: 	: 
A,P,T,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2156 	1450 	1736 	1609 	2276 	: 	: 	: 	: 	: 
A,P,T,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6678 	7805 	6990 	5910 	6186 	: 	: 	: 	: 	: 
A,P,T,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8798 	10039 	11186 	9307 	8685 	: 	: 	: 	: 	: 
A,P,T,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4324 	4226 	3720 	4004 	3305 	: 	: 	: 	: 	: 
A,P,T,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13916 	12106 	10989 	12703 	12124 	: 	: 	: 	: 	: 
A,P,T,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5299 	5143 	4449 	5375 	4216 	: 	: 	: 	: 	: 
A,P,T,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23422 	17870 	17757 	22063 	20971 	: 	: 	: 	: 	: 
A,P,T,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13807 	11463 	8239 	11089 	11055 	: 	: 	: 	: 	: 
A,P,T,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6761 	8525 	6766 	8182 	6291 	: 	: 	: 	: 	: 
A,P,T,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14682 	9691 	9372 	10588 	5677 	: 	: 	: 	: 	: 
A,P,T,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18468 	22485 	15704 	16201 	16185 	: 	: 	: 	: 	: 
A,P,T,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1677 	1837 	1567 	1759 	2079 	: 	: 	: 	: 	: 
A,P,T,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18367 	15940 	16104 	15279 	14812 	: 	: 	: 	: 	: 
A,P,T,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4849 	3900 	4278 	5108 	3786 	: 	: 	: 	: 	: 
A,P,T,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12961 	13111 	10882 	11219 	11389 	: 	: 	: 	: 	: 
A,P,T,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4610 	4433 	3458 	3182 	3783 	: 	: 	: 	: 	: 
A,P,T,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7193 	8057 	7296 	5010 	6029 	: 	: 	: 	: 	: 
A,P,T,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3534 	3004 	2914 	3413 	4246 	: 	: 	: 	: 	: 
A,P,T,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62 	41 	34 	32 	24 	: 	: 	: 	: 	: 
A,P,T,HR	: 	: 	: 	: 	: 	22469 	18453 	17578 	17166 	16831 	18655 	25695 	17667 	21291 	8790 	15763 	14028 	14330 	12518 	16875 	12899 	5781 	14891 	15564 	15030 	15373 	15025 	: 
A,P,T,HU	: 	: 	: 	: 	: 	19689 	25138 	26960 	28999 	32710 	26508 	32801 	38064 	27431 	19232 	19976 	22113 	25735 	35708 	35821 	36020 	41337 	51615 	51152 	49966 	48956 	50531 	28660 
A,P,T,IE	: 	: 	: 	: 	: 	49267 	42697 	41869 	43832 	42661 	38645 	37209 	32415 	26350 	20231 	28235 	28107 	27421 	36986 	35584 	36551 	37075 	41893 	46387 	42672 	44259 	46068 	34240 
A,P,T,IS	: 	: 	: 	: 	: 	2371 	2385 	2065 	1480 	2182 	1931 	2362 	2634 	2396 	1701 	1578 	1355 	1557 	1585 	1834 	1719 	1501 	2046 	2045 	1482 	1668 	1802 	: 
A,P,T,IT	: 	: 	: 	: 	: 	102878 	102229 	103013 	103244 	102560 	100412 	100176 	99995 	99855 	100310 	100299 	100291 	100307 	98079 	99748 	99007 	99648 	100273 	99376 	98160 	100037 	100310 	: 
A,P,T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17000 e	17000 e	10000 e	14000 e	15000 e	16000 e	17000 e	18165 e	19419 e	19799 e	22217 	23473 	22425 	22960 	23801 	24110 	16646 
A,P,T,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1077 	2122 	2096 	852 
A,P,T,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21883 	21679 	22014 	15794 
A,P,T,LU	: 	: 	: 	: 	: 	1120 	776 	917 	783 	900 	947 	746 	743 	473 	432 	515 	516 	517 	515 	515 	516 	491 	510 	396 	371 	389 	415 	266 
A,P,T,LU00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	517 	515 	515 	516 	491 	510 	396 	371 	389 	415 	266 
A,P,T,LV	: 	: 	: 	: 	: 	2532 	3231 	3580 	4061 	4775 	6431 	6321 	7272 	6632 	5831 	6840 	7640 	8648 	10670 	10204 	10633 	11111 	11300 	11481 	11712 	13640 	14309 	11382 
A,P,T,MT	: 	: 	: 	: 	: 	65 e	87 e	68 e	73 e	115 e	56 e	52 e	60 e	53 e	3 e	31 e	57 e	28 e	31 e	28 e	38 e	56 e	55 e	40 e	40 e	: 	: 	: 
A,P,T,NL	: 	: 	: 	: 	: 	25729 	21472 	19682 	21478 	16594 	19869 	19785 	14676 	10791 	4043 	12513 	6081 	4611 	3984 	5869 	3736 	6011 	5416 	5271 	4957 	5702 	5752 	4844 
A,P,T,NO	: 	: 	: 	: 	: 	13059 	12151 	12323 	12533 	12626 	12502 	12278 	12002 	11492 	8443 	7818 	8757 	8350 	8455 	8405 	9276 	9097 	8683 	8892 	8901 	8996 	: 	8335 
A,P,T,NO01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	792 	770 	990 	979 	939 	957 	897 	: 	: 	: 
A,P,T,NO02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2114 	2088 	2328 	2361 	2248 	2295 	2274 	2188 	: 	2075 
A,P,T,NO03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2160 	2094 	2460 	2389 	2308 	2439 	2362 	: 	: 	: 
A,P,T,NO04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	654 	730 	689 	664 	594 	620 	590 	: 	: 	: 
A,P,T,NO05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	766 	800 	779 	746 	723 	706 	750 	: 	: 	: 
A,P,T,NO06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1338 	1335 	1417 	1350 	1317 	1665 	1766 	1414 	: 	1227 
A,P,T,NO07	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	632 	566 	612 	608 	555 	212 	262 	559 	: 	448 
A,P,T,NO08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2775 	: 	2615 
A,P,T,NO09	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1000 	: 	948 
A,P,T,NO0A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1059 	: 	1022 
A,P,T,PL	: 	: 	: 	: 	: 	129607 	138794 	139693 	132117 	140551 	141591 	192893 	179851 	201865 	163851 	153569 	178318 	161883 	163329 	148914 	132544 	142281 	149950 	147865 	149961 	156627 	: 	: 
A,P,T,PL1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26007 	41668 	38253 	38895 	29036 	27508 	31644 	31038 	26122 	29151 	21380 	26540 	: 	: 	: 	: 	: 	: 
A,P,T,PL11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8647 	16807 	15066 	15025 	11461 	10326 	12607 	10588 	16420 	10100 	8872 	9833 	: 	: 	: 	: 	: 	: 
A,P,T,PL12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17360 	24861 	23187 	23870 	17575 	17183 	19037 	20450 	9702 	19051 	12508 	16707 	: 	: 	: 	: 	: 	: 
A,P,T,PL2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12104 	11666 	10581 	10927 	9118 	7787 	11059 	8421 	5053 	8215 	7152 	7256 	7726 	7376 	8548 	8427 p	: 	: 
A,P,T,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7053 	6630 	5607 	5843 	4896 	3732 	6509 	4254 	2157 	3899 	4029 	3669 	4341 	3815 	4890 	4426 	: 	: 
A,P,T,PL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5051 	5036 	4974 	5084 	4222 	4055 	4550 	4167 	2896 	4316 	3123 	3586 	3385 	3561 	3658 	3978 	: 	: 
A,P,T,PL3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33754 	42973 	38135 	43069 	34186 	32657 	36911 	34629 	35716 	36301 	31274 	32843 	: 	: 	: 	: 	: 	: 
A,P,T,PL31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13306 	19919 	17148 	20412 	14977 	14105 	16816 	16596 	15857 	17079 	15264 	16273 	: 	: 	: 	: 	: 	: 
A,P,T,PL32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6201 	5333 	5132 	5444 	4075 	3937 	4220 	3748 	3517 	3999 	3487 	3648 	: 	: 	: 	: 	: 	: 
A,P,T,PL33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5279 	7095 	6275 	6048 	4814 	4072 	4880 	3963 	8529 	4222 	4913 	4048 	: 	: 	: 	: 	: 	: 
A,P,T,PL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8969 	10626 	9580 	11166 	10319 	10543 	10995 	10322 	7812 	11001 	7610 	8873 	: 	: 	: 	: 	: 	: 
A,P,T,PL4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29703 	40247 	40087 	45215 	36550 	34338 	41083 	37261 	44100 	29691 	28232 	29900 	31525 	29000 	28247 	31480 p	: 	: 
A,P,T,PL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15897 	27243 	25342 	28406 	23380 	21622 	27839 	24225 	25169 	19911 	19490 	19452 	21776 	19722 	18922 	20911 	: 	: 
A,P,T,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8443 	7649 	9395 	10182 	8222 	9427 	8108 	9086 	10396 	6528 	6167 	7644 	7189 	6556 	7179 	8100 	: 	: 
A,P,T,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5362 	5355 	5350 	6627 	4948 	3289 	5136 	3950 	8535 	3252 	2575 	2804 	2560 	2722 	2146 	2491 	: 	: 
A,P,T,PL5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15427 	18747 	18857 	26274 	22522 	20243 	23632 	20267 	26356 	19792 	17783 	18472 	17503 	16474 	18281 	18818 p	: 	: 
A,P,T,PL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9260 	9381 	11436 	15571 	13601 	11699 	13815 	12432 	12894 	12548 	10465 	10843 	10655 	9759 	10870 	11476 	: 	: 
A,P,T,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6167 	9365 	7421 	10704 	8921 	8545 	9817 	7835 	13462 	7244 	7318 	7629 	6848 	6715 	7411 	7350 	: 	: 
A,P,T,PL6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24597 	37592 	33937 	28752 	32440 	31650 	33988 	30266 	25983 	19175 	26724 	27271 	28485 	28627 	27054 	28380 p	: 	: 
A,P,T,PL61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8900 	17123 	15278 	18714 	15743 	14470 	15410 	14481 	9038 	12827 	14326 	13454 	15206 	14670 	13547 	13617 	: 	: 
A,P,T,PL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6399 	10991 	10324 	1148 	9369 	9011 	9611 	7897 	8389 	6348 	6340 	6813 	6805 	6427 	6398 	7680 	: 	: 
A,P,T,PL63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9299 	9478 	8335 	8890 	7328 	8169 	8967 	7888 	8556 	6592 	6058 	7005 	6474 	7530 	7109 	7058 	: 	: 
A,P,T,PL7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14589 	13668 	15076 	15500 p	: 	: 
A,P,T,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10320 	9595 	10836 	10874 	: 	: 
A,P,T,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4269 	4073 	4240 	4633 	: 	: 
A,P,T,PL8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34102 	34266 	35436 	34362 p	: 	: 
A,P,T,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20684 	19565 	20524 	17166 	: 	: 
A,P,T,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3877 	3958 	4580 	4417 	: 	: 
A,P,T,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9541 	10743 	10332 	12796 	: 	: 
A,P,T,PL9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16020 	18454 	17318 	19648 p	: 	: 
A,P,T,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1319 	2111 	1598 	2129 	: 	: 
A,P,T,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14701 	16344 	15720 	17525 	: 	: 
A,P,T,PT	42786 	42218 	40125 	34916 	36310 	44402 	42166 	34633 	39109 	52147 	33739 	22332 	29711 	17960 	11538 	18090 	12908 	14477 	17289 	18456 	20159 	19037 	17934 	16980 	16645 	16755 	18734 	11366 p
A,P,T,RO	: 	: 	: 	: 	: 	38535 	37764 	31871 	41509 	41074 	60313 	41019 	45113 	44718 	43900 	53849 	55123 	49353 	49697 	51772 	57921 	55097 	63253 	82264 	87904 	81900 	103728 	86724 
A,P,T,RO11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5009 	5511 	5403 	5395 	5968 	4893 	6911 	9334 	8266 	10058 	9133 
A,P,T,RO12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7254 	6871 	4659 	5256 	5209 	5639 	5671 	5473 	7433 	8842 	7123 
A,P,T,RO21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4634 	6964 	6903 	5903 	5494 	5731 	10705 	14217 	13547 	17382 	14095 
A,P,T,RO22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13261 	9061 	12765 	13175 	14801 	16016 	18297 	16934 	11110 	21466 	16408 
A,P,T,RO31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11830 	10350 	10368 	9844 	10410 	13817 	13784 	11878 	12452 	13974 	11022 
A,P,T,RO32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	327 	820 	826 	1445 	698 	634 	742 	795 	778 	776 	783 
A,P,T,RO41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2186 	5013 	5793 	11971 	7460 	5936 	13092 	6970 	12010 	10085 	10668 
A,P,T,RO42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4851 	5107 	5056 	4932 	5057 	10587 	13062 	22303 	16304 	21145 	17492 
A,P,T,SE	: 	: 	: 	: 	: 	17600 	17000 	16700 	16600 	16800 	15400 	13800 	13700 	14600 	8100 	9800 	10300 	10400 	11800 	12100 	12500 	13100 	14400 	14300 	12800 	16600 	17800 	14100 
A,P,T,SE11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	200 	300 	300 	300 	300 	400 	400 	300 	400 	300 	200 
A,P,T,SE12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3000 	3500 	3200 	3600 	4100 	4500 	4400 	4000 	4800 	5400 	4200 
A,P,T,SE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	700 	800 	900 	900 	800 	1000 	1000 	800 	1200 	1100 	900 
A,P,T,SE22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2900 	3600 	3800 	3600 	3700 	4000 	3800 	3400 	4400 	4900 	3900 
A,P,T,SE23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2800 	2900 	3100 	3200 	3500 	3800 	4000 	3500 	4700 	4700 	3700 
A,P,T,SE31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	500 	500 	600 	700 	500 	500 	500 	600 	800 	1100 	900 
A,P,T,SE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
A,P,T,SE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	200 	100 	100 	100 	100 	100 	100 	100 	200 	200 	200 
A,P,T,SI	: 	: 	: 	: 	: 	7968 	7251 	6854 	6685 	6392 	5864 	5583 	5565 	5211 	3342 	4323 	3935 	3882 	3886 	3991 	4120 	4000 	3988 	4116 	3538 	3668 	3183 	2396 
A,P,T,SI03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2904 	2907 	3041 	3138 	2987 	2977 	3124 	2685 	2782 	2414 	1817 
A,P,T,SI04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	978 	979 	951 	981 	1013 	1010 	992 	853 	886 	769 	579 
A,P,T,SK	: 	: 	: 	: 	: 	7156 	10570 	10636 	9772 	8349 	9903 	9315 	11060 	11201 	7936 	7041 	8569 	8369 	8959 	9918 	9426 	10608 	10133 	11209 	11392 	11969 	13036 	: 
A,P,T,SK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	276 	555 	439 	403 	446 	526 	561 	476 	478 	662 	: 
A,P,T,SK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5995 	6035 	7186 	6671 	7208 	6970 	7663 	8021 	8325 	9196 	: 
A,P,T,SK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	765 	797 	876 	852 	1282 	945 	1074 	1037 	1094 	1101 	: 
