A,UAAIB,PC_UAA,EL51	: 	: 	: 	: 	45.1 
A,UAAIB,PC_UAA,EL52	: 	: 	: 	: 	47.5 
A,UAAIB,PC_UAA,EL53	: 	: 	: 	: 	18.8 
A,UAAIB,PC_UAA,EL54	: 	: 	: 	: 	19.2 
A,UAAIB,PC_UAA,EL61	: 	: 	: 	: 	45.6 
A,UAAIB,PC_UAA,EL62	: 	: 	: 	: 	2.8 
A,UAAIB,PC_UAA,EL63	: 	: 	: 	: 	34.4 
A,UAAIB,PC_UAA,EL64	: 	: 	: 	: 	32.4 
A,UAAIB,PC_UAA,EL65	: 	: 	: 	: 	23.4 
A,UAAIB,PC_UAA,ES	15.1 	14.7 	15.1 	29.0 	15.7 
A,UAAIB,PC_UAA,ES11	4.6 	8.1 	8.4 	22.6 	4.8 
A,UAAIB,PC_UAA,ES12	2.8 	1.4 	3.5 	12.3 	2.0 
A,UAAIB,PC_UAA,ES13	0.4 	0.3 	1.2 	20.7 	1.2 
A,UAAIB,PC_UAA,ES21	11.8 	9.3 	4.8 	13.3 	6.1 
A,UAAIB,PC_UAA,ES22	11.8 	12.5 	16.0 	25.3 	16.8 
A,UAAIB,PC_UAA,ES23	17.1 	16.3 	19.0 	37.6 	18.1 
A,UAAIB,PC_UAA,ES24	19.0 	17.4 	17.4 	29.2 	18.2 
A,UAAIB,PC_UAA,ES30	8.6 	7.8 	8.6 	27.8 	7.9 
A,UAAIB,PC_UAA,ES41	10.0 	10.2 	10.3 	22.4 	10.8 
A,UAAIB,PC_UAA,ES42	15.1 	13.1 	12.8 	23.7 	12.3 
A,UAAIB,PC_UAA,ES43	10.0 	10.1 	9.7 	25.9 	11.5 
A,UAAIB,PC_UAA,ES51	22.5 	20.9 	22.6 	45.8 	25.3 
A,UAAIB,PC_UAA,ES52	40.9 	43.6 	43.4 	50.8 	43.1 
A,UAAIB,PC_UAA,ES53	11.3 	9.3 	11.9 	17.5 	9.3 
A,UAAIB,PC_UAA,ES61	19.2 	19.2 	20.0 	37.8 	21.3 
A,UAAIB,PC_UAA,ES62	39.6 	39.3 	38.7 	51.7 	39.7 
A,UAAIB,PC_UAA,ES63	: c	: c	: c	: c	: c
A,UAAIB,PC_UAA,ES64	: c	: c	: c	0.0 	0.0 
A,UAAIB,PC_UAA,ES70	34.2 	35.8 	31.8 	47.3 	36.6 
A,UAAIB,PC_UAA,FI	3.1 	3.3 	3.0 	4.5 	2.4 
A,UAAIB,PC_UAA,FI13	2.2 	: 	: 	: 	: 
A,UAAIB,PC_UAA,FI18	4.7 	: 	: 	: 	: 
A,UAAIB,PC_UAA,FI19	2.2 	2.4 	2.2 	3.8 	2.1 
A,UAAIB,PC_UAA,FI1A	1.4 	: 	: 	: 	: 
A,UAAIB,PC_UAA,FI1B	: 	5.5 	5.3 	7.1 	2.7 
A,UAAIB,PC_UAA,FI1C	: 	5.0 	4.4 	6.0 	2.9 
A,UAAIB,PC_UAA,FI1D	: 	1.9 	1.8 	3.1 	2.1 
A,UAAIB,PC_UAA,FI20	12.9 	10.6 	10.3 	8.7 	7.3 
A,UAAIB,PC_UAA,FR	9.8 	9.7 	8.4 	10.1 	9.7 
A,UAAIB,PC_UAA,FR10	12.2 	12.1 	10.1 	11.5 	9.3 
A,UAAIB,PC_UAA,FR21	4.1 	4.8 	4.0 	7.7 	5.3 
A,UAAIB,PC_UAA,FR22	10.4 	10.6 	7.9 	10.9 	12.3 
A,UAAIB,PC_UAA,FR23	1.3 	1.5 	1.1 	1.4 	2.0 
A,UAAIB,PC_UAA,FR24	21.0 	21.4 	20.5 	21.8 	20.2 
A,UAAIB,PC_UAA,FR25	0.9 	0.9 	0.8 	0.9 	0.9 
A,UAAIB,PC_UAA,FR26	2.5 	2.4 	1.6 	2.8 	2.2 
A,UAAIB,PC_UAA,FR30	5.6 	5.0 	5.5 	9.0 	9.5 
A,UAAIB,PC_UAA,FR41	0.1 	0.1 	0.1 	0.1 	0.1 
A,UAAIB,PC_UAA,FR42	21.7 	22.4 	20.1 	20.9 	22.2 
A,UAAIB,PC_UAA,FR43	1.3 	1.3 	1.1 	1.5 	1.3 
A,UAAIB,PC_UAA,FR51	9.9 	9.7 	9.6 	10.4 	11.7 
A,UAAIB,PC_UAA,FR52	2.6 	2.7 	1.7 	2.2 	2.4 
A,UAAIB,PC_UAA,FR53	13.5 	13.1 	11.8 	13.6 	11.2 
A,UAAIB,PC_UAA,FR61	24.3 	23.7 	20.6 	24.1 	22.6 
A,UAAIB,PC_UAA,FR62	15.5 	15.4 	11.5 	14.4 	14.3 
A,UAAIB,PC_UAA,FR63	0.4 	0.5 	0.5 	0.7 	0.5 
A,UAAIB,PC_UAA,FR71	11.2 	11.3 	9.4 	10.0 	9.4 
A,UAAIB,PC_UAA,FR72	3.0 	3.0 	3.2 	3.3 	4.1 
A,UAAIB,PC_UAA,FR81	13.5 	11.2 	8.9 	13.1 	13.8 
A,UAAIB,PC_UAA,FR82	23.8 	24.6 	16.3 	20.5 	20.3 
A,UAAIB,PC_UAA,FR83	12.2 	11.5 	7.9 	12.5 	11.6 
A,UAAIB,PC_UAA,FR91	21.9 	19.1 	14.5 	31.5 	: 
A,UAAIB,PC_UAA,FR92	24.5 	24.4 	23.7 	24.7 	: 
A,UAAIB,PC_UAA,FR93	37.6 	35.0 	3.1 	11.3 	: 
A,UAAIB,PC_UAA,FR94	18.0 	20.0 	21.8 	29.5 	: 
A,UAAIB,PC_UAA,FRA1	: 	: 	: 	: 	31.3 
A,UAAIB,PC_UAA,FRA2	: 	: 	: 	: 	20.6 
A,UAAIB,PC_UAA,FRA3	: 	: 	: 	: 	15.2 
A,UAAIB,PC_UAA,FRA4	: 	: 	: 	: 	25.0 
A,UAAIB,PC_UAA,HR	: 	2.8 	1.7 	1.6 	1.9 
A,UAAIB,PC_UAA,HR03	: 	6.0 	3.9 	2.0 	1.8 
A,UAAIB,PC_UAA,HR04	: 	2.4 	1.3 	1.5 	1.9 
A,UAAIB,PC_UAA,HU	3.6 	3.3 	5.0 	5.6 	4.9 
A,UAAIB,PC_UAA,HU10	2.4 	1.4 	4.1 	4.2 	3.7 
A,UAAIB,PC_UAA,HU21	1.2 	1.3 	1.9 	2.3 	1.8 
